baseline,e-persona-you,e-persona-human,e-implcit-target,e-implcit-target-e-persona-you,e-implcit-target-e-persona-human,TextFoolerJin2019
"{'distance': 0.9138627187079408, 'evidence_accuracy': 0.30844155844155846, 'evidence_precision': 0.2962962962962963, 'evidence_recall': 0.9565217391304348, 'evidence_f1': 0.4524421593830334, 'similarity_metrics': np.float32(0.74497116), 'contradiction': 0.026624266058206558}","{'distance': 0.8884462151394422, 'evidence_accuracy': 0.32142857142857145, 'evidence_precision': 0.29896907216494845, 'evidence_recall': 0.9456521739130435, 'evidence_f1': 0.454308093994778, 'similarity_metrics': np.float32(0.7550461), 'contradiction': 0.03468180447816849}","{'distance': 0.8643617021276596, 'evidence_accuracy': 0.3198051948051948, 'evidence_precision': 0.2949389179755672, 'evidence_recall': 0.9184782608695652, 'evidence_f1': 0.4464993394980185, 'similarity_metrics': np.float32(0.78191316), 'contradiction': 0.0381569042801857}","{'distance': 0.7477678571428572, 'evidence_accuracy': 0.3847402597402597, 'evidence_precision': 0.3061630218687873, 'evidence_recall': 0.8369565217391305, 'evidence_f1': 0.4483260553129549, 'similarity_metrics': np.float32(0.89988613), 'contradiction': 0.9832655191421509}","{'distance': 0.49127640036730946, 'evidence_accuracy': 0.4366883116883117, 'evidence_precision': 0.26099706744868034, 'evidence_recall': 0.483695652173913, 'evidence_f1': 0.339047619047619, 'similarity_metrics': np.float32(0.97343063), 'contradiction': 0.986270010471344}","{'distance': 0.8255675029868579, 'evidence_accuracy': 0.362012987012987, 'evidence_precision': 0.30755064456721914, 'evidence_recall': 0.907608695652174, 'evidence_f1': 0.4594222833562586, 'similarity_metrics': np.float32(0.9157038), 'contradiction': 0.9857871532440186}","{'distance': 0.008116883116883078, 'evidence_accuracy': 0.7061688311688312, 'evidence_precision': 0.8, 'evidence_recall': 0.021739130434782608, 'evidence_f1': 0.042328042328042326, 'similarity_metrics': np.float32(0.9927747), 'contradiction': 0.006824588403105736}"
"{'distance': 0.888, 'evidence_accuracy': 0.38219895287958117, 'evidence_precision': 0.3463687150837989, 'evidence_recall': 0.9841269841269841, 'evidence_f1': 0.512396694214876, 'similarity_metrics': np.float32(0.8248115), 'contradiction': 0.038477953523397446}","{'distance': 0.8909853249475891, 'evidence_accuracy': 0.39790575916230364, 'evidence_precision': 0.3539325842696629, 'evidence_recall': 1.0, 'evidence_f1': 0.5228215767634855, 'similarity_metrics': np.float32(0.8215605), 'contradiction': 0.2134738266468048}","{'distance': 0.8655804480651731, 'evidence_accuracy': 0.40575916230366493, 'evidence_precision': 0.3553008595988539, 'evidence_recall': 0.9841269841269841, 'evidence_f1': 0.5221052631578947, 'similarity_metrics': np.float32(0.8495722), 'contradiction': 0.07808120548725128}","{'distance': 0.9037433155080214, 'evidence_accuracy': 0.4005235602094241, 'evidence_precision': 0.35492957746478876, 'evidence_recall': 1.0, 'evidence_f1': 0.5239085239085239, 'similarity_metrics': np.float32(0.861488), 'contradiction': 0.4871026873588562}","{'distance': 0.8647166361974405, 'evidence_accuracy': 0.39267015706806285, 'evidence_precision': 0.34770114942528735, 'evidence_recall': 0.9603174603174603, 'evidence_f1': 0.510548523206751, 'similarity_metrics': np.float32(0.8489493), 'contradiction': 0.9177663922309875}","{'distance': 0.869980879541109, 'evidence_accuracy': 0.4005235602094241, 'evidence_precision': 0.35410764872521244, 'evidence_recall': 0.9920634920634921, 'evidence_f1': 0.521920668058455, 'similarity_metrics': np.float32(0.81735605), 'contradiction': 0.7580533623695374}","{'distance': 0.09162303664921467, 'evidence_accuracy': 0.6308900523560209, 'evidence_precision': 0.2857142857142857, 'evidence_recall': 0.07936507936507936, 'evidence_f1': 0.12422360248447203, 'similarity_metrics': np.float32(0.8971311), 'contradiction': 0.16841499507427216}"
"{'distance': 0.9239465570400822, 'evidence_accuracy': 0.38508557457212717, 'evidence_precision': 0.37373737373737376, 'evidence_recall': 0.976897689768977, 'evidence_f1': 0.5406392694063927, 'similarity_metrics': np.float32(0.7198358), 'contradiction': 0.3434751331806183}","{'distance': 0.7457627118644068, 'evidence_accuracy': 0.4315403422982885, 'evidence_precision': 0.3819241982507289, 'evidence_recall': 0.8646864686468647, 'evidence_f1': 0.5298281092012134, 'similarity_metrics': np.float32(0.8102521), 'contradiction': 0.3023022711277008}","{'distance': 0.803921568627451, 'evidence_accuracy': 0.45354523227383864, 'evidence_precision': 0.4, 'evidence_recall': 0.9504950495049505, 'evidence_f1': 0.5630498533724341, 'similarity_metrics': np.float32(0.7894145), 'contradiction': 0.006638350430876017}","{'distance': 0.8952291861552854, 'evidence_accuracy': 0.4095354523227384, 'evidence_precision': 0.38188976377952755, 'evidence_recall': 0.9603960396039604, 'evidence_f1': 0.5464788732394366, 'similarity_metrics': np.float32(0.81091535), 'contradiction': 0.8830978870391846}","{'distance': 0.8333333333333334, 'evidence_accuracy': 0.44987775061124696, 'evidence_precision': 0.3983402489626556, 'evidence_recall': 0.9504950495049505, 'evidence_f1': 0.5614035087719298, 'similarity_metrics': np.float32(0.8423265), 'contradiction': 0.9225338101387024}","{'distance': 0.5986159169550174, 'evidence_accuracy': 0.44621026894865523, 'evidence_precision': 0.3728813559322034, 'evidence_recall': 0.7260726072607261, 'evidence_f1': 0.49272116461366183, 'similarity_metrics': np.float32(0.89241254), 'contradiction': 0.9946410655975342}","{'distance': 0.16870415647921755, 'evidence_accuracy': 0.589242053789731, 'evidence_precision': 0.381294964028777, 'evidence_recall': 0.17491749174917492, 'evidence_f1': 0.23981900452488683, 'similarity_metrics': np.float32(0.9154437), 'contradiction': 0.5310152173042297}"
"{'distance': 0.8396946564885497, 'evidence_accuracy': 0.5630252100840336, 'evidence_precision': 0.5650793650793651, 'evidence_recall': 0.9035532994923858, 'evidence_f1': 0.6953125, 'similarity_metrics': np.float32(0.9349091), 'contradiction': 0.568663477897644}","{'distance': 0.7535211267605634, 'evidence_accuracy': 0.5714285714285714, 'evidence_precision': 0.5763888888888888, 'evidence_recall': 0.8426395939086294, 'evidence_f1': 0.6845360824742267, 'similarity_metrics': np.float32(0.9364071), 'contradiction': 0.021587427705526352}","{'distance': 0.4991974317817014, 'evidence_accuracy': 0.49299719887955185, 'evidence_precision': 0.5396039603960396, 'evidence_recall': 0.5532994923857868, 'evidence_f1': 0.5463659147869674, 'similarity_metrics': np.float32(0.95702136), 'contradiction': 0.029514338821172714}","{'distance': 0.7576853526220615, 'evidence_accuracy': 0.5602240896358543, 'evidence_precision': 0.5689655172413793, 'evidence_recall': 0.8375634517766497, 'evidence_f1': 0.677618069815195, 'similarity_metrics': np.float32(0.93620616), 'contradiction': 0.6313494443893433}","{'distance': 0.8657487091222031, 'evidence_accuracy': 0.5546218487394958, 'evidence_precision': 0.559748427672956, 'evidence_recall': 0.9035532994923858, 'evidence_f1': 0.6912621359223301, 'similarity_metrics': np.float32(0.93841976), 'contradiction': 0.861920952796936}","{'distance': 0.7617328519855595, 'evidence_accuracy': 0.5574229691876751, 'evidence_precision': 0.5665529010238908, 'evidence_recall': 0.8426395939086294, 'evidence_f1': 0.6775510204081632, 'similarity_metrics': np.float32(0.9381684), 'contradiction': 0.028752781450748444}",
"{'distance': 0.673170731707317, 'evidence_accuracy': 0.525691699604743, 'evidence_precision': 0.41397849462365593, 'evidence_recall': 0.875, 'evidence_f1': 0.5620437956204379, 'similarity_metrics': np.float32(0.901701), 'contradiction': 0.9911448359489441}","{'distance': 0.6084905660377358, 'evidence_accuracy': 0.5612648221343873, 'evidence_precision': 0.4327485380116959, 'evidence_recall': 0.8409090909090909, 'evidence_f1': 0.5714285714285715, 'similarity_metrics': np.float32(0.92693496), 'contradiction': 0.6583130359649658}",,"{'distance': 0.6923076923076923, 'evidence_accuracy': 0.5059288537549407, 'evidence_precision': 0.3989071038251366, 'evidence_recall': 0.8295454545454546, 'evidence_f1': 0.5387453874538746, 'similarity_metrics': np.float32(0.92868656), 'contradiction': 0.9925056099891663}","{'distance': 0.6222222222222222, 'evidence_accuracy': 0.525691699604743, 'evidence_precision': 0.40588235294117647, 'evidence_recall': 0.7840909090909091, 'evidence_f1': 0.5348837209302325, 'similarity_metrics': np.float32(0.91503114), 'contradiction': 0.9428507089614868}",,
"{'distance': 0.9447513812154696, 'evidence_accuracy': 0.3174825174825175, 'evidence_precision': 0.2927536231884058, 'evidence_recall': 1.0, 'evidence_f1': 0.45291479820627806, 'similarity_metrics': np.float32(0.8945985), 'contradiction': 0.9798423647880554}","{'distance': 0.9251101321585903, 'evidence_accuracy': 0.27132867132867133, 'evidence_precision': 0.27816411682892905, 'evidence_recall': 0.9900990099009901, 'evidence_f1': 0.4343105320304017, 'similarity_metrics': np.float32(0.8978697), 'contradiction': 0.97453373670578}","{'distance': 0.9248618784530387, 'evidence_accuracy': 0.27412587412587414, 'evidence_precision': 0.2789400278940028, 'evidence_recall': 0.9900990099009901, 'evidence_f1': 0.4352557127312296, 'similarity_metrics': np.float32(0.8799436), 'contradiction': 0.9744176864624023}","{'distance': 0.8517766497461929, 'evidence_accuracy': 0.34825174825174826, 'evidence_precision': 0.2950310559006211, 'evidence_recall': 0.9405940594059405, 'evidence_f1': 0.44917257683215134, 'similarity_metrics': np.float32(0.9062053), 'contradiction': 0.9506752490997314}","{'distance': 0.8519290928050052, 'evidence_accuracy': 0.365034965034965, 'evidence_precision': 0.30434782608695654, 'evidence_recall': 0.9702970297029703, 'evidence_f1': 0.4633569739952719, 'similarity_metrics': np.float32(0.9133463), 'contradiction': 0.7588967680931091}",,"{'distance': 0.18461538461538463, 'evidence_accuracy': 0.6027972027972028, 'evidence_precision': 0.1893939393939394, 'evidence_recall': 0.12376237623762376, 'evidence_f1': 0.1497005988023952, 'similarity_metrics': np.float32(0.8805902), 'contradiction': 0.2464846819639206}"
,,"{'distance': 0.920303605313093, 'evidence_accuracy': 0.2921108742004264, 'evidence_precision': 0.26748057713651496, 'evidence_recall': 0.9836734693877551, 'evidence_f1': 0.4205933682373473, 'similarity_metrics': np.float32(0.76107645), 'contradiction': 0.021533561870455742}","{'distance': 0.8581449727201871, 'evidence_accuracy': 0.326226012793177, 'evidence_precision': 0.2715466351829988, 'evidence_recall': 0.9387755102040817, 'evidence_f1': 0.42124542124542125, 'similarity_metrics': np.float32(0.9044097), 'contradiction': 0.4160241186618805}","{'distance': 0.805184603299293, 'evidence_accuracy': 0.3336886993603412, 'evidence_precision': 0.2665847665847666, 'evidence_recall': 0.8857142857142857, 'evidence_f1': 0.40982058545797917, 'similarity_metrics': np.float32(0.8622449), 'contradiction': 0.8862887024879456}","{'distance': 0.8524743230625583, 'evidence_accuracy': 0.34541577825159914, 'evidence_precision': 0.2852153667054715, 'evidence_recall': 1.0, 'evidence_f1': 0.4438405797101449, 'similarity_metrics': np.float32(0.770169), 'contradiction': 0.9871416091918945}","{'distance': 0.031982942430703654, 'evidence_accuracy': 0.7132196162046909, 'evidence_precision': 0.1, 'evidence_recall': 0.012244897959183673, 'evidence_f1': 0.021818181818181816, 'similarity_metrics': np.float32(0.89478517), 'contradiction': 0.01597640849649906}"
"{'distance': 0.8996655518394648, 'evidence_accuracy': 0.3463611859838275, 'evidence_precision': 0.32664756446991405, 'evidence_recall': 0.9382716049382716, 'evidence_f1': 0.48459086078639746, 'similarity_metrics': np.float32(0.8722464), 'contradiction': 0.8673370480537415}","{'distance': 0.931350114416476, 'evidence_accuracy': 0.36792452830188677, 'evidence_precision': 0.34129213483146065, 'evidence_recall': 1.0, 'evidence_f1': 0.5089005235602094, 'similarity_metrics': np.float32(0.9010165), 'contradiction': 0.47026196122169495}","{'distance': 0.782312925170068, 'evidence_accuracy': 0.44609164420485176, 'evidence_precision': 0.369969040247678, 'evidence_recall': 0.9835390946502057, 'evidence_f1': 0.5376827896512936, 'similarity_metrics': np.float32(0.95363027), 'contradiction': 0.8256022930145264}","{'distance': 0.6175663311985362, 'evidence_accuracy': 0.5161725067385444, 'evidence_precision': 0.39416058394160586, 'evidence_recall': 0.8888888888888888, 'evidence_f1': 0.5461441213653604, 'similarity_metrics': np.float32(0.99138653), 'contradiction': 0.9923425316810608}","{'distance': 0.6532877882152006, 'evidence_accuracy': 0.5175202156334232, 'evidence_precision': 0.39371534195933455, 'evidence_recall': 0.8765432098765432, 'evidence_f1': 0.5433673469387754, 'similarity_metrics': np.float32(0.93031263), 'contradiction': 0.8540874719619751}","{'distance': 0.8833535844471446, 'evidence_accuracy': 0.38140161725067384, 'evidence_precision': 0.3448275862068966, 'evidence_recall': 0.9876543209876543, 'evidence_f1': 0.5111821086261981, 'similarity_metrics': np.float32(0.89446753), 'contradiction': 0.995782732963562}","{'distance': 0.1307277628032345, 'evidence_accuracy': 0.6469002695417789, 'evidence_precision': 0.4020618556701031, 'evidence_recall': 0.16049382716049382, 'evidence_f1': 0.22941176470588237, 'similarity_metrics': np.float32(0.9372711), 'contradiction': 0.08881773799657822}"
"{'distance': 0.9406919275123559, 'evidence_accuracy': 0.23624288425047438, 'evidence_precision': 0.21021611001964635, 'evidence_recall': 0.9953488372093023, 'evidence_f1': 0.3471208434712084, 'similarity_metrics': np.float32(0.8207145), 'contradiction': 0.0039533511735498905}","{'distance': 0.8335949764521193, 'evidence_accuracy': 0.2922201138519924, 'evidence_precision': 0.220231822971549, 'evidence_recall': 0.9720930232558139, 'evidence_f1': 0.359106529209622, 'similarity_metrics': np.float32(0.89960355), 'contradiction': 0.006137682590633631}","{'distance': 0.9330543933054394, 'evidence_accuracy': 0.24003795066413663, 'evidence_precision': 0.21104536489151873, 'evidence_recall': 0.9953488372093023, 'evidence_f1': 0.3482506102522376, 'similarity_metrics': np.float32(0.8289587), 'contradiction': 0.014277140609920025}","{'distance': 0.95695618754804, 'evidence_accuracy': 0.21726755218216318, 'evidence_precision': 0.20272904483430798, 'evidence_recall': 0.9674418604651163, 'evidence_f1': 0.3352135374697824, 'similarity_metrics': np.float32(0.9062282), 'contradiction': 0.6517179012298584}","{'distance': 0.92372234935164, 'evidence_accuracy': 0.23624288425047438, 'evidence_precision': 0.2061752988047809, 'evidence_recall': 0.9627906976744186, 'evidence_f1': 0.339622641509434, 'similarity_metrics': np.float32(0.89455837), 'contradiction': 0.8033607602119446}","{'distance': 0.941717791411043, 'evidence_accuracy': 0.22675521821631878, 'evidence_precision': 0.2047244094488189, 'evidence_recall': 0.9674418604651163, 'evidence_f1': 0.33793663688058484, 'similarity_metrics': np.float32(0.9010462), 'contradiction': 0.9436026811599731}","{'distance': 0.04174573055028463, 'evidence_accuracy': 0.786527514231499, 'evidence_precision': 0.38636363636363635, 'evidence_recall': 0.07906976744186046, 'evidence_f1': 0.13127413127413126, 'similarity_metrics': np.float32(0.97609675), 'contradiction': 0.06839317083358765}"
"{'distance': 0.8708487084870848, 'evidence_accuracy': 0.4566744730679157, 'evidence_precision': 0.4239401496259352, 'evidence_recall': 0.9941520467836257, 'evidence_f1': 0.5944055944055945, 'similarity_metrics': np.float32(0.64797366), 'contradiction': 0.9640699625015259}","{'distance': 0.8579439252336448, 'evidence_accuracy': 0.4613583138173302, 'evidence_precision': 0.4241645244215938, 'evidence_recall': 0.9649122807017544, 'evidence_f1': 0.5892857142857142, 'similarity_metrics': np.float32(0.64166135), 'contradiction': 0.8446954488754272}","{'distance': 0.7437603993344426, 'evidence_accuracy': 0.5105386416861827, 'evidence_precision': 0.44692737430167595, 'evidence_recall': 0.935672514619883, 'evidence_f1': 0.6049149338374291, 'similarity_metrics': np.float32(0.9043991), 'contradiction': 0.9974945783615112}","{'distance': 0.8327402135231317, 'evidence_accuracy': 0.4566744730679157, 'evidence_precision': 0.42118863049095606, 'evidence_recall': 0.9532163742690059, 'evidence_f1': 0.5842293906810035, 'similarity_metrics': np.float32(0.6195265), 'contradiction': 0.9540305137634277}","{'distance': 0.7045454545454546, 'evidence_accuracy': 0.5714285714285714, 'evidence_precision': 0.48148148148148145, 'evidence_recall': 0.9122807017543859, 'evidence_f1': 0.6303030303030304, 'similarity_metrics': np.float32(0.935351), 'contradiction': 0.9966173768043518}","{'distance': 0.7767441860465116, 'evidence_accuracy': 0.468384074941452, 'evidence_precision': 0.42134831460674155, 'evidence_recall': 0.8771929824561403, 'evidence_f1': 0.5692599620493358, 'similarity_metrics': np.float32(0.8592857), 'contradiction': 0.9236810207366943}","{'distance': 0.2365339578454333, 'evidence_accuracy': 0.5269320843091335, 'evidence_precision': 0.3465346534653465, 'evidence_recall': 0.2046783625730994, 'evidence_f1': 0.2573529411764706, 'similarity_metrics': np.float32(0.7908653), 'contradiction': 0.08658678084611893}"
