e-persona-you,e-persona-human,e-chain-of-thought,baseline,e-chat-history,e-implcit-target
"{'closeness': 1.0, 'similarity_metrics': 1.0, 'contradiction': 0.006033562123775482, 'evidence_accuracy': 0.7012987012987013, 'evidence_precision': 0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.39009287925696595, 'crest_precision': 0, 'crest_recall': 0.0, 'crest_f1': 0}","{'closeness': 0.6200066028392208, 'similarity_metrics': 0.8078043, 'contradiction': 0.589798629283905, 'evidence_accuracy': 0.4431818181818182, 'evidence_precision': 0.16736401673640167, 'evidence_recall': 0.21739130434782608, 'evidence_f1': 0.18912529550827423, 'crest_accuracy': 0.6068111455108359, 'crest_precision': 0.6485355648535565, 'crest_recall': 0.7828282828282829, 'crest_f1': 0.7093821510297483}","{'closeness': 0.9366127434796963, 'similarity_metrics': 1.0, 'contradiction': 0.006033562123775482, 'evidence_accuracy': 0.6396103896103896, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.39009287925696595, 'crest_precision': 0, 'crest_recall': 0.0, 'crest_f1': 0}","{'closeness': 1.0, 'similarity_metrics': 1.0, 'contradiction': 0.006033562123775482, 'evidence_accuracy': 0.7012987012987013, 'evidence_precision': 0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.39009287925696595, 'crest_precision': 0, 'crest_recall': 0.0, 'crest_f1': 0}","{'closeness': 0.9366127434796963, 'similarity_metrics': 1.0, 'contradiction': 0.006033562123775482, 'evidence_accuracy': 0.6396103896103896, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.39009287925696595, 'crest_precision': 0, 'crest_recall': 0.0, 'crest_f1': 0}","{'closeness': 0.9937273027401783, 'similarity_metrics': 0.994171, 'contradiction': 0.9828665852546692, 'evidence_accuracy': 0.698051948051948, 'evidence_precision': 0.25, 'evidence_recall': 0.005434782608695652, 'evidence_f1': 0.010638297872340424, 'crest_accuracy': 0.4024767801857585, 'crest_precision': 1.0, 'crest_recall': 0.025252525252525252, 'crest_f1': 0.04926108374384236}"
"{'closeness': 0.8453494771601541, 'similarity_metrics': 0.90375054, 'contradiction': 0.9677784442901611, 'evidence_accuracy': 0.6099476439790575, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 0.18253968253968253, 'evidence_f1': 0.23589743589743592, 'crest_accuracy': 0.5062893081761006, 'crest_precision': 0.8857142857142857, 'crest_recall': 0.2938388625592417, 'crest_f1': 0.4412811387900356}","{'closeness': 0.9053384700055036, 'similarity_metrics': 0.939825, 'contradiction': 0.9851277470588684, 'evidence_accuracy': 0.6256544502617801, 'evidence_precision': 0.2702702702702703, 'evidence_recall': 0.07936507936507936, 'evidence_f1': 0.12269938650306748, 'crest_accuracy': 0.449685534591195, 'crest_precision': 0.9736842105263158, 'crest_recall': 0.17535545023696683, 'crest_f1': 0.2971887550200803}","{'closeness': 0.9977985690698954, 'similarity_metrics': 0.9994445, 'contradiction': 0.28254058957099915, 'evidence_accuracy': 0.6675392670157068, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.34276729559748426, 'crest_precision': 1.0, 'crest_recall': 0.004761904761904762, 'crest_f1': 0.009478672985781991}","{'closeness': 0.9047881122729774, 'similarity_metrics': 0.9393727, 'contradiction': 0.9912375211715698, 'evidence_accuracy': 0.6256544502617801, 'evidence_precision': 0.2926829268292683, 'evidence_recall': 0.09523809523809523, 'evidence_f1': 0.1437125748502994, 'crest_accuracy': 0.46226415094339623, 'crest_precision': 0.9761904761904762, 'crest_recall': 0.1943127962085308, 'crest_f1': 0.3241106719367589}","{'closeness': 0.9290038525041276, 'similarity_metrics': 0.9365879, 'contradiction': 0.9933797121047974, 'evidence_accuracy': 0.6387434554973822, 'evidence_precision': 0.43478260869565216, 'evidence_recall': 0.31746031746031744, 'evidence_f1': 0.3669724770642202, 'crest_accuracy': 0.44025157232704404, 'crest_precision': 0.7142857142857143, 'crest_recall': 0.26066350710900477, 'crest_f1': 0.3819444444444445}","{'closeness': 0.9774353329664281, 'similarity_metrics': 0.9991152, 'contradiction': 0.3146013617515564, 'evidence_accuracy': 0.6518324607329843, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.3553459119496855, 'crest_precision': 0.875, 'crest_recall': 0.03317535545023697, 'crest_f1': 0.0639269406392694}"
"{'closeness': 0.9648397104446742, 'similarity_metrics': 0.90391886, 'contradiction': 0.7742766737937927, 'evidence_accuracy': 0.6466992665036675, 'evidence_precision': 0.75, 'evidence_recall': 0.06930693069306931, 'evidence_f1': 0.1268882175226586, 'crest_accuracy': 0.4756756756756757, 'crest_precision': 0.9130434782608695, 'crest_recall': 0.09859154929577464, 'crest_f1': 0.17796610169491522}","{'closeness': 0.9702688728024819, 'similarity_metrics': 0.91124356, 'contradiction': 0.7742766737937927, 'evidence_accuracy': 0.6418092909535452, 'evidence_precision': 0.7083333333333334, 'evidence_recall': 0.056105610561056105, 'evidence_f1': 0.10397553516819573, 'crest_accuracy': 0.4702702702702703, 'crest_precision': 0.9047619047619048, 'crest_recall': 0.0892018779342723, 'crest_f1': 0.1623931623931624}","{'closeness': 0.9974106680476437, 'similarity_metrics': 0.98265696, 'contradiction': 0.35301265120506287, 'evidence_accuracy': 0.628361858190709, 'evidence_precision': 0.4, 'evidence_recall': 0.006600660066006601, 'evidence_f1': 0.012987012987012986, 'crest_accuracy': 0.43243243243243246, 'crest_precision': 0.7142857142857143, 'crest_recall': 0.023474178403755867, 'crest_f1': 0.045454545454545456}","{'closeness': 0.9772138788192646, 'similarity_metrics': 0.9204556, 'contradiction': 0.8456783294677734, 'evidence_accuracy': 0.5696821515892421, 'evidence_precision': 0.32867132867132864, 'evidence_recall': 0.1551155115511551, 'evidence_f1': 0.210762331838565, 'crest_accuracy': 0.43783783783783786, 'crest_precision': 0.6470588235294118, 'crest_recall': 0.051643192488262914, 'crest_f1': 0.0956521739130435}","{'closeness': 0.9567581563956499, 'similarity_metrics': 0.9244619, 'contradiction': 0.798493504524231, 'evidence_accuracy': 0.5721271393643031, 'evidence_precision': 0.35403726708074534, 'evidence_recall': 0.18811881188118812, 'evidence_f1': 0.24568965517241376, 'crest_accuracy': 0.5081081081081081, 'crest_precision': 0.7313432835820896, 'crest_recall': 0.2300469483568075, 'crest_f1': 0.35}","{'closeness': 0.9432936302433972, 'similarity_metrics': 0.93387353, 'contradiction': 0.9796810150146484, 'evidence_accuracy': 0.5941320293398533, 'evidence_precision': 0.40522875816993464, 'evidence_recall': 0.20462046204620463, 'evidence_f1': 0.27192982456140347, 'crest_accuracy': 0.4783783783783784, 'crest_precision': 0.75, 'crest_recall': 0.14084507042253522, 'crest_f1': 0.23715415019762845}"
"{'closeness': 0.9895043731778426, 'similarity_metrics': 0.9991733, 'contradiction': 0.2551288902759552, 'evidence_accuracy': 0.453781512605042, 'evidence_precision': 0.625, 'evidence_recall': 0.025380710659898477, 'evidence_f1': 0.04878048780487805, 'crest_accuracy': 0.4117647058823529, 'crest_precision': 0.875, 'crest_recall': 0.032407407407407406, 'crest_f1': 0.06249999999999999}","{'closeness': 0.9900874635568513, 'similarity_metrics': 0.9991733, 'contradiction': 0.2551288902759552, 'evidence_accuracy': 0.453781512605042, 'evidence_precision': 0.625, 'evidence_recall': 0.025380710659898477, 'evidence_f1': 0.04878048780487805, 'crest_accuracy': 0.4117647058823529, 'crest_precision': 0.875, 'crest_recall': 0.032407407407407406, 'crest_f1': 0.06249999999999999}","{'closeness': 0.9778554778554779, 'similarity_metrics': 0.998849, 'contradiction': 0.4991776645183563, 'evidence_accuracy': 0.453781512605042, 'evidence_precision': 0.6, 'evidence_recall': 0.030456852791878174, 'evidence_f1': 0.05797101449275363, 'crest_accuracy': 0.4117647058823529, 'crest_precision': 0.8, 'crest_recall': 0.037037037037037035, 'crest_f1': 0.07079646017699115}","{'closeness': 0.9883381924198251, 'similarity_metrics': 0.9973514, 'contradiction': 0.2551288902759552, 'evidence_accuracy': 0.4565826330532213, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 0.030456852791878174, 'evidence_f1': 0.05825242718446602, 'crest_accuracy': 0.41456582633053224, 'crest_precision': 0.8888888888888888, 'crest_recall': 0.037037037037037035, 'crest_f1': 0.07111111111111111}","{'closeness': 0.9825072886297376, 'similarity_metrics': 0.9935105, 'contradiction': 0.08663669228553772, 'evidence_accuracy': 0.47058823529411764, 'evidence_precision': 1.0, 'evidence_recall': 0.04060913705583756, 'evidence_f1': 0.07804878048780488, 'crest_accuracy': 0.4117647058823529, 'crest_precision': 0.875, 'crest_recall': 0.032407407407407406, 'crest_f1': 0.06249999999999999}","{'closeness': 0.9749271137026239, 'similarity_metrics': 0.9974651, 'contradiction': 0.9169517159461975, 'evidence_accuracy': 0.3641456582633053, 'evidence_precision': 0.3170731707317073, 'evidence_recall': 0.1319796954314721, 'evidence_f1': 0.1863799283154122, 'crest_accuracy': 0.43977591036414565, 'crest_precision': 0.5975609756097561, 'crest_recall': 0.22685185185185186, 'crest_f1': 0.3288590604026846}"
"{'closeness': 0.9550847457627119, 'similarity_metrics': 0.99761367, 'contradiction': 0.9488593935966492, 'evidence_accuracy': 0.6600790513833992, 'evidence_precision': 0.5833333333333334, 'evidence_recall': 0.07954545454545454, 'evidence_f1': 0.13999999999999999, 'crest_accuracy': 0.49407114624505927, 'crest_precision': 0.9166666666666666, 'crest_recall': 0.07971014492753623, 'crest_f1': 0.14666666666666664}","{'closeness': 0.9661876584953508, 'similarity_metrics': 0.99787515, 'contradiction': 0.9504237174987793, 'evidence_accuracy': 0.6521739130434783, 'evidence_precision': 0.5, 'evidence_recall': 0.056818181818181816, 'evidence_f1': 0.10204081632653061, 'crest_accuracy': 0.48616600790513836, 'crest_precision': 0.9, 'crest_recall': 0.06521739130434782, 'crest_f1': 0.12162162162162163}","{'closeness': 0.997457627118644, 'similarity_metrics': 0.9723069, 'contradiction': 0.8144669532775879, 'evidence_accuracy': 0.6482213438735178, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.45849802371541504, 'crest_precision': 1.0, 'crest_recall': 0.007246376811594203, 'crest_f1': 0.014388489208633093}","{'closeness': 0.9550847457627119, 'similarity_metrics': 0.99761367, 'contradiction': 0.9488593935966492, 'evidence_accuracy': 0.6600790513833992, 'evidence_precision': 0.5833333333333334, 'evidence_recall': 0.07954545454545454, 'evidence_f1': 0.13999999999999999, 'crest_accuracy': 0.49407114624505927, 'crest_precision': 0.9166666666666666, 'crest_recall': 0.07971014492753623, 'crest_f1': 0.14666666666666664}","{'closeness': 0.9286307053941909, 'similarity_metrics': 0.98543906, 'contradiction': 0.9729048013687134, 'evidence_accuracy': 0.7035573122529645, 'evidence_precision': 0.8421052631578947, 'evidence_recall': 0.18181818181818182, 'evidence_f1': 0.29906542056074764, 'crest_accuracy': 0.5217391304347826, 'crest_precision': 0.9473684210526315, 'crest_recall': 0.13043478260869565, 'crest_f1': 0.22929936305732482}","{'closeness': 0.9889830508474576, 'similarity_metrics': 0.97010773, 'contradiction': 0.8173633217811584, 'evidence_accuracy': 0.6600790513833992, 'evidence_precision': 0.75, 'evidence_recall': 0.03409090909090909, 'evidence_f1': 0.06521739130434782, 'crest_accuracy': 0.45454545454545453, 'crest_precision': 0.5, 'crest_recall': 0.014492753623188406, 'crest_f1': 0.028169014084507046}"
"{'closeness': 0.997956204379562, 'similarity_metrics': 0.99943864, 'contradiction': 0.9904499650001526, 'evidence_accuracy': 0.7146853146853147, 'evidence_precision': 0.25, 'evidence_recall': 0.0049504950495049506, 'evidence_f1': 0.009708737864077669, 'crest_accuracy': 0.3761467889908257, 'crest_precision': 0.6, 'crest_recall': 0.014634146341463415, 'crest_f1': 0.028571428571428574}","{'closeness': 0.997956204379562, 'similarity_metrics': 0.99943864, 'contradiction': 0.9904499650001526, 'evidence_accuracy': 0.7146853146853147, 'evidence_precision': 0.25, 'evidence_recall': 0.0049504950495049506, 'evidence_f1': 0.009708737864077669, 'crest_accuracy': 0.3761467889908257, 'crest_precision': 0.6, 'crest_recall': 0.014634146341463415, 'crest_f1': 0.028571428571428574}","{'closeness': 0.9736995908825249, 'similarity_metrics': 0.99466217, 'contradiction': 0.995663583278656, 'evidence_accuracy': 0.7342657342657343, 'evidence_precision': 0.8333333333333334, 'evidence_recall': 0.07425742574257425, 'evidence_f1': 0.13636363636363635, 'crest_accuracy': 0.39755351681957185, 'crest_precision': 0.9, 'crest_recall': 0.04390243902439024, 'crest_f1': 0.08372093023255814}","{'closeness': 0.989187609585038, 'similarity_metrics': 0.99700207, 'contradiction': 0.9918375611305237, 'evidence_accuracy': 0.7272727272727273, 'evidence_precision': 0.8888888888888888, 'evidence_recall': 0.039603960396039604, 'evidence_f1': 0.07582938388625592, 'crest_accuracy': 0.39755351681957185, 'crest_precision': 0.9, 'crest_recall': 0.04390243902439024, 'crest_f1': 0.08372093023255814}","{'closeness': 0.9731308411214953, 'similarity_metrics': 0.99510133, 'contradiction': 0.988014280796051, 'evidence_accuracy': 0.7342657342657343, 'evidence_precision': 0.8333333333333334, 'evidence_recall': 0.07425742574257425, 'evidence_f1': 0.13636363636363635, 'crest_accuracy': 0.39755351681957185, 'crest_precision': 0.9, 'crest_recall': 0.04390243902439024, 'crest_f1': 0.08372093023255814}","{'closeness': 0.9935710111046172, 'similarity_metrics': 0.97678864, 'contradiction': 0.7377363443374634, 'evidence_accuracy': 0.7118881118881119, 'evidence_precision': 0.4090909090909091, 'evidence_recall': 0.04455445544554455, 'evidence_f1': 0.08035714285714286, 'crest_accuracy': 0.38837920489296635, 'crest_precision': 0.8571428571428571, 'crest_recall': 0.02926829268292683, 'crest_f1': 0.05660377358490566}"
"{'closeness': 0.9638609332113449, 'similarity_metrics': 0.9868892, 'contradiction': 0.9511817693710327, 'evidence_accuracy': 0.5831556503198294, 'evidence_precision': 0.25, 'evidence_recall': 0.2979591836734694, 'evidence_f1': 0.2718808193668529, 'crest_accuracy': 0.49206349206349204, 'crest_precision': 0.6548672566371682, 'crest_recall': 0.32599118942731276, 'crest_f1': 0.43529411764705883}","{'closeness': 0.966376944190302, 'similarity_metrics': 0.9961876, 'contradiction': 0.05024705082178116, 'evidence_accuracy': 0.5319829424307037, 'evidence_precision': 0.23783783783783785, 'evidence_recall': 0.35918367346938773, 'evidence_f1': 0.2861788617886179, 'crest_accuracy': 0.4497354497354497, 'crest_precision': 0.5664335664335665, 'crest_recall': 0.3568281938325991, 'crest_f1': 0.4378378378378378}","{'closeness': 0.9965690759377859, 'similarity_metrics': 0.98669124, 'contradiction': 0.03104162961244583, 'evidence_accuracy': 0.7388059701492538, 'evidence_precision': 0.5, 'evidence_recall': 0.00816326530612245, 'evidence_f1': 0.016064257028112452, 'crest_accuracy': 0.41005291005291006, 'crest_precision': 1.0, 'crest_recall': 0.01327433628318584, 'crest_f1': 0.026200873362445417}","{'closeness': 0.966376944190302, 'similarity_metrics': 0.9961876, 'contradiction': 0.05024705082178116, 'evidence_accuracy': 0.5319829424307037, 'evidence_precision': 0.23783783783783785, 'evidence_recall': 0.35918367346938773, 'evidence_f1': 0.2861788617886179, 'crest_accuracy': 0.4497354497354497, 'crest_precision': 0.5664335664335665, 'crest_recall': 0.3568281938325991, 'crest_f1': 0.4378378378378378}","{'closeness': 0.9613449222323879, 'similarity_metrics': 0.9868892, 'contradiction': 0.9410174489021301, 'evidence_accuracy': 0.5511727078891258, 'evidence_precision': 0.25280898876404495, 'evidence_recall': 0.3673469387755102, 'evidence_f1': 0.2995008319467554, 'crest_accuracy': 0.47883597883597884, 'crest_precision': 0.6136363636363636, 'crest_recall': 0.3568281938325991, 'crest_f1': 0.4512534818941504}","{'closeness': 0.9636322049405307, 'similarity_metrics': 0.99354136, 'contradiction': 0.9260488748550415, 'evidence_accuracy': 0.5298507462686567, 'evidence_precision': 0.23655913978494625, 'evidence_recall': 0.35918367346938773, 'evidence_f1': 0.28525121555915717, 'crest_accuracy': 0.4497354497354497, 'crest_precision': 0.5655172413793104, 'crest_recall': 0.36123348017621143, 'crest_f1': 0.44086021505376344}"
"{'closeness': 0.9869398207426376, 'similarity_metrics': 0.99819845, 'contradiction': 0.9651051163673401, 'evidence_accuracy': 0.6900269541778976, 'evidence_precision': 1.0, 'evidence_recall': 0.053497942386831275, 'evidence_f1': 0.10156249999999999, 'crest_accuracy': 0.40336134453781514, 'crest_precision': 1.0, 'crest_recall': 0.06167400881057269, 'crest_f1': 0.11618257261410789}","{'closeness': 0.9869398207426376, 'similarity_metrics': 0.99819845, 'contradiction': 0.9651051163673401, 'evidence_accuracy': 0.6900269541778976, 'evidence_precision': 1.0, 'evidence_recall': 0.053497942386831275, 'evidence_f1': 0.10156249999999999, 'crest_accuracy': 0.40336134453781514, 'crest_precision': 1.0, 'crest_recall': 0.06167400881057269, 'crest_f1': 0.11618257261410789}","{'closeness': 0.9802816901408451, 'similarity_metrics': 0.9967283, 'contradiction': 0.9666858911514282, 'evidence_accuracy': 0.6913746630727763, 'evidence_precision': 0.8888888888888888, 'evidence_recall': 0.06584362139917696, 'evidence_f1': 0.12260536398467434, 'crest_accuracy': 0.3865546218487395, 'crest_precision': 1.0, 'crest_recall': 0.03524229074889868, 'crest_f1': 0.06808510638297872}","{'closeness': 0.9869398207426376, 'similarity_metrics': 0.99819845, 'contradiction': 0.9651051163673401, 'evidence_accuracy': 0.6900269541778976, 'evidence_precision': 1.0, 'evidence_recall': 0.053497942386831275, 'evidence_f1': 0.10156249999999999, 'crest_accuracy': 0.40336134453781514, 'crest_precision': 1.0, 'crest_recall': 0.06167400881057269, 'crest_f1': 0.11618257261410789}","{'closeness': 0.9743918053777209, 'similarity_metrics': 0.9991598, 'contradiction': 0.9579019546508789, 'evidence_accuracy': 0.6900269541778976, 'evidence_precision': 0.782608695652174, 'evidence_recall': 0.07407407407407407, 'evidence_f1': 0.13533834586466165, 'crest_accuracy': 0.38375350140056025, 'crest_precision': 1.0, 'crest_recall': 0.030837004405286344, 'crest_f1': 0.05982905982905983}","{'closeness': 0.9595390524967989, 'similarity_metrics': 0.9980402, 'contradiction': 0.9912482500076294, 'evidence_accuracy': 0.5673854447439353, 'evidence_precision': 0.3177570093457944, 'evidence_recall': 0.27983539094650206, 'evidence_f1': 0.29759299781181614, 'crest_accuracy': 0.4649859943977591, 'crest_precision': 0.6636363636363637, 'crest_recall': 0.32158590308370044, 'crest_f1': 0.4332344213649852}"
"{'closeness': 0.8955054048928504, 'similarity_metrics': 0.9250562, 'contradiction': 0.8102352023124695, 'evidence_accuracy': 0.7011385199240987, 'evidence_precision': 0.07627118644067797, 'evidence_recall': 0.04186046511627907, 'evidence_f1': 0.05405405405405406, 'crest_accuracy': 0.45077720207253885, 'crest_precision': 0.5315315315315315, 'crest_recall': 0.2694063926940639, 'crest_f1': 0.3575757575757576}","{'closeness': 0.8955054048928504, 'similarity_metrics': 0.9250562, 'contradiction': 0.8102352023124695, 'evidence_accuracy': 0.7011385199240987, 'evidence_precision': 0.07627118644067797, 'evidence_recall': 0.04186046511627907, 'evidence_f1': 0.05405405405405406, 'crest_accuracy': 0.45077720207253885, 'crest_precision': 0.5315315315315315, 'crest_recall': 0.2694063926940639, 'crest_f1': 0.3575757575757576}","{'closeness': 0.9025222833301726, 'similarity_metrics': 0.9977295, 'contradiction': 0.008080177009105682, 'evidence_accuracy': 0.8092979127134725, 'evidence_precision': 0.5625, 'evidence_recall': 0.2930232558139535, 'evidence_f1': 0.38532110091743116, 'crest_accuracy': 0.4378238341968912, 'crest_precision': 0.75, 'crest_recall': 0.0136986301369863, 'crest_f1': 0.026905829596412554}","{'closeness': 0.8955054048928504, 'similarity_metrics': 0.9250562, 'contradiction': 0.8102352023124695, 'evidence_accuracy': 0.7011385199240987, 'evidence_precision': 0.07627118644067797, 'evidence_recall': 0.04186046511627907, 'evidence_f1': 0.05405405405405406, 'crest_accuracy': 0.45077720207253885, 'crest_precision': 0.5315315315315315, 'crest_recall': 0.2694063926940639, 'crest_f1': 0.3575757575757576}","{'closeness': 0.9030912194196852, 'similarity_metrics': 0.99489886, 'contradiction': 0.9130064249038696, 'evidence_accuracy': 0.8311195445920304, 'evidence_precision': 0.6637168141592921, 'evidence_recall': 0.3488372093023256, 'evidence_f1': 0.45731707317073167, 'crest_accuracy': 0.45077720207253885, 'crest_precision': 0.8, 'crest_recall': 0.03669724770642202, 'crest_f1': 0.07017543859649122}","{'closeness': 0.9023326379670017, 'similarity_metrics': 0.99806076, 'contradiction': 0.994282603263855, 'evidence_accuracy': 0.8055028462998103, 'evidence_precision': 0.543859649122807, 'evidence_recall': 0.28837209302325584, 'evidence_f1': 0.3768996960486322, 'crest_accuracy': 0.44559585492227977, 'crest_precision': 0.8571428571428571, 'crest_recall': 0.0273972602739726, 'crest_f1': 0.05309734513274336}"
"{'closeness': 0.7965941343424787, 'similarity_metrics': 0.92736185, 'contradiction': 0.0856422409415245, 'evidence_accuracy': 0.3840749414519906, 'evidence_precision': 0.020833333333333332, 'evidence_recall': 0.011695906432748537, 'evidence_f1': 0.014981273408239702, 'crest_accuracy': 0.40285714285714286, 'crest_precision': 0.5104166666666666, 'crest_recall': 0.23222748815165878, 'crest_f1': 0.3192182410423453}","{'closeness': 0.7852412488174078, 'similarity_metrics': 0.92736185, 'contradiction': 0.06877590715885162, 'evidence_accuracy': 0.3442622950819672, 'evidence_precision': 0.1292517006802721, 'evidence_recall': 0.1111111111111111, 'evidence_f1': 0.11949685534591195, 'crest_accuracy': 0.4, 'crest_precision': 0.5035971223021583, 'crest_recall': 0.33175355450236965, 'crest_f1': 0.39999999999999997}","{'closeness': 0.9739829706717124, 'similarity_metrics': 0.9996823, 'contradiction': 0.1291683167219162, 'evidence_accuracy': 0.4918032786885246, 'evidence_precision': 0.3357142857142857, 'evidence_recall': 0.27485380116959063, 'evidence_f1': 0.3022508038585209, 'crest_accuracy': 0.44285714285714284, 'crest_precision': 0.5689655172413793, 'crest_recall': 0.3127962085308057, 'crest_f1': 0.4036697247706422}","{'closeness': 0.7965941343424787, 'similarity_metrics': 0.92736185, 'contradiction': 0.0856422409415245, 'evidence_accuracy': 0.3840749414519906, 'evidence_precision': 0.020833333333333332, 'evidence_recall': 0.011695906432748537, 'evidence_f1': 0.014981273408239702, 'crest_accuracy': 0.40285714285714286, 'crest_precision': 0.5104166666666666, 'crest_recall': 0.23222748815165878, 'crest_f1': 0.3192182410423453}","{'closeness': 0.9924385633270322, 'similarity_metrics': 0.99112487, 'contradiction': 0.9946244359016418, 'evidence_accuracy': 0.5995316159250585, 'evidence_precision': 0.5, 'evidence_recall': 0.011695906432748537, 'evidence_f1': 0.022857142857142857, 'crest_accuracy': 0.4085714285714286, 'crest_precision': 1.0, 'crest_recall': 0.018957345971563982, 'crest_f1': 0.0372093023255814}","{'closeness': 0.5383159886471145, 'similarity_metrics': 0.8920443, 'contradiction': 0.9921135902404785, 'evidence_accuracy': 0.4168618266978923, 'evidence_precision': 0.3464566929133858, 'evidence_recall': 0.5146198830409356, 'evidence_f1': 0.4141176470588235, 'crest_accuracy': 0.44285714285714284, 'crest_precision': 0.5392156862745098, 'crest_recall': 0.5213270142180095, 'crest_f1': 0.5301204819277108}"
