e-chat-history,e-persona-you,e-persona-human,e-implcit-target,baseline,e-chain-of-thought
"{'closeness': 0.15813799933971606, 'similarity_metrics': 0.7803047, 'contradiction': 0.037109315395355225, 'evidence_accuracy': 0.375, 'evidence_precision': 0.3092979127134725, 'evidence_recall': 0.8858695652173914, 'evidence_f1': 0.4585091420534459, 'crest_accuracy': 0.5696594427244582, 'crest_precision': 0.6239316239316239, 'crest_recall': 0.7411167512690355, 'crest_f1': 0.6774941995359629}","{'closeness': 0.9560911191812479, 'similarity_metrics': 0.99965847, 'contradiction': 0.01603659987449646, 'evidence_accuracy': 0.48863636363636365, 'evidence_precision': 0.21888412017167383, 'evidence_recall': 0.27717391304347827, 'evidence_f1': 0.24460431654676262, 'crest_accuracy': 0.5386996904024768, 'crest_precision': 0.6875, 'crest_recall': 0.4467005076142132, 'crest_f1': 0.5415384615384615}","{'closeness': 0.9560911191812479, 'similarity_metrics': 0.99965847, 'contradiction': 0.01603659987449646, 'evidence_accuracy': 0.48863636363636365, 'evidence_precision': 0.21888412017167383, 'evidence_recall': 0.27717391304347827, 'evidence_f1': 0.24460431654676262, 'crest_accuracy': 0.5386996904024768, 'crest_precision': 0.6875, 'crest_recall': 0.4467005076142132, 'crest_f1': 0.5415384615384615}","{'closeness': 0.9560911191812479, 'similarity_metrics': 0.9990433, 'contradiction': 0.05051159858703613, 'evidence_accuracy': 0.487012987012987, 'evidence_precision': 0.21551724137931033, 'evidence_recall': 0.2717391304347826, 'evidence_f1': 0.24038461538461536, 'crest_accuracy': 0.541795665634675, 'crest_precision': 0.689922480620155, 'crest_recall': 0.4517766497461929, 'crest_f1': 0.5460122699386504}","{'closeness': 0.9560911191812479, 'similarity_metrics': 0.99965847, 'contradiction': 0.01603659987449646, 'evidence_accuracy': 0.48863636363636365, 'evidence_precision': 0.21888412017167383, 'evidence_recall': 0.27717391304347827, 'evidence_f1': 0.24460431654676262, 'crest_accuracy': 0.5386996904024768, 'crest_precision': 0.6875, 'crest_recall': 0.4467005076142132, 'crest_f1': 0.5415384615384615}","{'closeness': 0.998679432155827, 'similarity_metrics': 1.0, 'contradiction': 0.0061667622067034245, 'evidence_accuracy': 0.6948051948051948, 'evidence_precision': 0.25, 'evidence_recall': 0.010869565217391304, 'evidence_f1': 0.020833333333333332, 'crest_accuracy': 0.4086687306501548, 'crest_precision': 0.8888888888888888, 'crest_recall': 0.04040404040404041, 'crest_f1': 0.07729468599033817}"
"{'closeness': 0.45184369840396255, 'similarity_metrics': 0.88094413, 'contradiction': 0.07181109488010406, 'evidence_accuracy': 0.7617801047120419, 'evidence_precision': 0.5806451612903226, 'evidence_recall': 1.0, 'evidence_f1': 0.7346938775510204, 'crest_accuracy': 0.6320754716981132, 'crest_precision': 0.803921568627451, 'crest_recall': 0.5857142857142857, 'crest_f1': 0.6776859504132232}","{'closeness': 0.9097413318657127, 'similarity_metrics': 0.99650544, 'contradiction': 0.03249455615878105, 'evidence_accuracy': 0.47643979057591623, 'evidence_precision': 0.29213483146067415, 'evidence_recall': 0.4126984126984127, 'evidence_f1': 0.34210526315789475, 'crest_accuracy': 0.4748427672955975, 'crest_precision': 0.6503496503496503, 'crest_recall': 0.44285714285714284, 'crest_f1': 0.5269121813031161}","{'closeness': 0.9097413318657127, 'similarity_metrics': 0.99650544, 'contradiction': 0.03249455615878105, 'evidence_accuracy': 0.47643979057591623, 'evidence_precision': 0.29213483146067415, 'evidence_recall': 0.4126984126984127, 'evidence_f1': 0.34210526315789475, 'crest_accuracy': 0.4748427672955975, 'crest_precision': 0.6503496503496503, 'crest_recall': 0.44285714285714284, 'crest_f1': 0.5269121813031161}","{'closeness': 0.9367088607594937, 'similarity_metrics': 0.9801652, 'contradiction': 0.0724438950419426, 'evidence_accuracy': 0.5, 'evidence_precision': 0.31213872832369943, 'evidence_recall': 0.42857142857142855, 'evidence_f1': 0.3612040133779264, 'crest_accuracy': 0.4779874213836478, 'crest_precision': 0.6527777777777778, 'crest_recall': 0.44761904761904764, 'crest_f1': 0.5310734463276836}","{'closeness': 0.9135938359933957, 'similarity_metrics': 0.99652576, 'contradiction': 0.02942047268152237, 'evidence_accuracy': 0.4738219895287958, 'evidence_precision': 0.288135593220339, 'evidence_recall': 0.40476190476190477, 'evidence_f1': 0.33663366336633666, 'crest_accuracy': 0.4716981132075472, 'crest_precision': 0.647887323943662, 'crest_recall': 0.4380952380952381, 'crest_f1': 0.5227272727272727}","{'closeness': 1.0, 'similarity_metrics': 1.0, 'contradiction': 0.023713069036602974, 'evidence_accuracy': 0.6701570680628273, 'evidence_precision': 0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.33962264150943394, 'crest_precision': 0, 'crest_recall': 0.0, 'crest_f1': 0}"
"{'closeness': 1.0, 'similarity_metrics': 0.9999998, 'contradiction': 0.01768219657242298, 'evidence_accuracy': 0.6295843520782396, 'evidence_precision': 0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.4243243243243243, 'crest_precision': 0, 'crest_recall': 0.0, 'crest_f1': 0}","{'closeness': 0.9598653547384774, 'similarity_metrics': 0.9866408, 'contradiction': 0.22546397149562836, 'evidence_accuracy': 0.4877750611246944, 'evidence_precision': 0.3220858895705521, 'evidence_recall': 0.3465346534653465, 'evidence_f1': 0.3338632750397456, 'crest_accuracy': 0.4891891891891892, 'crest_precision': 0.581081081081081, 'crest_recall': 0.40375586854460094, 'crest_f1': 0.47645429362880887}","{'closeness': 0.9598653547384774, 'similarity_metrics': 0.9866408, 'contradiction': 0.22546397149562836, 'evidence_accuracy': 0.4877750611246944, 'evidence_precision': 0.3220858895705521, 'evidence_recall': 0.3465346534653465, 'evidence_f1': 0.3338632750397456, 'crest_accuracy': 0.4891891891891892, 'crest_precision': 0.581081081081081, 'crest_recall': 0.40375586854460094, 'crest_f1': 0.47645429362880887}","{'closeness': 0.9590885551527706, 'similarity_metrics': 0.98818207, 'contradiction': 0.21845683455467224, 'evidence_accuracy': 0.4889975550122249, 'evidence_precision': 0.3241590214067278, 'evidence_recall': 0.34983498349834985, 'evidence_f1': 0.3365079365079365, 'crest_accuracy': 0.4864864864864865, 'crest_precision': 0.5771812080536913, 'crest_recall': 0.40375586854460094, 'crest_f1': 0.4751381215469613}","{'closeness': 0.9598653547384774, 'similarity_metrics': 0.9866408, 'contradiction': 0.22546397149562836, 'evidence_accuracy': 0.4877750611246944, 'evidence_precision': 0.3220858895705521, 'evidence_recall': 0.3465346534653465, 'evidence_f1': 0.3338632750397456, 'crest_accuracy': 0.4891891891891892, 'crest_precision': 0.581081081081081, 'crest_recall': 0.40375586854460094, 'crest_f1': 0.47645429362880887}","{'closeness': 1.0, 'similarity_metrics': 0.9999998, 'contradiction': 0.01768219657242298, 'evidence_accuracy': 0.6295843520782396, 'evidence_precision': 0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.4243243243243243, 'crest_precision': 0, 'crest_recall': 0.0, 'crest_f1': 0}"
"{'closeness': 1.0, 'similarity_metrics': 0.99999994, 'contradiction': 0.0497494637966156, 'evidence_accuracy': 0.4481792717086835, 'evidence_precision': 0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.3949579831932773, 'crest_precision': 0, 'crest_recall': 0.0, 'crest_f1': 0}","{'closeness': 1.0, 'similarity_metrics': 0.99999994, 'contradiction': 0.0497494637966156, 'evidence_accuracy': 0.4481792717086835, 'evidence_precision': 0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.3949579831932773, 'crest_precision': 0, 'crest_recall': 0.0, 'crest_f1': 0}","{'closeness': 1.0, 'similarity_metrics': 0.99999994, 'contradiction': 0.0497494637966156, 'evidence_accuracy': 0.4481792717086835, 'evidence_precision': 0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.3949579831932773, 'crest_precision': 0, 'crest_recall': 0.0, 'crest_f1': 0}","{'closeness': 0.9568513119533528, 'similarity_metrics': 0.9861536, 'contradiction': 0.7883647084236145, 'evidence_accuracy': 0.38095238095238093, 'evidence_precision': 0.4076923076923077, 'evidence_recall': 0.26903553299492383, 'evidence_f1': 0.32415902140672787, 'crest_accuracy': 0.45098039215686275, 'crest_precision': 0.5769230769230769, 'crest_recall': 0.3472222222222222, 'crest_f1': 0.43352601156069365}","{'closeness': 1.0, 'similarity_metrics': 0.99999994, 'contradiction': 0.0497494637966156, 'evidence_accuracy': 0.4481792717086835, 'evidence_precision': 0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.3949579831932773, 'crest_precision': 0, 'crest_recall': 0.0, 'crest_f1': 0}","{'closeness': 1.0, 'similarity_metrics': 0.99999994, 'contradiction': 0.0497494637966156, 'evidence_accuracy': 0.4481792717086835, 'evidence_precision': 0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.3949579831932773, 'crest_precision': 0, 'crest_recall': 0.0, 'crest_f1': 0}"
"{'closeness': 0.9966101694915255, 'similarity_metrics': 0.99808854, 'contradiction': 0.0020261239260435104, 'evidence_accuracy': 0.6561264822134387, 'evidence_precision': 1.0, 'evidence_recall': 0.011363636363636364, 'evidence_f1': 0.02247191011235955, 'crest_accuracy': 0.45849802371541504, 'crest_precision': 1.0, 'crest_recall': 0.007246376811594203, 'crest_f1': 0.014388489208633093}","{'closeness': 0.9601694915254237, 'similarity_metrics': 0.9974869, 'contradiction': 0.01512155868113041, 'evidence_accuracy': 0.5335968379446641, 'evidence_precision': 0.3584905660377358, 'evidence_recall': 0.4318181818181818, 'evidence_f1': 0.39175257731958757, 'crest_accuracy': 0.5098814229249012, 'crest_precision': 0.5660377358490566, 'crest_recall': 0.43478260869565216, 'crest_f1': 0.4918032786885245}","{'closeness': 0.9601694915254237, 'similarity_metrics': 0.9974869, 'contradiction': 0.01512155868113041, 'evidence_accuracy': 0.5335968379446641, 'evidence_precision': 0.3584905660377358, 'evidence_recall': 0.4318181818181818, 'evidence_f1': 0.39175257731958757, 'crest_accuracy': 0.5098814229249012, 'crest_precision': 0.5660377358490566, 'crest_recall': 0.43478260869565216, 'crest_f1': 0.4918032786885245}","{'closeness': 0.9567796610169491, 'similarity_metrics': 0.9920454, 'contradiction': 0.3404269814491272, 'evidence_accuracy': 0.5612648221343873, 'evidence_precision': 0.3707865168539326, 'evidence_recall': 0.375, 'evidence_f1': 0.3728813559322034, 'crest_accuracy': 0.5296442687747036, 'crest_precision': 0.6067415730337079, 'crest_recall': 0.391304347826087, 'crest_f1': 0.47577092511013214}","{'closeness': 0.9601694915254237, 'similarity_metrics': 0.9974869, 'contradiction': 0.01512155868113041, 'evidence_accuracy': 0.5335968379446641, 'evidence_precision': 0.3584905660377358, 'evidence_recall': 0.4318181818181818, 'evidence_f1': 0.39175257731958757, 'crest_accuracy': 0.5098814229249012, 'crest_precision': 0.5660377358490566, 'crest_recall': 0.43478260869565216, 'crest_f1': 0.4918032786885245}","{'closeness': 0.9966101694915255, 'similarity_metrics': 0.99808854, 'contradiction': 0.0020261239260435104, 'evidence_accuracy': 0.6561264822134387, 'evidence_precision': 1.0, 'evidence_recall': 0.011363636363636364, 'evidence_f1': 0.02247191011235955, 'crest_accuracy': 0.45849802371541504, 'crest_precision': 1.0, 'crest_recall': 0.007246376811594203, 'crest_f1': 0.014388489208633093}"
"{'closeness': 0.5753945061367621, 'similarity_metrics': 0.999955, 'contradiction': 0.15374413132667542, 'evidence_accuracy': 0.558041958041958, 'evidence_precision': 0.37104072398190047, 'evidence_recall': 0.8118811881188119, 'evidence_f1': 0.5093167701863355, 'crest_accuracy': 0.4709480122324159, 'crest_precision': 0.6333333333333333, 'crest_recall': 0.37073170731707317, 'crest_f1': 0.46769230769230774}","{'closeness': 0.34248977206312103, 'similarity_metrics': 0.9677119, 'contradiction': 0.13717444241046906, 'evidence_accuracy': 0.4755244755244755, 'evidence_precision': 0.3424408014571949, 'evidence_recall': 0.9306930693069307, 'evidence_f1': 0.5006657789613848, 'crest_accuracy': 0.5749235474006116, 'crest_precision': 0.7018633540372671, 'crest_recall': 0.553921568627451, 'crest_f1': 0.6191780821917808}","{'closeness': 0.34248977206312103, 'similarity_metrics': 0.9677119, 'contradiction': 0.13717444241046906, 'evidence_accuracy': 0.4755244755244755, 'evidence_precision': 0.3424408014571949, 'evidence_recall': 0.9306930693069307, 'evidence_f1': 0.5006657789613848, 'crest_accuracy': 0.5749235474006116, 'crest_precision': 0.7018633540372671, 'crest_recall': 0.553921568627451, 'crest_f1': 0.6191780821917808}","{'closeness': 0.8059614260666277, 'similarity_metrics': 0.97213364, 'contradiction': 0.2586424946784973, 'evidence_accuracy': 0.43356643356643354, 'evidence_precision': 0.24433249370277077, 'evidence_recall': 0.4801980198019802, 'evidence_f1': 0.32387312186978295, 'crest_accuracy': 0.46788990825688076, 'crest_precision': 0.5925925925925926, 'crest_recall': 0.47058823529411764, 'crest_f1': 0.5245901639344261}","{'closeness': 0.34248977206312103, 'similarity_metrics': 0.9677119, 'contradiction': 0.13717444241046906, 'evidence_accuracy': 0.4755244755244755, 'evidence_precision': 0.3424408014571949, 'evidence_recall': 0.9306930693069307, 'evidence_f1': 0.5006657789613848, 'crest_accuracy': 0.5749235474006116, 'crest_precision': 0.7018633540372671, 'crest_recall': 0.553921568627451, 'crest_f1': 0.6191780821917808}","{'closeness': 1.0, 'similarity_metrics': 1.0, 'contradiction': 0.13358308374881744, 'evidence_accuracy': 0.7174825174825175, 'evidence_precision': 0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.3761467889908257, 'crest_precision': 0, 'crest_recall': 0.0, 'crest_f1': 0}"
"{'closeness': 0.03705397987191217, 'similarity_metrics': 0.72087604, 'contradiction': 0.1486702561378479, 'evidence_accuracy': 0.2835820895522388, 'evidence_precision': 0.26717557251908397, 'evidence_recall': 1.0, 'evidence_f1': 0.4216867469879518, 'crest_accuracy': 0.5846560846560847, 'crest_precision': 0.5966386554621849, 'crest_recall': 0.9424778761061947, 'crest_f1': 0.7307032590051459}","{'closeness': 0.9990859232175503, 'similarity_metrics': 0.9929375, 'contradiction': 0.025863029062747955, 'evidence_accuracy': 0.7377398720682303, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.40476190476190477, 'crest_precision': 1.0, 'crest_recall': 0.004424778761061947, 'crest_f1': 0.00881057268722467}","{'closeness': 0.9990859232175503, 'similarity_metrics': 0.9929375, 'contradiction': 0.025863029062747955, 'evidence_accuracy': 0.7377398720682303, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.40476190476190477, 'crest_precision': 1.0, 'crest_recall': 0.004424778761061947, 'crest_f1': 0.00881057268722467}","{'closeness': 0.9650045745654163, 'similarity_metrics': 0.98879963, 'contradiction': 0.9590852856636047, 'evidence_accuracy': 0.5415778251599147, 'evidence_precision': 0.24517906336088155, 'evidence_recall': 0.363265306122449, 'evidence_f1': 0.29276315789473684, 'crest_accuracy': 0.4470899470899471, 'crest_precision': 0.5625, 'crest_recall': 0.3568281938325991, 'crest_f1': 0.4366576819407008}","{'closeness': 0.9990859232175503, 'similarity_metrics': 0.9929375, 'contradiction': 0.025863029062747955, 'evidence_accuracy': 0.7377398720682303, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.40476190476190477, 'crest_precision': 1.0, 'crest_recall': 0.004424778761061947, 'crest_f1': 0.00881057268722467}","{'closeness': 0.9951967063129002, 'similarity_metrics': 0.9959729, 'contradiction': 0.9716587662696838, 'evidence_accuracy': 0.7153518123667377, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.42328042328042326, 'crest_precision': 0.6956521739130435, 'crest_recall': 0.07048458149779736, 'crest_f1': 0.12800000000000003}"
"{'closeness': 0.9713188220230474, 'similarity_metrics': 0.99973416, 'contradiction': 0.11017115414142609, 'evidence_accuracy': 0.5215633423180593, 'evidence_precision': 0.3082191780821918, 'evidence_recall': 0.37037037037037035, 'evidence_f1': 0.3364485981308411, 'crest_accuracy': 0.4677871148459384, 'crest_precision': 0.62, 'crest_recall': 0.41150442477876104, 'crest_f1': 0.4946808510638297}","{'closeness': 0.971830985915493, 'similarity_metrics': 0.9987118, 'contradiction': 0.12102797627449036, 'evidence_accuracy': 0.5148247978436657, 'evidence_precision': 0.30303030303030304, 'evidence_recall': 0.37037037037037035, 'evidence_f1': 0.3333333333333333, 'crest_accuracy': 0.4789915966386555, 'crest_precision': 0.6298701298701299, 'crest_recall': 0.42920353982300885, 'crest_f1': 0.5105263157894736}","{'closeness': 0.971830985915493, 'similarity_metrics': 0.9987118, 'contradiction': 0.12102797627449036, 'evidence_accuracy': 0.5148247978436657, 'evidence_precision': 0.30303030303030304, 'evidence_recall': 0.37037037037037035, 'evidence_f1': 0.3333333333333333, 'crest_accuracy': 0.4789915966386555, 'crest_precision': 0.6298701298701299, 'crest_recall': 0.42920353982300885, 'crest_f1': 0.5105263157894736}","{'closeness': 0.9710627400768246, 'similarity_metrics': 0.9988066, 'contradiction': 0.12555848062038422, 'evidence_accuracy': 0.5188679245283019, 'evidence_precision': 0.30612244897959184, 'evidence_recall': 0.37037037037037035, 'evidence_f1': 0.33519553072625696, 'crest_accuracy': 0.47619047619047616, 'crest_precision': 0.6291390728476821, 'crest_recall': 0.42035398230088494, 'crest_f1': 0.5039787798408488}","{'closeness': 0.9713188220230474, 'similarity_metrics': 0.99971044, 'contradiction': 0.06483900547027588, 'evidence_accuracy': 0.5148247978436657, 'evidence_precision': 0.30303030303030304, 'evidence_recall': 0.37037037037037035, 'evidence_f1': 0.3333333333333333, 'crest_accuracy': 0.47619047619047616, 'crest_precision': 0.6258064516129033, 'crest_recall': 0.42920353982300885, 'crest_f1': 0.5091863517060368}","{'closeness': 0.9651728553137003, 'similarity_metrics': 0.99570084, 'contradiction': 0.9915311336517334, 'evidence_accuracy': 0.5606469002695418, 'evidence_precision': 0.30697674418604654, 'evidence_recall': 0.2716049382716049, 'evidence_f1': 0.2882096069868995, 'crest_accuracy': 0.49859943977591037, 'crest_precision': 0.7033898305084746, 'crest_recall': 0.3656387665198238, 'crest_f1': 0.48115942028985503}"
"{'closeness': 0.8892471079082116, 'similarity_metrics': 0.9977295, 'contradiction': 0.01862899586558342, 'evidence_accuracy': 0.6840607210626186, 'evidence_precision': 0.2892857142857143, 'evidence_recall': 0.3767441860465116, 'evidence_f1': 0.32727272727272727, 'crest_accuracy': 0.47668393782383417, 'crest_precision': 0.6545454545454545, 'crest_recall': 0.1643835616438356, 'crest_f1': 0.26277372262773724}","{'closeness': 0.9025222833301726, 'similarity_metrics': 0.9977295, 'contradiction': 0.0063422974199056625, 'evidence_accuracy': 0.8036053130929791, 'evidence_precision': 0.5344827586206896, 'evidence_recall': 0.28837209302325584, 'evidence_f1': 0.3746223564954683, 'crest_accuracy': 0.4481865284974093, 'crest_precision': 0.875, 'crest_recall': 0.0319634703196347, 'crest_f1': 0.06167400881057268}","{'closeness': 0.9027119286933435, 'similarity_metrics': 0.9977295, 'contradiction': 0.006976815406233072, 'evidence_accuracy': 0.8055028462998103, 'evidence_precision': 0.543859649122807, 'evidence_recall': 0.28837209302325584, 'evidence_f1': 0.3768996960486322, 'crest_accuracy': 0.4430051813471503, 'crest_precision': 0.8333333333333334, 'crest_recall': 0.0228310502283105, 'crest_f1': 0.04444444444444444}","{'closeness': 0.9027119286933435, 'similarity_metrics': 0.9977295, 'contradiction': 0.006976815406233072, 'evidence_accuracy': 0.8055028462998103, 'evidence_precision': 0.543859649122807, 'evidence_recall': 0.28837209302325584, 'evidence_f1': 0.3768996960486322, 'crest_accuracy': 0.4430051813471503, 'crest_precision': 0.8333333333333334, 'crest_recall': 0.0228310502283105, 'crest_f1': 0.04444444444444444}","{'closeness': 0.9027119286933435, 'similarity_metrics': 0.9977295, 'contradiction': 0.006976815406233072, 'evidence_accuracy': 0.8055028462998103, 'evidence_precision': 0.543859649122807, 'evidence_recall': 0.28837209302325584, 'evidence_f1': 0.3768996960486322, 'crest_accuracy': 0.4430051813471503, 'crest_precision': 0.8333333333333334, 'crest_recall': 0.0228310502283105, 'crest_f1': 0.04444444444444444}","{'closeness': 0.9044187369618812, 'similarity_metrics': 0.99765223, 'contradiction': 0.007650215178728104, 'evidence_accuracy': 0.8064516129032258, 'evidence_precision': 0.5523809523809524, 'evidence_recall': 0.26976744186046514, 'evidence_f1': 0.3625, 'crest_accuracy': 0.4326424870466321, 'crest_precision': 0.0, 'crest_recall': 0.0, 'crest_f1': 0}"
"{'closeness': 0.9711447492904447, 'similarity_metrics': 0.9964582, 'contradiction': 0.13599257171154022, 'evidence_accuracy': 0.477751756440281, 'evidence_precision': 0.31690140845070425, 'evidence_recall': 0.2631578947368421, 'evidence_f1': 0.28753993610223644, 'crest_accuracy': 0.4514285714285714, 'crest_precision': 0.5811965811965812, 'crest_recall': 0.3222748815165877, 'crest_f1': 0.4146341463414634}","{'closeness': 0.9739829706717124, 'similarity_metrics': 0.9995594, 'contradiction': 0.12406620383262634, 'evidence_accuracy': 0.48009367681498827, 'evidence_precision': 0.3191489361702128, 'evidence_recall': 0.2631578947368421, 'evidence_f1': 0.28846153846153844, 'crest_accuracy': 0.44857142857142857, 'crest_precision': 0.5775862068965517, 'crest_recall': 0.3175355450236967, 'crest_f1': 0.40978593272171254}","{'closeness': 0.967360454115421, 'similarity_metrics': 0.9973288, 'contradiction': 0.07279396057128906, 'evidence_accuracy': 0.47540983606557374, 'evidence_precision': 0.3146853146853147, 'evidence_recall': 0.2631578947368421, 'evidence_f1': 0.286624203821656, 'crest_accuracy': 0.44857142857142857, 'crest_precision': 0.576271186440678, 'crest_recall': 0.3222748815165877, 'crest_f1': 0.41337386018237077}","{'closeness': 0.9555345316934721, 'similarity_metrics': 0.99091834, 'contradiction': 0.9955688118934631, 'evidence_accuracy': 0.468384074941452, 'evidence_precision': 0.31333333333333335, 'evidence_recall': 0.27485380116959063, 'evidence_f1': 0.2928348909657321, 'crest_accuracy': 0.46, 'crest_precision': 0.5873015873015873, 'crest_recall': 0.35071090047393366, 'crest_f1': 0.43916913946587544}","{'closeness': 0.9739829706717124, 'similarity_metrics': 0.9995594, 'contradiction': 0.12406620383262634, 'evidence_accuracy': 0.48009367681498827, 'evidence_precision': 0.3191489361702128, 'evidence_recall': 0.2631578947368421, 'evidence_f1': 0.28846153846153844, 'crest_accuracy': 0.44857142857142857, 'crest_precision': 0.5775862068965517, 'crest_recall': 0.3175355450236967, 'crest_f1': 0.40978593272171254}","{'closeness': 0.9796594134342479, 'similarity_metrics': 0.9829946, 'contradiction': 0.9650937914848328, 'evidence_accuracy': 0.5995316159250585, 'evidence_precision': 0.5, 'evidence_recall': 0.04093567251461988, 'evidence_f1': 0.07567567567567567, 'crest_accuracy': 0.4114285714285714, 'crest_precision': 0.6923076923076923, 'crest_recall': 0.04265402843601896, 'crest_f1': 0.08035714285714286}"
