e-implcit-target-e-persona-human,e-implcit-target-e-persona-you,baseline,e-persona-you,e-implcit-target,e-persona-human,TextFoolerJin2019
,,,,,,
,,,,,,"{'distance': 0.36363636363636365, 'evidence_accuracy': 0.7272727272727273, 'evidence_precision': 0.6, 'evidence_recall': 0.75, 'evidence_f1': 0.6666666666666665, 'similarity_metrics': 0.75466233, 'contradiction': 0.6530926823616028}"
,,,,,,
,,,,,,
,,,,,,
,,,,,,"{'distance': 0.07692307692307687, 'evidence_accuracy': 0.7692307692307693, 'evidence_precision': 1.0, 'evidence_recall': 0.4, 'evidence_f1': 0.5714285714285715, 'similarity_metrics': 0.80192864, 'contradiction': 0.9579853415489197}"
,,,,,,
,,"{'distance': 0.33333333333333337, 'evidence_accuracy': 0.875, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 1.0, 'evidence_f1': 0.8, 'similarity_metrics': 0.6943275, 'contradiction': 0.9990535378456116}","{'distance': 0.33333333333333337, 'evidence_accuracy': 0.875, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 1.0, 'evidence_f1': 0.8, 'similarity_metrics': 0.6943275, 'contradiction': 0.9990535378456116}",,"{'distance': 0.33333333333333337, 'evidence_accuracy': 0.875, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 1.0, 'evidence_f1': 0.8, 'similarity_metrics': 0.68102455, 'contradiction': 0.9991058707237244}","{'distance': 0.125, 'evidence_accuracy': 0.75, 'evidence_precision': 0.5, 'evidence_recall': 0.5, 'evidence_f1': 0.5, 'similarity_metrics': 0.7814472, 'contradiction': 0.9918453097343445}"
,,,,,,
,,,,,,"{'distance': 0.09090909090909094, 'evidence_accuracy': 0.7272727272727273, 'evidence_precision': 1.0, 'evidence_recall': 0.4, 'evidence_f1': 0.5714285714285715, 'similarity_metrics': 0.9510852, 'contradiction': 0.0024554457049816847}"
"{'distance': 0.09090909090909094, 'evidence_accuracy': 0.8181818181818182, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.80042696, 'contradiction': 0.9987712502479553}","{'distance': 0.09090909090909094, 'evidence_accuracy': 0.8181818181818182, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.80042696, 'contradiction': 0.9987712502479553}","{'distance': 0.09090909090909094, 'evidence_accuracy': 0.8181818181818182, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.80042696, 'contradiction': 0.9987712502479553}","{'distance': 0.09090909090909094, 'evidence_accuracy': 0.8181818181818182, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.80042696, 'contradiction': 0.9987712502479553}","{'distance': 0.23809523809523814, 'evidence_accuracy': 0.6363636363636364, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.70584726, 'contradiction': 0.999371349811554}","{'distance': 0.09090909090909094, 'evidence_accuracy': 0.8181818181818182, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.80042696, 'contradiction': 0.9987712502479553}","{'distance': 0.09090909090909094, 'evidence_accuracy': 0.7272727272727273, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.956583, 'contradiction': 0.0006704240804538131}"
