baseline,e-persona-you,e-persona-human,e-implcit-target,e-implcit-target-e-persona-you,e-implcit-target-e-persona-human,TextFoolerJin2019
"{'distance': 0.6932367149758454, 'evidence_accuracy': 0.28084415584415584, 'evidence_precision': 0.23517382413087934, 'evidence_recall': 0.625, 'evidence_f1': 0.34175334323922735, 'similarity_metrics': np.float32(0.91066104), 'contradiction': 0.8701035976409912}","{'distance': 0.6977886977886978, 'evidence_accuracy': 0.3246753246753247, 'evidence_precision': 0.2651821862348178, 'evidence_recall': 0.7119565217391305, 'evidence_f1': 0.3864306784660767, 'similarity_metrics': np.float32(0.92068195), 'contradiction': 0.8537367582321167}","{'distance': 0.7047970479704797, 'evidence_accuracy': 0.32792207792207795, 'evidence_precision': 0.26814516129032256, 'evidence_recall': 0.7228260869565217, 'evidence_f1': 0.3911764705882353, 'similarity_metrics': np.float32(0.917825), 'contradiction': 0.8511770963668823}",,,"{'distance': 0.3781818181818182, 'evidence_accuracy': 0.4707792207792208, 'evidence_precision': 0.24087591240875914, 'evidence_recall': 0.358695652173913, 'evidence_f1': 0.28820960698689957, 'similarity_metrics': np.float32(0.9817344), 'contradiction': 0.9928863644599915}","{'distance': 0.009740259740259716, 'evidence_accuracy': 0.711038961038961, 'evidence_precision': 1.0, 'evidence_recall': 0.03260869565217391, 'evidence_f1': 0.06315789473684211, 'similarity_metrics': np.float32(0.98488164), 'contradiction': 0.034303486347198486}"
"{'distance': 0.8651252408477842, 'evidence_accuracy': 0.28534031413612565, 'evidence_precision': 0.2905982905982906, 'evidence_recall': 0.8095238095238095, 'evidence_f1': 0.4276729559748428, 'similarity_metrics': np.float32(0.7822865), 'contradiction': 0.43185365200042725}","{'distance': 0.8084291187739463, 'evidence_accuracy': 0.3219895287958115, 'evidence_precision': 0.3003003003003003, 'evidence_recall': 0.7936507936507936, 'evidence_f1': 0.4357298474945534, 'similarity_metrics': np.float32(0.661907), 'contradiction': 0.04859950765967369}","{'distance': 0.9123173277661796, 'evidence_accuracy': 0.36649214659685864, 'evidence_precision': 0.3397790055248619, 'evidence_recall': 0.9761904761904762, 'evidence_f1': 0.5040983606557378, 'similarity_metrics': np.float32(0.82608104), 'contradiction': 0.0638585165143013}","{'distance': 0.561128526645768, 'evidence_accuracy': 0.5340314136125655, 'evidence_precision': 0.3943089430894309, 'evidence_recall': 0.7698412698412699, 'evidence_f1': 0.5215053763440859, 'similarity_metrics': np.float32(0.8173012), 'contradiction': 0.9511101841926575}","{'distance': 0.7680672268907562, 'evidence_accuracy': 0.4005235602094241, 'evidence_precision': 0.33650793650793653, 'evidence_recall': 0.8412698412698413, 'evidence_f1': 0.4807256235827665, 'similarity_metrics': np.float32(0.74693537), 'contradiction': 0.13902971148490906}","{'distance': 0.7816901408450705, 'evidence_accuracy': 0.34554973821989526, 'evidence_precision': 0.31212121212121213, 'evidence_recall': 0.8174603174603174, 'evidence_f1': 0.4517543859649123, 'similarity_metrics': np.float32(0.7331945), 'contradiction': 0.774114191532135}",
"{'distance': 0.9404255319148936, 'evidence_accuracy': 0.3753056234718826, 'evidence_precision': 0.3693467336683417, 'evidence_recall': 0.9702970297029703, 'evidence_f1': 0.535031847133758, 'similarity_metrics': np.float32(0.72105336), 'contradiction': 0.7587546110153198}","{'distance': 0.8854166666666666, 'evidence_accuracy': 0.4132029339853301, 'evidence_precision': 0.3840104849279161, 'evidence_recall': 0.966996699669967, 'evidence_f1': 0.549718574108818, 'similarity_metrics': np.float32(0.76214504), 'contradiction': 0.7208303809165955}","{'distance': 0.9571734475374732, 'evidence_accuracy': 0.34596577017114916, 'evidence_precision': 0.3592233009708738, 'evidence_recall': 0.976897689768977, 'evidence_f1': 0.5252883762200532, 'similarity_metrics': np.float32(0.7239887), 'contradiction': 0.7094708681106567}","{'distance': 0.7526132404181185, 'evidence_accuracy': 0.460880195599022, 'evidence_precision': 0.3979289940828402, 'evidence_recall': 0.8877887788778878, 'evidence_f1': 0.5495403472931564, 'similarity_metrics': np.float32(0.8139879), 'contradiction': 0.9414092898368835}","{'distance': 0.759656652360515, 'evidence_accuracy': 0.46943765281173594, 'evidence_precision': 0.40441176470588236, 'evidence_recall': 0.9046052631578947, 'evidence_f1': 0.5589430894308943, 'similarity_metrics': np.float32(0.82587945), 'contradiction': 0.9457510113716125}","{'distance': 0.4403859407305307, 'evidence_accuracy': 0.5696821515892421, 'evidence_precision': 0.4412470023980815, 'evidence_recall': 0.6072607260726073, 'evidence_f1': 0.5111111111111111, 'similarity_metrics': np.float32(0.91911465), 'contradiction': 0.9900038838386536}",
"{'distance': 0.9670103092783505, 'evidence_accuracy': 0.5462184873949579, 'evidence_precision': 0.5501432664756447, 'evidence_recall': 0.9746192893401016, 'evidence_f1': 0.7032967032967034, 'similarity_metrics': np.float32(0.92986155), 'contradiction': 0.09370414167642593}","{'distance': 0.8945147679324894, 'evidence_accuracy': 0.5042016806722689, 'evidence_precision': 0.5301204819277109, 'evidence_recall': 0.8934010152284264, 'evidence_f1': 0.6654064272211722, 'similarity_metrics': np.float32(0.91690665), 'contradiction': 0.19387167692184448}","{'distance': 0.8918918918918919, 'evidence_accuracy': 0.5658263305322129, 'evidence_precision': 0.5632530120481928, 'evidence_recall': 0.949238578680203, 'evidence_f1': 0.7069943289224953, 'similarity_metrics': np.float32(0.90000093), 'contradiction': 0.3952420949935913}","{'distance': 0.6853146853146853, 'evidence_accuracy': 0.5770308123249299, 'evidence_precision': 0.585820895522388, 'evidence_recall': 0.7969543147208121, 'evidence_f1': 0.675268817204301, 'similarity_metrics': np.float32(0.94988286), 'contradiction': 0.9498628377914429}","{'distance': 0.539543057996485, 'evidence_accuracy': 0.6610644257703081, 'evidence_precision': 0.668141592920354, 'evidence_recall': 0.766497461928934, 'evidence_f1': 0.7139479905437351, 'similarity_metrics': np.float32(0.8735013), 'contradiction': 0.717688798904419}","{'distance': 0.8568507157464212, 'evidence_accuracy': 0.5434173669467787, 'evidence_precision': 0.5527950310559007, 'evidence_recall': 0.9035532994923858, 'evidence_f1': 0.6859344894026975, 'similarity_metrics': np.float32(0.80899715), 'contradiction': 0.9539417624473572}",
"{'distance': 0.7386666666666667, 'evidence_accuracy': 0.5098814229249012, 'evidence_precision': 0.4117647058823529, 'evidence_recall': 0.9545454545454546, 'evidence_f1': 0.5753424657534247, 'similarity_metrics': np.float32(0.88334846), 'contradiction': 0.9670854806900024}","{'distance': 0.7535816618911175, 'evidence_accuracy': 0.5098814229249012, 'evidence_precision': 0.4142857142857143, 'evidence_recall': 0.9886363636363636, 'evidence_f1': 0.5838926174496645, 'similarity_metrics': np.float32(0.8665781), 'contradiction': 0.06401246041059494}","{'distance': 0.7440476190476191, 'evidence_accuracy': 0.45454545454545453, 'evidence_precision': 0.3853211009174312, 'evidence_recall': 0.9545454545454546, 'evidence_f1': 0.5490196078431373, 'similarity_metrics': np.float32(0.87554157), 'contradiction': 0.09446606040000916}","{'distance': 0.5079726651480638, 'evidence_accuracy': 0.616600790513834, 'evidence_precision': 0.46938775510204084, 'evidence_recall': 0.7840909090909091, 'evidence_f1': 0.5872340425531916, 'similarity_metrics': np.float32(0.91609323), 'contradiction': 0.9953621029853821}","{'distance': 0.6340852130325815, 'evidence_accuracy': 0.525691699604743, 'evidence_precision': 0.41208791208791207, 'evidence_recall': 0.8522727272727273, 'evidence_f1': 0.5555555555555555, 'similarity_metrics': np.float32(0.9322853), 'contradiction': 0.994174063205719}","{'distance': 0.6911392405063291, 'evidence_accuracy': 0.5652173913043478, 'evidence_precision': 0.4427083333333333, 'evidence_recall': 0.9659090909090909, 'evidence_f1': 0.6071428571428571, 'similarity_metrics': np.float32(0.9144349), 'contradiction': 0.9913729429244995}",
"{'distance': 0.9123767798466593, 'evidence_accuracy': 0.2125874125874126, 'evidence_precision': 0.2628120893561104, 'evidence_recall': 0.9900990099009901, 'evidence_f1': 0.4153686396677051, 'similarity_metrics': np.float32(0.8966569), 'contradiction': 0.5677167773246765}","{'distance': 0.7628205128205128, 'evidence_accuracy': 0.4013986013986014, 'evidence_precision': 0.3129139072847682, 'evidence_recall': 0.9356435643564357, 'evidence_f1': 0.4689826302729529, 'similarity_metrics': np.float32(0.89832664), 'contradiction': 0.8821012377738953}","{'distance': 0.8891566265060241, 'evidence_accuracy': 0.32867132867132864, 'evidence_precision': 0.2931547619047619, 'evidence_recall': 0.9752475247524752, 'evidence_f1': 0.4508009153318078, 'similarity_metrics': np.float32(0.8850189), 'contradiction': 0.9514849185943604}","{'distance': 0.4745098039215686, 'evidence_accuracy': 0.4797202797202797, 'evidence_precision': 0.2774869109947644, 'evidence_recall': 0.5247524752475248, 'evidence_f1': 0.363013698630137, 'similarity_metrics': np.float32(0.9817201), 'contradiction': 0.976976215839386}","{'distance': 0.48064516129032253, 'evidence_accuracy': 0.4797202797202797, 'evidence_precision': 0.28535353535353536, 'evidence_recall': 0.5594059405940595, 'evidence_f1': 0.3779264214046823, 'similarity_metrics': np.float32(0.95138556), 'contradiction': 0.9893963932991028}","{'distance': 0.3951675759937646, 'evidence_accuracy': 0.544055944055944, 'evidence_precision': 0.31097560975609756, 'evidence_recall': 0.504950495049505, 'evidence_f1': 0.38490566037735846, 'similarity_metrics': np.float32(0.96890515), 'contradiction': 0.9875147342681885}",
,,,,,,
"{'distance': 0.5582722086389569, 'evidence_accuracy': 0.5983827493261455, 'evidence_precision': 0.4416135881104034, 'evidence_recall': 0.8559670781893004, 'evidence_f1': 0.5826330532212886, 'similarity_metrics': np.float32(0.99241054), 'contradiction': 0.9899397492408752}",,,"{'distance': 0.6884792626728111, 'evidence_accuracy': 0.49595687331536387, 'evidence_precision': 0.3856893542757417, 'evidence_recall': 0.9094650205761317, 'evidence_f1': 0.5416666666666667, 'similarity_metrics': np.float32(0.9855823), 'contradiction': 0.9904201626777649}","{'distance': 0.5456965394853593, 'evidence_accuracy': 0.5943396226415094, 'evidence_precision': 0.4403292181069959, 'evidence_recall': 0.8806584362139918, 'evidence_f1': 0.5871056241426611, 'similarity_metrics': np.float32(0.9916537), 'contradiction': 0.9917669892311096}","{'distance': 0.5385878489326765, 'evidence_accuracy': 0.6037735849056604, 'evidence_precision': 0.44468546637744033, 'evidence_recall': 0.8436213991769548, 'evidence_f1': 0.5823863636363636, 'similarity_metrics': np.float32(0.990366), 'contradiction': 0.9936923980712891}",
"{'distance': 0.7354028085735402, 'evidence_accuracy': 0.36242884250474383, 'evidence_precision': 0.23885714285714285, 'evidence_recall': 0.9720930232558139, 'evidence_f1': 0.3834862385321101, 'similarity_metrics': np.float32(0.9176597), 'contradiction': 0.19156399369239807}","{'distance': 0.9248251748251748, 'evidence_accuracy': 0.22960151802656548, 'evidence_precision': 0.20474777448071216, 'evidence_recall': 0.9627906976744186, 'evidence_f1': 0.3376835236541599, 'similarity_metrics': np.float32(0.66833353), 'contradiction': 0.22670508921146393}","{'distance': 0.8878661087866109, 'evidence_accuracy': 0.25996204933586337, 'evidence_precision': 0.2137791286727457, 'evidence_recall': 0.9813953488372092, 'evidence_f1': 0.35108153078202997, 'similarity_metrics': np.float32(0.8123287), 'contradiction': 0.007589829154312611}",,,,
"{'distance': 0.7241379310344828, 'evidence_accuracy': 0.5362997658079626, 'evidence_precision': 0.46153846153846156, 'evidence_recall': 0.9473684210526315, 'evidence_f1': 0.6206896551724138, 'similarity_metrics': np.float32(0.88518596), 'contradiction': 0.8459345102310181}","{'distance': 0.7453183520599251, 'evidence_accuracy': 0.5550351288056206, 'evidence_precision': 0.4735376044568245, 'evidence_recall': 0.9941520467836257, 'evidence_f1': 0.6415094339622641, 'similarity_metrics': np.float32(0.592011), 'contradiction': 0.6353374123573303}","{'distance': 0.7235188509874326, 'evidence_accuracy': 0.5761124121779859, 'evidence_precision': 0.4857142857142857, 'evidence_recall': 0.9941520467836257, 'evidence_f1': 0.6525911708253359, 'similarity_metrics': np.float32(0.60990417), 'contradiction': 0.3237244784832001}","{'distance': 0.491156462585034, 'evidence_accuracy': 0.6604215456674473, 'evidence_precision': 0.5541666666666667, 'evidence_recall': 0.7777777777777778, 'evidence_f1': 0.6472019464720195, 'similarity_metrics': np.float32(0.9388006), 'contradiction': 0.9971369504928589}","{'distance': 0.7761194029850746, 'evidence_accuracy': 0.4894613583138173, 'evidence_precision': 0.43342776203966005, 'evidence_recall': 0.8947368421052632, 'evidence_f1': 0.583969465648855, 'similarity_metrics': np.float32(0.91456354), 'contradiction': 0.9958421587944031}","{'distance': 0.864516129032258, 'evidence_accuracy': 0.405152224824356, 'evidence_precision': 0.3949367088607595, 'evidence_recall': 0.9122807017543859, 'evidence_f1': 0.5512367491166077, 'similarity_metrics': np.float32(0.83749956), 'contradiction': 0.9932061433792114}",
"{'distance': 0.9315068493150684, 'evidence_accuracy': 0.3514285714285714, 'evidence_precision': 0.34801762114537443, 'evidence_recall': 0.9595141700404858, 'evidence_f1': 0.5107758620689655, 'similarity_metrics': np.float32(0.9142039), 'contradiction': 0.35640522837638855}","{'distance': 0.6793168880455408, 'evidence_accuracy': 0.49714285714285716, 'evidence_precision': 0.4011299435028249, 'evidence_recall': 0.8623481781376519, 'evidence_f1': 0.5475578406169667, 'similarity_metrics': np.float32(0.9530441), 'contradiction': 0.24144136905670166}","{'distance': 0.7094017094017093, 'evidence_accuracy': 0.48857142857142855, 'evidence_precision': 0.39853747714808047, 'evidence_recall': 0.8825910931174089, 'evidence_f1': 0.54911838790932, 'similarity_metrics': np.float32(0.94826555), 'contradiction': 0.24187465012073517}","{'distance': 0.5675675675675675, 'evidence_accuracy': 0.5114285714285715, 'evidence_precision': 0.39325842696629215, 'evidence_recall': 0.708502024291498, 'evidence_f1': 0.5057803468208093, 'similarity_metrics': np.float32(0.9742469), 'contradiction': 0.8223810791969299}","{'distance': 0.5077173030056865, 'evidence_accuracy': 0.5142857142857142, 'evidence_precision': 0.38287153652392947, 'evidence_recall': 0.6153846153846154, 'evidence_f1': 0.4720496894409938, 'similarity_metrics': np.float32(0.98260784), 'contradiction': 0.8611499667167664}","{'distance': 0.7536496350364963, 'evidence_accuracy': 0.3414285714285714, 'evidence_precision': 0.3210702341137124, 'evidence_recall': 0.7773279352226721, 'evidence_f1': 0.4544378698224852, 'similarity_metrics': np.float32(0.9299248), 'contradiction': 0.7771679759025574}",
