seed,0
default_root_dir,experiments/editor_imdb_sparsemap_30p
no_fit,False
factual_ckpt,experiments/masker_imdb_sparsemap_30p/versionNone/checkpoints/epoch=12.ckpt
load_tokenizer,False
load_label_encoder,False
save_edits,False
wandb_project,crest
wandb_entity,gian-kalyva-national-technical-university-of-athens
save_rationales,False
save_counterfactuals,False
save_tokenizer,False
save_label_encoder,False
gpu_log,False
dm,contrast_imdb_cf
batch_size,8
num_workers,1
vocab_min_occurrences,1
max_seq_len,512
monitor,val_sum_loss
monitor_mode,min
monitor_patience,5
model,editor
tokenizer,t5-small
gen_arch,t5-small
gen_emb_requires_grad,False
gen_encoder_requires_grad,False
gen_use_decoder,False
pred_arch,t5-small
pred_emb_requires_grad,False
pred_bidirectional,False
pred_encoder_requires_grad,False
pred_output_requires_grad,False
shared_gen_pred,False
explainer,sparsemap
explainer_pre_mlp,True
explainer_requires_grad,False
sparsemap_budget,30
sparsemap_transition,0.01
sparsemap_temperature,0.01
dropout,0.1
selection_vector,zero
selection_faithfulness,True
selection_mask,False
cf_gen_arch,t5-small
cf_prepend_label_type,gold
cf_z_type,pred
cf_task_name,binary_classification
cf_classify_edits,True
cf_generate_kwargs,"{'do_sample': False, 'num_beams': 15, 'num_beam_groups': 1, 'early_stopping': True, 'length_penalty': 1.0, 'top_k': 30, 'top_p': 0.95, 'typical_p': None, 'no_repeat_ngram_size': 2, 'num_return_sequences': 1, 'min_length': None, 'max_length': 512}"
optimizer,adamw
lr,0.0001
weight_decay,1e-06
betas,"[0.9, 0.999]"
amsgrad,False
momentum,0.0
dampening,0.0
nesterov,False
alpha,0.99
centered,False
lambd,0.0001
t0,1000000.0
accelerator,gpu
devices,1
gradient_clip_val,5.0
min_epochs,3
max_epochs,20
