"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"A woman is smoking a cigarette. [[A]] [[man]] in [[green]] [[pants]] and blue [[shirt]] [[pushing]] a [[cart]].","A woman is smoking a cigarette. [[paras]] [[comrade]] in [[verte]] [[robes]] and blue [[gown]] [[press]] a [[railcar]].",0.21857666969299316,0.26720184087753296,0,0,0,220,"Failed"
"There is a man wearing cloths. [[A]] man in green pants and blue shirt pushing a cart.","There is a man wearing cloths. [[another]] man in green pants and blue shirt pushing a cart.",0.18695902824401855,0.7859503626823425,1,0,1,14,"Successful"
"Newlyweds sitting on a park bench. A [[beautiful]] bride walking on a sidewalk with her new husband.","Newlyweds sitting on a park bench. A [[fabulous]] bride walking on a sidewalk with her new husband.",0.1762944459915161,0.7933722138404846,1,0,1,42,"Successful"
"A couple walks outdoors together. A beautiful bride walking on a sidewalk with her new [[husband]].","A couple walks outdoors together. A beautiful bride walking on a sidewalk with her new [[mari]].",0.1783815622329712,0.7941427230834961,1,0,1,47,"Successful"
"A young man is grilling fish in his underwear. [[A]] young [[man]], [[wearing]] a [[white]] [[shirt]], [[prepares]] [[hotdogs]] on a [[small]] grill.","A young man is grilling fish in his underwear. [[para]] young [[hubby]], [[carry]] a [[polar]] [[folders]], [[readies]] [[picnic]] on a [[lesser]] grill.",0.19201266765594482,0.9347865581512451,0,1,0,232,"Successful"
"A young man is grilling food. A young man, wearing a white shirt, prepares hotdogs on a small [[grill]].","A young man is grilling food. A young man, wearing a white shirt, prepares hotdogs on a small [[deflector]].",0.15559345483779907,0.8343836069107056,1,0,1,31,"Successful"
"A man playing banjo on the floor. A man [[playing]] an electric guitar on stage.","A man playing banjo on the floor. A man [[replicating]] an electric guitar on stage.",0.20014482736587524,0.8290722966194153,0,1,0,52,"Successful"
"A man playing guitar on stage. A man playing an [[electric]] guitar on stage.","A man playing guitar on stage. A man playing an [[electra]] guitar on stage.",0.16431617736816406,0.8232333064079285,1,0,1,17,"Successful"
"A giraffe is on a chair. a [[boy]] in a [[beige]] [[shirt]] is [[sleeping]] in a [[car]].","A giraffe is on a chair. a [[sons]] in a [[maroon]] [[shirts]] is [[cot]] in a [[cars]].",0.20301365852355957,0.2265625,0,0,0,160,"Failed"
"A person is in a vehicle. a boy in a [[beige]] [[shirt]] is [[sleeping]] in a car.","A person is in a vehicle. a boy in a [[khaki]] [[shirts]] is [[napping]] in a car.",0.21348541975021362,0.8088587522506714,0,1,0,67,"Successful"
"Policemen stand outside of their firetruck with all its lights on. [[Firemen]] [[stand]] [[outside]] of their firetruck with all its [[lights]] on.","Policemen stand outside of their firetruck with all its lights on. [[Torch]] [[station]] [[beyond]] of their firetruck with all its [[enlightenment]] on.",0.18987447023391724,0.23556458950042725,0,0,0,110,"Failed"
"People stand outside of their firetruck with all its lights on. [[Firemen]] [[stand]] [[outside]] of their firetruck with all its [[lights]] on.","People stand outside of their firetruck with all its lights on. [[Torch]] [[station]] [[beyond]] of their firetruck with all its [[luz]] on.",0.17325365543365479,0.21414422988891602,0,0,0,110,"Failed"
"The traffic was not to bad today the guy made it home early and took a nap. [[A]] [[man]] [[laying]] down in [[middle]] of [[street]] during [[heavy]] [[traffic]].","The traffic was not to bad today the guy made it home early and took a nap. [[paras]] [[copulate]] [[jette]] down in [[east]] of [[rue]] during [[hard]] [[carriage]].",0.19956815242767334,0.5,0,0,0,189,"Failed"
"A person has lost it by laying down in a busy street while there is bad traffic. [[A]] [[man]] [[laying]] down in [[middle]] of [[street]] during [[heavy]] [[traffic]].","A person has lost it by laying down in a busy street while there is bad traffic. [[paras]] [[boy]] [[throw]] down in [[eastward]] of [[sant]] during [[hard]] [[carriage]].",0.2199191451072693,0.916867733001709,0,1,0,184,"Successful"
"The boy is at a boxing match. [[A]] girl [[playfully]] [[kicks]] a [[guy]] in the [[face]] while another [[person]] [[makes]] faces.","The boy is at a boxing match. [[para]] girl [[sarcastically]] [[kicking]] a [[copulate]] in the [[overcome]] while another [[persona]] [[becomes]] faces.",0.1614227294921875,0.5,0,0,0,302,"Failed"
"A girl is play fighting. [[A]] girl [[playfully]] [[kicks]] a [[guy]] in the [[face]] while another [[person]] [[makes]] faces.","A girl is play fighting. [[para]] girl [[sarcastically]] [[kicking]] a [[freund]] in the [[respond]] while another [[persona]] [[assumes]] faces.",0.15802127122879028,0.788358747959137,0,1,0,213,"Successful"
"A brown dog is running down the road chasing the mailman. [[A]] [[brown]] [[dog]] [[plays]] in a deep pile of [[snow]].","A brown dog is running down the road chasing the mailman. [[paras]] [[brunettes]] [[whelp]] [[games]] in a deep pile of [[iceman]].",0.21250617504119873,0.5,0,0,0,164,"Failed"
"A brown dog plays in snow. [[A]] [[brown]] [[dog]] plays in a deep pile of snow.","A brown dog plays in snow. [[another]] [[pallid]] [[whelp]] plays in a deep pile of snow.",0.18363475799560547,0.8265008926391602,0,1,0,60,"Successful"
"A young woman working in the snow. A [[man]] [[shoveling]] [[snow]] off the [[roof]] of a [[building]].","A young woman working in the snow. A [[virile]] [[obliterating]] [[wintry]] off the [[terrace]] of a [[reinforcing]].",0.223749041557312,0.2716001868247986,0,0,0,175,"Failed"
"A man working in the snow. A man [[shoveling]] snow off the roof of a building.","A man working in the snow. A man [[shoveled]] snow off the roof of a building.",0.18489617109298706,0.7992203235626221,1,0,1,36,"Successful"
"They are at the bar. Two [[women]] are hugging on a path through a grassy area with a cow visible past them.","They are at the bar. Two [[femmes]] are hugging on a path through a grassy area with a cow visible past them.",0.1758655309677124,0.8110032081604004,1,0,1,42,"Successful"
"There are women outside in this picture. Two [[women]] are hugging on a path through a grassy area with a cow visible past them.","There are women outside in this picture. Two [[femmes]] are hugging on a path through a grassy area with a cow visible past them.",0.18266606330871582,0.8053423762321472,1,0,1,51,"Successful"
"The man is swimming in a pool. A man performing [[auto]] repair in front of a building.","The man is swimming in a pool. A man performing [[automobiles]] repair in front of a building.",0.1640884280204773,0.8014549016952515,1,0,1,41,"Successful"
"The man is fixing a car. A man performing auto repair in front of a [[building]].","The man is fixing a car. A man performing auto repair in front of a [[built]].",0.1374894380569458,0.828959584236145,1,0,1,52,"Successful"
"the man is skiing. A man in aerodynamic gear riding a bicycle down a road around a sharp [[curve]].","the man is skiing. A man in aerodynamic gear riding a bicycle down a road around a sharp [[curving]].",0.1661919355392456,0.8267720937728882,1,0,1,34,"Successful"
"the man is riding outside. A man in aerodynamic gear riding a bicycle down a road around a sharp [[curve]].","the man is riding outside. A man in aerodynamic gear riding a bicycle down a road around a sharp [[warping]].",0.1619952917098999,0.8264423608779907,1,0,1,35,"Successful"
"the man is going to the store. A man in aerodynamic gear riding a bicycle down a road around a sharp [[curve]].","the man is going to the store. A man in aerodynamic gear riding a bicycle down a road around a sharp [[curving]].",0.17100465297698975,0.8204295635223389,1,0,1,35,"Successful"
"A cat is running up a tree. The [[small]] [[dog]] is running across the [[lawn]].","A cat is running up a tree. The [[minimal]] [[dogs]] is running across the [[patio]].",0.20465701818466187,0.22219908237457275,0,0,0,132,"Failed"
"A mammal is running through the yard. The small dog is [[running]] across the lawn.","A mammal is running through the yard. The small dog is [[runs]] across the lawn.",0.17144763469696045,0.8126376271247864,1,0,1,29,"Successful"
"The young boy went swimming. [[A]] [[young]] [[boy]] with a [[shaved]] [[head]] and [[dirty]] white [[collared]] [[shirt]] [[holds]] a [[chicken]] in his [[arm]].","The young boy went swimming. [[paras]] [[teen]] [[laddie]] with a [[blighted]] [[execs]] and [[seedy]] white [[waistcoat]] [[sweat]] [[holding]] a [[bird]] in his [[armament]].",0.15773165225982666,0.5,0,0,0,288,"Failed"
"The pet is laying on the couch. A [[dog]] is running in the [[waves]] at the [[beach]].","The pet is laying on the couch. A [[dogs]] is running in the [[tide]] at the [[seashore]].",0.18057143688201904,0.19815897941589355,0,0,0,126,"Failed"
"An animal is running outside. A dog is running in the waves at the [[beach]].","An animal is running outside. A dog is running in the waves at the [[swam]].",0.18795502185821533,0.7945202589035034,1,0,1,30,"Successful"
"Strangers are standing indoors. Family members [[standing]] outside a home.","Strangers are standing indoors. Family members [[ongoing]] outside a home.",0.18332064151763916,0.838550329208374,0,1,0,32,"Successful"
"A family is standing outside. Family members standing outside a [[home]].","A family is standing outside. Family members standing outside a [[roa]].",0.17293983697891235,0.8091424703598022,1,0,1,55,"Successful"
"The two men are fighting. A [[man]] and a [[child]] [[painting]] a [[post]].","The two men are fighting. A [[laddie]] and a [[kinder]] [[airbrush]] a [[posting]].",0.19523882865905762,0.5,0,0,0,162,"Failed"
"The boy and his father making the post look better. A man and a [[child]] [[painting]] a [[post]].","The boy and his father making the post look better. A man and a [[jr]] [[paint]] a [[stance]].",0.21555739641189575,0.5,0,0,0,150,"Failed"
"The men are selling clothes in a sports store. Four [[men]] with [[baseball]] [[caps]] and [[logo]] t-shirts laughing [[together]] at a [[table]].","The men are selling clothes in a sports store. Four [[dudes]] with [[bullet]] [[limitations]] and [[tags]] t-shirts laughing [[jointly]] at a [[frames]].",0.21724724769592285,0.9402599334716797,0,1,0,131,"Successful"
"Males are socializing with each other while wearing casual clothes. Four [[men]] with baseball caps and logo t-shirts laughing together at a table.","Males are socializing with each other while wearing casual clothes. Four [[homme]] with baseball caps and logo t-shirts laughing together at a table.",0.23607224225997925,0.786466121673584,1,0,1,50,"Successful"
"A puppy is rolling on the ground. A big dog catches a [[ball]] on his nose","A puppy is rolling on the ground. A big dog catches a [[bal]] on his nose",0.1791079044342041,0.8016403317451477,1,0,1,30,"Successful"
"Two women compete in a tennis match. Two male soccer players on [[opposing]] [[teams]] are [[trying]] to [[get]] the soccer [[ball]].","Two women compete in a tennis match. Two male soccer players on [[contradiction]] [[panel]] are [[seeking]] to [[find]] the soccer [[basketball]].",0.21113699674606323,0.269429087638855,0,0,0,246,"Failed"
"Two soccer players go after the ball. Two male soccer players on opposing teams are [[trying]] to get the soccer ball.","Two soccer players go after the ball. Two male soccer players on opposing teams are [[striven]] to get the soccer ball.",0.16686773300170898,0.8230853080749512,1,0,1,55,"Successful"
