baseline,e-persona-you,e-persona-human,e-implcit-target,e-implcit-target-e-persona-you,e-implcit-target-e-persona-human,TextFoolerJin2019
"{'distance': 0.3867151956323931, 'evidence_accuracy': 0.46266233766233766, 'evidence_precision': 0.23655913978494625, 'evidence_recall': 0.358695652173913, 'evidence_f1': 0.285097192224622, 'similarity_metrics': np.float32(0.99938965), 'contradiction': 0.05640771985054016}","{'distance': 0.3867151956323931, 'evidence_accuracy': 0.46266233766233766, 'evidence_precision': 0.23655913978494625, 'evidence_recall': 0.358695652173913, 'evidence_f1': 0.285097192224622, 'similarity_metrics': np.float32(0.99938965), 'contradiction': 0.05640771985054016}","{'distance': 0.3867151956323931, 'evidence_accuracy': 0.46266233766233766, 'evidence_precision': 0.23655913978494625, 'evidence_recall': 0.358695652173913, 'evidence_f1': 0.285097192224622, 'similarity_metrics': np.float32(0.99938965), 'contradiction': 0.05640771985054016}",,,"{'distance': 0.3950953678474114, 'evidence_accuracy': 0.45616883116883117, 'evidence_precision': 0.2332155477031802, 'evidence_recall': 0.358695652173913, 'evidence_f1': 0.2826552462526767, 'similarity_metrics': np.float32(0.99706364), 'contradiction': 0.46712684631347656}","{'distance': 0.01461038961038963, 'evidence_accuracy': 0.6996753246753247, 'evidence_precision': 0.4444444444444444, 'evidence_recall': 0.021739130434782608, 'evidence_f1': 0.04145077720207254, 'similarity_metrics': np.float32(0.99706686), 'contradiction': 0.04056686535477638}"
,,,,,"{'distance': 0.8342749529190208, 'evidence_accuracy': 0.41361256544502617, 'evidence_precision': 0.3583815028901734, 'evidence_recall': 0.9841269841269841, 'evidence_f1': 0.5254237288135593, 'similarity_metrics': np.float32(0.5565953), 'contradiction': 0.13011397421360016}","{'distance': 0.023560209424083767, 'evidence_accuracy': 0.6675392670157068, 'evidence_precision': 0.4444444444444444, 'evidence_recall': 0.031746031746031744, 'evidence_f1': 0.05925925925925926, 'similarity_metrics': np.float32(0.9533167), 'contradiction': 0.04098790884017944}"
,,,,,,"{'distance': 0.01344743276283622, 'evidence_accuracy': 0.6356968215158925, 'evidence_precision': 0.7272727272727273, 'evidence_recall': 0.026402640264026403, 'evidence_f1': 0.050955414012738856, 'similarity_metrics': np.float32(0.9640807), 'contradiction': 0.031011270359158516}"
,"{'distance': 0.989010989010989, 'evidence_accuracy': 0.5518207282913166, 'evidence_precision': 0.5521126760563381, 'evidence_recall': 0.9949238578680203, 'evidence_f1': 0.7101449275362319, 'similarity_metrics': np.float32(0.25973243), 'contradiction': 0.05860219895839691}",,,,,"{'distance': 0.039215686274509776, 'evidence_accuracy': 0.45938375350140054, 'evidence_precision': 0.6428571428571429, 'evidence_recall': 0.04568527918781726, 'evidence_f1': 0.08530805687203791, 'similarity_metrics': np.float32(0.9962643), 'contradiction': 0.065211221575737}"
,,,,,,"{'distance': 0.09881422924901184, 'evidence_accuracy': 0.616600790513834, 'evidence_precision': 0.32, 'evidence_recall': 0.09090909090909091, 'evidence_f1': 0.1415929203539823, 'similarity_metrics': np.float32(0.9515139), 'contradiction': 0.043008722364902496}"
,,,,,,"{'distance': 0.051748251748251706, 'evidence_accuracy': 0.6951048951048951, 'evidence_precision': 0.2894736842105263, 'evidence_recall': 0.054455445544554455, 'evidence_f1': 0.09166666666666667, 'similarity_metrics': np.float32(0.89032465), 'contradiction': 0.11390370875597}"
,,,,,,"{'distance': 0.007462686567164201, 'evidence_accuracy': 0.7334754797441365, 'evidence_precision': 0.14285714285714285, 'evidence_recall': 0.004081632653061225, 'evidence_f1': 0.007936507936507938, 'similarity_metrics': np.float32(0.96323204), 'contradiction': 0.009991561062633991}"
,,,,,,"{'distance': 0.08490566037735847, 'evidence_accuracy': 0.633423180592992, 'evidence_precision': 0.2698412698412698, 'evidence_recall': 0.06995884773662552, 'evidence_f1': 0.11111111111111112, 'similarity_metrics': np.float32(0.9269577), 'contradiction': 0.07323484867811203}"
,,,,,,"{'distance': 0.003795066413662229, 'evidence_accuracy': 0.7960151802656547, 'evidence_precision': 0.5, 'evidence_recall': 0.009302325581395349, 'evidence_f1': 0.018264840182648404, 'similarity_metrics': np.float32(0.9951918), 'contradiction': 0.01372523233294487}"
,,,,,,"{'distance': 0.007025761124121788, 'evidence_accuracy': 0.5925058548009368, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.975662), 'contradiction': 0.05473904311656952}"
