baseline,e-implcit-target,e-persona-you,e-chain-of-thought,e-chat-history,e-persona-human
"{'closeness': 0.9867943215582701, 'similarity_metrics': 0.9814562, 'contradiction': 0.12696559727191925, 'evidence_accuracy': 0.6883116883116883, 'evidence_precision': 0.25, 'evidence_recall': 0.021739130434782608, 'evidence_f1': 0.04, 'crest_accuracy': 0.4148606811145511, 'crest_precision': 0.8, 'crest_recall': 0.06060606060606061, 'crest_f1': 0.11267605633802819}","{'closeness': 0.9990095741168703, 'similarity_metrics': 0.9929379, 'contradiction': 0.03971637785434723, 'evidence_accuracy': 0.6996753246753247, 'evidence_precision': 0.4, 'evidence_recall': 0.010869565217391304, 'evidence_f1': 0.021164021164021163, 'crest_accuracy': 0.39628482972136225, 'crest_precision': 0.8, 'crest_recall': 0.020202020202020204, 'crest_f1': 0.0394088669950739}","{'closeness': 0.9867943215582701, 'similarity_metrics': 0.9814562, 'contradiction': 0.12696559727191925, 'evidence_accuracy': 0.6883116883116883, 'evidence_precision': 0.25, 'evidence_recall': 0.021739130434782608, 'evidence_f1': 0.04, 'crest_accuracy': 0.4148606811145511, 'crest_precision': 0.8, 'crest_recall': 0.06060606060606061, 'crest_f1': 0.11267605633802819}","{'closeness': 0.7943215582700561, 'similarity_metrics': 0.9930447, 'contradiction': 0.9101995825767517, 'evidence_accuracy': 0.6331168831168831, 'evidence_precision': 0.34558823529411764, 'evidence_recall': 0.2554347826086957, 'evidence_f1': 0.29375, 'crest_accuracy': 0.4086687306501548, 'crest_precision': 1.0, 'crest_recall': 0.03535353535353535, 'crest_f1': 0.06829268292682927}","{'closeness': 0.9963684384285243, 'similarity_metrics': 0.9944724, 'contradiction': 0.21143284440040588, 'evidence_accuracy': 0.698051948051948, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 0.010869565217391304, 'evidence_f1': 0.021052631578947368, 'crest_accuracy': 0.3993808049535604, 'crest_precision': 0.8333333333333334, 'crest_recall': 0.025252525252525252, 'crest_f1': 0.049019607843137254}","{'closeness': 0.9867943215582701, 'similarity_metrics': 0.9814562, 'contradiction': 0.12696559727191925, 'evidence_accuracy': 0.6883116883116883, 'evidence_precision': 0.25, 'evidence_recall': 0.021739130434782608, 'evidence_f1': 0.04, 'crest_accuracy': 0.4148606811145511, 'crest_precision': 0.8, 'crest_recall': 0.06060606060606061, 'crest_f1': 0.11267605633802819}"
"{'closeness': 0.01706108970831044, 'similarity_metrics': 0.12180223, 'contradiction': 0.14647887647151947, 'evidence_accuracy': 0.3298429319371728, 'evidence_precision': 0.3298429319371728, 'evidence_recall': 1.0, 'evidence_f1': 0.4960629921259843, 'crest_accuracy': 0.660377358490566, 'crest_precision': 0.660377358490566, 'crest_recall': 1.0, 'crest_f1': 0.7954545454545454}","{'closeness': 0.01706108970831044, 'similarity_metrics': 0.12180223, 'contradiction': 0.14647887647151947, 'evidence_accuracy': 0.3298429319371728, 'evidence_precision': 0.3298429319371728, 'evidence_recall': 1.0, 'evidence_f1': 0.4960629921259843, 'crest_accuracy': 0.660377358490566, 'crest_precision': 0.660377358490566, 'crest_recall': 1.0, 'crest_f1': 0.7954545454545454}","{'closeness': 0.01706108970831044, 'similarity_metrics': 0.12180223, 'contradiction': 0.14647887647151947, 'evidence_accuracy': 0.3298429319371728, 'evidence_precision': 0.3298429319371728, 'evidence_recall': 1.0, 'evidence_f1': 0.4960629921259843, 'crest_accuracy': 0.660377358490566, 'crest_precision': 0.660377358490566, 'crest_recall': 1.0, 'crest_f1': 0.7954545454545454}","{'closeness': 0.01706108970831044, 'similarity_metrics': 0.12180223, 'contradiction': 0.14647887647151947, 'evidence_accuracy': 0.3298429319371728, 'evidence_precision': 0.3298429319371728, 'evidence_recall': 1.0, 'evidence_f1': 0.4960629921259843, 'crest_accuracy': 0.660377358490566, 'crest_precision': 0.660377358490566, 'crest_recall': 1.0, 'crest_f1': 0.7954545454545454}","{'closeness': 0.969179966978536, 'similarity_metrics': 0.9828657, 'contradiction': 0.09262259304523468, 'evidence_accuracy': 0.6335078534031413, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.33647798742138363, 'crest_precision': 0.0, 'crest_recall': 0.0, 'crest_f1': 0}","{'closeness': 0.01706108970831044, 'similarity_metrics': 0.12180223, 'contradiction': 0.14647887647151947, 'evidence_accuracy': 0.3298429319371728, 'evidence_precision': 0.3298429319371728, 'evidence_recall': 1.0, 'evidence_f1': 0.4960629921259843, 'crest_accuracy': 0.660377358490566, 'crest_precision': 0.660377358490566, 'crest_recall': 1.0, 'crest_f1': 0.7954545454545454}"
"{'closeness': 0.9979285344381149, 'similarity_metrics': 0.9822366, 'contradiction': 0.04408568888902664, 'evidence_accuracy': 0.6259168704156479, 'evidence_precision': 0.2, 'evidence_recall': 0.0033003300330033004, 'evidence_f1': 0.006493506493506493, 'crest_accuracy': 0.42162162162162165, 'crest_precision': 0.0, 'crest_recall': 0.0, 'crest_f1': 0}","{'closeness': 0.9899016053858105, 'similarity_metrics': 0.98016554, 'contradiction': 0.040613871067762375, 'evidence_accuracy': 0.628361858190709, 'evidence_precision': 0.4666666666666667, 'evidence_recall': 0.0231023102310231, 'evidence_f1': 0.0440251572327044, 'crest_accuracy': 0.41081081081081083, 'crest_precision': 0.3333333333333333, 'crest_recall': 0.023474178403755867, 'crest_f1': 0.04385964912280701}","{'closeness': 0.9513205592957017, 'similarity_metrics': 0.9801331, 'contradiction': 0.13763682544231415, 'evidence_accuracy': 0.4902200488997555, 'evidence_precision': 0.32727272727272727, 'evidence_recall': 0.3564356435643564, 'evidence_f1': 0.3412322274881517, 'crest_accuracy': 0.4810810810810811, 'crest_precision': 0.5695364238410596, 'crest_recall': 0.40375586854460094, 'crest_f1': 0.4725274725274725}","{'closeness': 0.9997410668047644, 'similarity_metrics': 0.9999998, 'contradiction': 0.01768219657242298, 'evidence_accuracy': 0.6259168704156479, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.4243243243243243, 'crest_precision': 0, 'crest_recall': 0.0, 'crest_f1': 0}","{'closeness': 0.9464008285862248, 'similarity_metrics': 0.99651253, 'contradiction': 0.8373748064041138, 'evidence_accuracy': 0.6442542787286064, 'evidence_precision': 0.625, 'evidence_recall': 0.09900990099009901, 'evidence_f1': 0.17094017094017094, 'crest_accuracy': 0.44324324324324327, 'crest_precision': 0.7058823529411765, 'crest_recall': 0.056338028169014086, 'crest_f1': 0.10434782608695652}","{'closeness': 0.9513205592957017, 'similarity_metrics': 0.9801331, 'contradiction': 0.13727356493473053, 'evidence_accuracy': 0.4902200488997555, 'evidence_precision': 0.32727272727272727, 'evidence_recall': 0.3564356435643564, 'evidence_f1': 0.3412322274881517, 'crest_accuracy': 0.4810810810810811, 'crest_precision': 0.5695364238410596, 'crest_recall': 0.40375586854460094, 'crest_f1': 0.4725274725274725}"
"{'closeness': 0.20408163265306123, 'similarity_metrics': 0.6521858, 'contradiction': 0.03908376023173332, 'evidence_accuracy': 0.5518207282913166, 'evidence_precision': 0.5530085959885387, 'evidence_recall': 0.9796954314720813, 'evidence_f1': 0.706959706959707, 'crest_accuracy': 0.5630252100840336, 'crest_precision': 0.5824175824175825, 'crest_recall': 0.9814814814814815, 'crest_f1': 0.7310344827586207}","{'closeness': 0.018075801749271148, 'similarity_metrics': 0.040180698, 'contradiction': 0.04166509956121445, 'evidence_accuracy': 0.5518207282913166, 'evidence_precision': 0.5518207282913166, 'evidence_recall': 1.0, 'evidence_f1': 0.7111913357400722, 'crest_accuracy': 0.6050420168067226, 'crest_precision': 0.6050420168067226, 'crest_recall': 1.0, 'crest_f1': 0.7539267015706805}","{'closeness': 0.3416909620991254, 'similarity_metrics': 0.832214, 'contradiction': 0.4033043384552002, 'evidence_accuracy': 0.5602240896358543, 'evidence_precision': 0.5602409638554217, 'evidence_recall': 0.9441624365482234, 'evidence_f1': 0.7032136105860113, 'crest_accuracy': 0.6302521008403361, 'crest_precision': 0.6265060240963856, 'crest_recall': 0.9629629629629629, 'crest_f1': 0.7591240875912408}","{'closeness': 0.018075801749271148, 'similarity_metrics': 0.040180698, 'contradiction': 0.04166509956121445, 'evidence_accuracy': 0.5518207282913166, 'evidence_precision': 0.5518207282913166, 'evidence_recall': 1.0, 'evidence_f1': 0.7111913357400722, 'crest_accuracy': 0.6050420168067226, 'crest_precision': 0.6050420168067226, 'crest_recall': 1.0, 'crest_f1': 0.7539267015706805}","{'closeness': 0.018075801749271148, 'similarity_metrics': 0.040180698, 'contradiction': 0.04166509956121445, 'evidence_accuracy': 0.5518207282913166, 'evidence_precision': 0.5518207282913166, 'evidence_recall': 1.0, 'evidence_f1': 0.7111913357400722, 'crest_accuracy': 0.6050420168067226, 'crest_precision': 0.6050420168067226, 'crest_recall': 1.0, 'crest_f1': 0.7539267015706805}","{'closeness': 0.29446064139941686, 'similarity_metrics': 0.79858065, 'contradiction': 0.026331188157200813, 'evidence_accuracy': 0.5350140056022409, 'evidence_precision': 0.5462686567164179, 'evidence_recall': 0.9289340101522843, 'evidence_f1': 0.68796992481203, 'crest_accuracy': 0.6050420168067226, 'crest_precision': 0.6119402985074627, 'crest_recall': 0.9490740740740741, 'crest_f1': 0.7441016333938293}"
"{'closeness': 0.02627118644067794, 'similarity_metrics': 0.03700669, 'contradiction': 0.104871466755867, 'evidence_accuracy': 0.34782608695652173, 'evidence_precision': 0.34782608695652173, 'evidence_recall': 1.0, 'evidence_f1': 0.5161290322580645, 'crest_accuracy': 0.5454545454545454, 'crest_precision': 0.5454545454545454, 'crest_recall': 1.0, 'crest_f1': 0.7058823529411764}","{'closeness': 0.02627118644067794, 'similarity_metrics': 0.03700669, 'contradiction': 0.104871466755867, 'evidence_accuracy': 0.34782608695652173, 'evidence_precision': 0.34782608695652173, 'evidence_recall': 1.0, 'evidence_f1': 0.5161290322580645, 'crest_accuracy': 0.5454545454545454, 'crest_precision': 0.5454545454545454, 'crest_recall': 1.0, 'crest_f1': 0.7058823529411764}","{'closeness': 0.02627118644067794, 'similarity_metrics': 0.03700669, 'contradiction': 0.104871466755867, 'evidence_accuracy': 0.34782608695652173, 'evidence_precision': 0.34782608695652173, 'evidence_recall': 1.0, 'evidence_f1': 0.5161290322580645, 'crest_accuracy': 0.5454545454545454, 'crest_precision': 0.5454545454545454, 'crest_recall': 1.0, 'crest_f1': 0.7058823529411764}","{'closeness': 0.9601694915254237, 'similarity_metrics': 0.99874645, 'contradiction': 0.01880665309727192, 'evidence_accuracy': 0.541501976284585, 'evidence_precision': 0.35714285714285715, 'evidence_recall': 0.3977272727272727, 'evidence_f1': 0.3763440860215053, 'crest_accuracy': 0.5019762845849802, 'crest_precision': 0.5612244897959183, 'crest_recall': 0.39855072463768115, 'crest_f1': 0.4661016949152542}","{'closeness': 0.978813559322034, 'similarity_metrics': 0.99426866, 'contradiction': 0.7789983153343201, 'evidence_accuracy': 0.6561264822134387, 'evidence_precision': 0.5128205128205128, 'evidence_recall': 0.22727272727272727, 'evidence_f1': 0.3149606299212598, 'crest_accuracy': 0.4743083003952569, 'crest_precision': 0.5641025641025641, 'crest_recall': 0.15942028985507245, 'crest_f1': 0.24858757062146888}","{'closeness': 0.02627118644067794, 'similarity_metrics': 0.03700669, 'contradiction': 0.104871466755867, 'evidence_accuracy': 0.34782608695652173, 'evidence_precision': 0.34782608695652173, 'evidence_recall': 1.0, 'evidence_f1': 0.5161290322580645, 'crest_accuracy': 0.5454545454545454, 'crest_precision': 0.5454545454545454, 'crest_recall': 1.0, 'crest_f1': 0.7058823529411764}"
"{'closeness': 0.009059029807130359, 'similarity_metrics': 0.1504814, 'contradiction': 0.5469487309455872, 'evidence_accuracy': 0.28251748251748254, 'evidence_precision': 0.28251748251748254, 'evidence_recall': 1.0, 'evidence_f1': 0.44056706652126504, 'crest_accuracy': 0.6238532110091743, 'crest_precision': 0.6238532110091743, 'crest_recall': 1.0, 'crest_f1': 0.768361581920904}","{'closeness': 0.009059029807130359, 'similarity_metrics': 0.1504814, 'contradiction': 0.5469487309455872, 'evidence_accuracy': 0.28251748251748254, 'evidence_precision': 0.28251748251748254, 'evidence_recall': 1.0, 'evidence_f1': 0.44056706652126504, 'crest_accuracy': 0.6238532110091743, 'crest_precision': 0.6238532110091743, 'crest_recall': 1.0, 'crest_f1': 0.768361581920904}","{'closeness': 0.009059029807130359, 'similarity_metrics': 0.1504814, 'contradiction': 0.5469487309455872, 'evidence_accuracy': 0.28251748251748254, 'evidence_precision': 0.28251748251748254, 'evidence_recall': 1.0, 'evidence_f1': 0.44056706652126504, 'crest_accuracy': 0.6238532110091743, 'crest_precision': 0.6238532110091743, 'crest_recall': 1.0, 'crest_f1': 0.768361581920904}","{'closeness': 0.9950321449444769, 'similarity_metrics': 0.9985273, 'contradiction': 0.9738171696662903, 'evidence_accuracy': 0.7216783216783217, 'evidence_precision': 0.8, 'evidence_recall': 0.019801980198019802, 'evidence_f1': 0.03864734299516908, 'crest_accuracy': 0.38837920489296635, 'crest_precision': 1.0, 'crest_recall': 0.024390243902439025, 'crest_f1': 0.047619047619047616}","{'closeness': 0.8928260238164392, 'similarity_metrics': 0.99557674, 'contradiction': 0.9977974891662598, 'evidence_accuracy': 0.7622377622377622, 'evidence_precision': 0.75, 'evidence_recall': 0.2376237623762376, 'evidence_f1': 0.3609022556390977, 'crest_accuracy': 0.41896024464831805, 'crest_precision': 0.9375, 'crest_recall': 0.07352941176470588, 'crest_f1': 0.13636363636363638}","{'closeness': 0.009059029807130359, 'similarity_metrics': 0.1504814, 'contradiction': 0.5469487309455872, 'evidence_accuracy': 0.28251748251748254, 'evidence_precision': 0.28251748251748254, 'evidence_recall': 1.0, 'evidence_f1': 0.44056706652126504, 'crest_accuracy': 0.6238532110091743, 'crest_precision': 0.6238532110091743, 'crest_recall': 1.0, 'crest_f1': 0.768361581920904}"
"{'closeness': 0.9922232387923148, 'similarity_metrics': 0.99123704, 'contradiction': 0.003086618846282363, 'evidence_accuracy': 0.6663113006396588, 'evidence_precision': 0.29012345679012347, 'evidence_recall': 0.19183673469387755, 'evidence_f1': 0.23095823095823095, 'crest_accuracy': 0.3783068783068783, 'crest_precision': 0.43548387096774194, 'crest_recall': 0.11894273127753303, 'crest_f1': 0.18685121107266434}","{'closeness': 0.007090576395242465, 'similarity_metrics': 0.09519182, 'contradiction': 0.28121793270111084, 'evidence_accuracy': 0.26119402985074625, 'evidence_precision': 0.26119402985074625, 'evidence_recall': 1.0, 'evidence_f1': 0.4142011834319526, 'crest_accuracy': 0.5978835978835979, 'crest_precision': 0.5978835978835979, 'crest_recall': 1.0, 'crest_f1': 0.7483443708609272}","{'closeness': 0.9922232387923148, 'similarity_metrics': 0.99123704, 'contradiction': 0.003086618846282363, 'evidence_accuracy': 0.6663113006396588, 'evidence_precision': 0.29012345679012347, 'evidence_recall': 0.19183673469387755, 'evidence_f1': 0.23095823095823095, 'crest_accuracy': 0.3783068783068783, 'crest_precision': 0.43548387096774194, 'crest_recall': 0.11894273127753303, 'crest_f1': 0.18685121107266434}","{'closeness': 0.9954254345837146, 'similarity_metrics': 1.0000002, 'contradiction': 0.00631686020642519, 'evidence_accuracy': 0.7217484008528785, 'evidence_precision': 0.2894736842105263, 'evidence_recall': 0.044897959183673466, 'evidence_f1': 0.07773851590106007, 'crest_accuracy': 0.42063492063492064, 'crest_precision': 0.8333333333333334, 'crest_recall': 0.04405286343612335, 'crest_f1': 0.08368200836820083}","{'closeness': 0.9142268984446478, 'similarity_metrics': 0.9928013, 'contradiction': 0.1139499619603157, 'evidence_accuracy': 0.7249466950959488, 'evidence_precision': 0.448, 'evidence_recall': 0.22857142857142856, 'evidence_f1': 0.3027027027027027, 'crest_accuracy': 0.43915343915343913, 'crest_precision': 0.8947368421052632, 'crest_recall': 0.07488986784140969, 'crest_f1': 0.13821138211382114}","{'closeness': 0.9919945105215004, 'similarity_metrics': 0.99123704, 'contradiction': 0.003086618846282363, 'evidence_accuracy': 0.6684434968017058, 'evidence_precision': 0.29878048780487804, 'evidence_recall': 0.2, 'evidence_f1': 0.2396088019559902, 'crest_accuracy': 0.3783068783068783, 'crest_precision': 0.43548387096774194, 'crest_recall': 0.11894273127753303, 'crest_f1': 0.18685121107266434}"
"{'closeness': 0.9989756722151089, 'similarity_metrics': 0.9989392, 'contradiction': 0.04651486501097679, 'evidence_accuracy': 0.6684636118598383, 'evidence_precision': 0.2857142857142857, 'evidence_recall': 0.00823045267489712, 'evidence_f1': 0.016, 'crest_accuracy': 0.3697478991596639, 'crest_precision': 0.625, 'crest_recall': 0.022026431718061675, 'crest_f1': 0.04255319148936171}","{'closeness': 0.00793854033290653, 'similarity_metrics': 0.11541079, 'contradiction': 0.04669378697872162, 'evidence_accuracy': 0.3274932614555256, 'evidence_precision': 0.3274932614555256, 'evidence_recall': 1.0, 'evidence_f1': 0.49340101522842633, 'crest_accuracy': 0.6330532212885154, 'crest_precision': 0.6330532212885154, 'crest_recall': 1.0, 'crest_f1': 0.7753001715265866}","{'closeness': 0.9989756722151089, 'similarity_metrics': 0.9989392, 'contradiction': 0.04651486501097679, 'evidence_accuracy': 0.6684636118598383, 'evidence_precision': 0.2857142857142857, 'evidence_recall': 0.00823045267489712, 'evidence_f1': 0.016, 'crest_accuracy': 0.3697478991596639, 'crest_precision': 0.625, 'crest_recall': 0.022026431718061675, 'crest_f1': 0.04255319148936171}","{'closeness': 0.9441741357234315, 'similarity_metrics': 0.995679, 'contradiction': 0.969132661819458, 'evidence_accuracy': 0.6590296495956873, 'evidence_precision': 0.4489795918367347, 'evidence_recall': 0.18106995884773663, 'evidence_f1': 0.25806451612903225, 'crest_accuracy': 0.39215686274509803, 'crest_precision': 0.6, 'crest_recall': 0.13215859030837004, 'crest_f1': 0.21660649819494582}","{'closeness': 0.9825864276568502, 'similarity_metrics': 0.99866843, 'contradiction': 0.9637600779533386, 'evidence_accuracy': 0.6900269541778976, 'evidence_precision': 0.8421052631578947, 'evidence_recall': 0.06584362139917696, 'evidence_f1': 0.12213740458015267, 'crest_accuracy': 0.4005602240896359, 'crest_precision': 1.0, 'crest_recall': 0.05726872246696035, 'crest_f1': 0.10833333333333334}","{'closeness': 0.9989756722151089, 'similarity_metrics': 0.9989392, 'contradiction': 0.04651486501097679, 'evidence_accuracy': 0.6684636118598383, 'evidence_precision': 0.2857142857142857, 'evidence_recall': 0.00823045267489712, 'evidence_f1': 0.016, 'crest_accuracy': 0.3697478991596639, 'crest_precision': 0.625, 'crest_recall': 0.022026431718061675, 'crest_f1': 0.04255319148936171}"
"{'closeness': 0.005879006258296959, 'similarity_metrics': 0.1075024, 'contradiction': 0.5004074573516846, 'evidence_accuracy': 0.20398481973434535, 'evidence_precision': 0.20398481973434535, 'evidence_recall': 1.0, 'evidence_f1': 0.338849487785658, 'crest_accuracy': 0.5647668393782384, 'crest_precision': 0.5647668393782384, 'crest_recall': 1.0, 'crest_f1': 0.7218543046357616}","{'closeness': 0.005879006258296959, 'similarity_metrics': 0.1075024, 'contradiction': 0.5004074573516846, 'evidence_accuracy': 0.20398481973434535, 'evidence_precision': 0.20398481973434535, 'evidence_recall': 1.0, 'evidence_f1': 0.338849487785658, 'crest_accuracy': 0.5647668393782384, 'crest_precision': 0.5647668393782384, 'crest_recall': 1.0, 'crest_f1': 0.7218543046357616}","{'closeness': 0.005879006258296959, 'similarity_metrics': 0.1075024, 'contradiction': 0.5004074573516846, 'evidence_accuracy': 0.20398481973434535, 'evidence_precision': 0.20398481973434535, 'evidence_recall': 1.0, 'evidence_f1': 0.338849487785658, 'crest_accuracy': 0.5647668393782384, 'crest_precision': 0.5647668393782384, 'crest_recall': 1.0, 'crest_f1': 0.7218543046357616}","{'closeness': 0.9967772511848341, 'similarity_metrics': 0.9999998, 'contradiction': 0.0033576672431081533, 'evidence_accuracy': 0.7988614800759013, 'evidence_precision': 1.0, 'evidence_recall': 0.013953488372093023, 'evidence_f1': 0.027522935779816512, 'crest_accuracy': 0.43523316062176165, 'crest_precision': 0, 'crest_recall': 0.0, 'crest_f1': 0}","{'closeness': 0.9812393405343945, 'similarity_metrics': 0.9999998, 'contradiction': 0.0033576672431081533, 'evidence_accuracy': 0.8045540796963947, 'evidence_precision': 0.7368421052631579, 'evidence_recall': 0.06511627906976744, 'evidence_f1': 0.11965811965811965, 'crest_accuracy': 0.43523316062176165, 'crest_precision': 0, 'crest_recall': 0.0, 'crest_f1': 0}","{'closeness': 0.005879006258296959, 'similarity_metrics': 0.1075024, 'contradiction': 0.5004074573516846, 'evidence_accuracy': 0.20398481973434535, 'evidence_precision': 0.20398481973434535, 'evidence_recall': 1.0, 'evidence_f1': 0.338849487785658, 'crest_accuracy': 0.5647668393782384, 'crest_precision': 0.5647668393782384, 'crest_recall': 1.0, 'crest_f1': 0.7218543046357616}"
"{'closeness': 0.014664143803216678, 'similarity_metrics': 0.04884886, 'contradiction': 0.0899832621216774, 'evidence_accuracy': 0.40046838407494145, 'evidence_precision': 0.40046838407494145, 'evidence_recall': 1.0, 'evidence_f1': 0.5719063545150501, 'crest_accuracy': 0.6028571428571429, 'crest_precision': 0.6028571428571429, 'crest_recall': 1.0, 'crest_f1': 0.75222816399287}","{'closeness': 0.5193945127719962, 'similarity_metrics': 0.64765614, 'contradiction': 0.6848744750022888, 'evidence_accuracy': 0.4379391100702576, 'evidence_precision': 0.3963963963963964, 'evidence_recall': 0.7719298245614035, 'evidence_f1': 0.5238095238095238, 'crest_accuracy': 0.6257142857142857, 'crest_precision': 0.631578947368421, 'crest_recall': 0.909952606635071, 'crest_f1': 0.7456310679611651}","{'closeness': 0.28287606433301793, 'similarity_metrics': 0.5695283, 'contradiction': 0.6726617217063904, 'evidence_accuracy': 0.41217798594847777, 'evidence_precision': 0.4033816425120773, 'evidence_recall': 0.9766081871345029, 'evidence_f1': 0.570940170940171, 'crest_accuracy': 0.6085714285714285, 'crest_precision': 0.615625, 'crest_recall': 0.933649289099526, 'crest_f1': 0.7419962335216571}","{'closeness': 0.8567839195979899, 'similarity_metrics': 0.9205673, 'contradiction': 0.041631363332271576, 'evidence_accuracy': 0.5667447306791569, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.4, 'crest_precision': 0.625, 'crest_recall': 0.02358490566037736, 'crest_f1': 0.04545454545454545}","{'closeness': 0.3003784295175024, 'similarity_metrics': 0.599771, 'contradiction': 0.0027612480334937572, 'evidence_accuracy': 0.4028103044496487, 'evidence_precision': 0.39705882352941174, 'evidence_recall': 0.9473684210526315, 'evidence_f1': 0.5595854922279793, 'crest_accuracy': 0.5971428571428572, 'crest_precision': 0.6047904191616766, 'crest_recall': 0.957345971563981, 'crest_f1': 0.7412844036697247}","{'closeness': 0.30558183538315986, 'similarity_metrics': 0.6106248, 'contradiction': 0.05126277357339859, 'evidence_accuracy': 0.46604215456674475, 'evidence_precision': 0.4214876033057851, 'evidence_recall': 0.8947368421052632, 'evidence_f1': 0.5730337078651685, 'crest_accuracy': 0.6457142857142857, 'crest_precision': 0.6484641638225256, 'crest_recall': 0.9004739336492891, 'crest_f1': 0.7539682539682538}"
