e-implcit-target,e-persona-you,baseline,e-persona-human,e-implcit-target-e-persona-human,e-implcit-target-e-persona-you,TextFoolerJin2019
,,,,,,
,,,,,,"{'distance': 0.24869109947643975, 'evidence_accuracy': 0.5732984293193717, 'evidence_precision': 0.30526315789473685, 'evidence_recall': 0.23015873015873015, 'evidence_f1': 0.26244343891402716, 'similarity_metrics': np.float32(0.7522483), 'contradiction': 0.09300385415554047}"
,,,,,,
,,,,,,
,,,,,,"{'distance': 0.11857707509881421, 'evidence_accuracy': 0.6284584980237155, 'evidence_precision': 0.4, 'evidence_recall': 0.13636363636363635, 'evidence_f1': 0.20338983050847456, 'similarity_metrics': np.float32(0.9034786), 'contradiction': 0.011330421082675457}"
,,,,,,
,,,,,,
,,"{'distance': 0.9777777777777777, 'evidence_accuracy': 0.330188679245283, 'evidence_precision': 0.32650273224043713, 'evidence_recall': 0.9835390946502057, 'evidence_f1': 0.49025641025641026, 'similarity_metrics': np.float32(0.8548649), 'contradiction': 0.6582980751991272}","{'distance': 0.9728506787330317, 'evidence_accuracy': 0.3328840970350404, 'evidence_precision': 0.3273972602739726, 'evidence_recall': 0.9835390946502057, 'evidence_f1': 0.4912641315519013, 'similarity_metrics': np.float32(0.84426653), 'contradiction': 0.5543001890182495}",,,
,,,,,,"{'distance': 0.057874762808349134, 'evidence_accuracy': 0.7628083491461101, 'evidence_precision': 0.21311475409836064, 'evidence_recall': 0.06046511627906977, 'evidence_f1': 0.09420289855072464, 'similarity_metrics': np.float32(0.8824872), 'contradiction': 0.35055723786354065}"
"{'distance': 0.6461538461538461, 'evidence_accuracy': 0.6229508196721312, 'evidence_precision': 0.5160256410256411, 'evidence_recall': 0.9415204678362573, 'evidence_f1': 0.6666666666666667, 'similarity_metrics': np.float32(0.6453006), 'contradiction': 0.9792574048042297}",,,,,"{'distance': 0.9296875, 'evidence_accuracy': 0.40046838407494145, 'evidence_precision': 0.3960880195599022, 'evidence_recall': 0.9473684210526315, 'evidence_f1': 0.5586206896551724, 'similarity_metrics': np.float32(0.59059733), 'contradiction': 0.9984404444694519}",
,,,,,,
,,,"{'distance': 0.9732057416267943, 'evidence_accuracy': 0.06576200417536535, 'evidence_precision': 0.0642781875658588, 'evidence_recall': 0.8970588235294118, 'evidence_f1': 0.11996066863323501, 'similarity_metrics': np.float32(0.580705), 'contradiction': 0.20969818532466888}","{'distance': 0.9708826205641492, 'evidence_accuracy': 0.07411273486430063, 'evidence_precision': 0.06574761399787911, 'evidence_recall': 0.9117647058823529, 'evidence_f1': 0.12265084075173097, 'similarity_metrics': np.float32(0.51721764), 'contradiction': 0.9042121171951294}",,
,,,,,,"{'distance': 0.05840568271507496, 'evidence_accuracy': 0.9226519337016574, 'evidence_precision': 0.04, 'evidence_recall': 0.10344827586206896, 'evidence_f1': 0.057692307692307696, 'similarity_metrics': np.float32(0.8935667), 'contradiction': 0.09558983147144318}"
,,,,,,
,,"{'distance': 0.8909090909090909, 'evidence_accuracy': 0.2653846153846154, 'evidence_precision': 0.22107438016528927, 'evidence_recall': 0.9553571428571429, 'evidence_f1': 0.35906040268456374, 'similarity_metrics': np.float32(0.6200868), 'contradiction': 0.9114640951156616}",,"{'distance': 0.9450867052023122, 'evidence_accuracy': 0.2326923076923077, 'evidence_precision': 0.21357285429141717, 'evidence_recall': 0.9553571428571429, 'evidence_f1': 0.34910277324632955, 'similarity_metrics': np.float32(0.42028442), 'contradiction': 0.401001513004303}",,
,,,,,,
,,,,,,
,,,,,,"{'distance': 0.10733695652173914, 'evidence_accuracy': 0.688858695652174, 'evidence_precision': 0.6075949367088608, 'evidence_recall': 0.1951219512195122, 'evidence_f1': 0.29538461538461536, 'similarity_metrics': np.float32(0.93091524), 'contradiction': 0.27125486731529236}"
,,,,,,
,,,,,,"{'distance': 0.2569169960474308, 'evidence_accuracy': 0.6245059288537549, 'evidence_precision': 0.4846153846153846, 'evidence_recall': 0.3387096774193548, 'evidence_f1': 0.39873417721518983, 'similarity_metrics': np.float32(0.7865561), 'contradiction': 0.07813974469900131}"
,,"{'distance': 0.603125, 'evidence_accuracy': 0.4429347826086957, 'evidence_precision': 0.2396694214876033, 'evidence_recall': 0.7341772151898734, 'evidence_f1': 0.36137071651090347, 'similarity_metrics': np.float32(0.9786168), 'contradiction': 0.049628883600234985}",,,"{'distance': 0.19136690647482013, 'evidence_accuracy': 0.8369565217391305, 'evidence_precision': 0.6067415730337079, 'evidence_recall': 0.6835443037974683, 'evidence_f1': 0.6428571428571429, 'similarity_metrics': np.float32(0.9865786), 'contradiction': 0.9149980545043945}",
,,,,,,"{'distance': 0.08285714285714285, 'evidence_accuracy': 0.5361904761904762, 'evidence_precision': 0.367816091954023, 'evidence_recall': 0.06896551724137931, 'evidence_f1': 0.11615245009074408, 'similarity_metrics': np.float32(0.9363369), 'contradiction': 0.0199480801820755}"
"{'distance': 0.8264150943396227, 'evidence_accuracy': 0.32360742705570295, 'evidence_precision': 0.2680722891566265, 'evidence_recall': 0.8811881188118812, 'evidence_f1': 0.4110854503464203, 'similarity_metrics': np.float32(0.746482), 'contradiction': 0.7842889428138733}",,,,,,"{'distance': 0.03978779840848812, 'evidence_accuracy': 0.7453580901856764, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 0.09900990099009901, 'evidence_f1': 0.17241379310344826, 'similarity_metrics': np.float32(0.8702253), 'contradiction': 0.18460136651992798}"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,"{'distance': 0.09319526627218933, 'evidence_accuracy': 0.6257396449704142, 'evidence_precision': 0.5476190476190477, 'evidence_recall': 0.13320463320463322, 'evidence_f1': 0.21428571428571427, 'similarity_metrics': np.float32(0.9257991), 'contradiction': 0.20233988761901855}"
,,,,,"{'distance': 0.19248826291079812, 'evidence_accuracy': 0.7647058823529411, 'evidence_precision': 0.45121951219512196, 'evidence_recall': 0.5138888888888888, 'evidence_f1': 0.4805194805194805, 'similarity_metrics': np.float32(0.97703534), 'contradiction': 0.38341274857521057}","{'distance': 0.06470588235294117, 'evidence_accuracy': 0.7647058823529411, 'evidence_precision': 0.3181818181818182, 'evidence_recall': 0.09722222222222222, 'evidence_f1': 0.14893617021276598, 'similarity_metrics': np.float32(0.94442666), 'contradiction': 0.29171228408813477}"
,,,,,,
,,,,,,"{'distance': 0.1574468085106383, 'evidence_accuracy': 0.5914893617021276, 'evidence_precision': 0.44594594594594594, 'evidence_recall': 0.1793478260869565, 'evidence_f1': 0.2558139534883721, 'similarity_metrics': np.float32(0.8196018), 'contradiction': 0.14319251477718353}"
