e-chain-of-thought,e-persona-human,e-persona-you,baseline,e-implcit-target,e-chat-history
"{'closeness': 0.9739187850775833, 'similarity_metrics': 0.9536511, 'contradiction': 0.20396731793880463, 'evidence_accuracy': 0.6834415584415584, 'evidence_precision': 0.36585365853658536, 'evidence_recall': 0.08152173913043478, 'evidence_f1': 0.13333333333333333, 'crest_accuracy': 0.4117647058823529, 'crest_precision': 0.9, 'crest_recall': 0.045454545454545456, 'crest_f1': 0.08653846153846154}","{'closeness': 0.9924117452985813, 'similarity_metrics': 0.9532746, 'contradiction': 0.12779158353805542, 'evidence_accuracy': 0.6996753246753247, 'evidence_precision': 0.42857142857142855, 'evidence_recall': 0.016304347826086956, 'evidence_f1': 0.031413612565445025, 'crest_accuracy': 0.4086687306501548, 'crest_precision': 1.0, 'crest_recall': 0.03535353535353535, 'crest_f1': 0.06829268292682927}","{'closeness': 0.9055793991416309, 'similarity_metrics': 0.94655347, 'contradiction': 0.12779158353805542, 'evidence_accuracy': 0.637987012987013, 'evidence_precision': 0.22535211267605634, 'evidence_recall': 0.08695652173913043, 'evidence_f1': 0.12549019607843137, 'crest_accuracy': 0.4024767801857585, 'crest_precision': 0.6666666666666666, 'crest_recall': 0.050505050505050504, 'crest_f1': 0.09389671361502348}","{'closeness': 0.9055793991416309, 'similarity_metrics': 0.94655347, 'contradiction': 0.12779158353805542, 'evidence_accuracy': 0.637987012987013, 'evidence_precision': 0.22535211267605634, 'evidence_recall': 0.08695652173913043, 'evidence_f1': 0.12549019607843137, 'crest_accuracy': 0.4024767801857585, 'crest_precision': 0.6666666666666666, 'crest_recall': 0.050505050505050504, 'crest_f1': 0.09389671361502348}","{'closeness': 0.993397160779135, 'similarity_metrics': 0.9976261, 'contradiction': 0.9509093165397644, 'evidence_accuracy': 0.7045454545454546, 'evidence_precision': 0.75, 'evidence_recall': 0.016304347826086956, 'evidence_f1': 0.031914893617021274, 'crest_accuracy': 0.4024767801857585, 'crest_precision': 1.0, 'crest_recall': 0.025252525252525252, 'crest_f1': 0.04926108374384236}","{'closeness': 0.9224166391548366, 'similarity_metrics': 0.9907436, 'contradiction': 0.9496632218360901, 'evidence_accuracy': 0.6412337662337663, 'evidence_precision': 0.2597402597402597, 'evidence_recall': 0.10869565217391304, 'evidence_f1': 0.15325670498084293, 'crest_accuracy': 0.4086687306501548, 'crest_precision': 0.8888888888888888, 'crest_recall': 0.04040404040404041, 'crest_f1': 0.07729468599033817}"
"{'closeness': 0.8558062740781508, 'similarity_metrics': 0.9387038, 'contradiction': 0.992088794708252, 'evidence_accuracy': 0.5314136125654451, 'evidence_precision': 0.36683417085427134, 'evidence_recall': 0.5793650793650794, 'evidence_f1': 0.4492307692307692, 'crest_accuracy': 0.5314465408805031, 'crest_precision': 0.6918238993710691, 'crest_recall': 0.5238095238095238, 'crest_f1': 0.5962059620596206}","{'closeness': 0.7022564667033572, 'similarity_metrics': 0.89590406, 'contradiction': 0.9905851483345032, 'evidence_accuracy': 0.7486910994764397, 'evidence_precision': 0.6363636363636364, 'evidence_recall': 0.5555555555555556, 'evidence_f1': 0.5932203389830508, 'crest_accuracy': 0.5471698113207547, 'crest_precision': 0.8928571428571429, 'crest_recall': 0.35714285714285715, 'crest_f1': 0.5102040816326532}","{'closeness': 0.7066593285635663, 'similarity_metrics': 0.93392366, 'contradiction': 0.9943493008613586, 'evidence_accuracy': 0.6544502617801047, 'evidence_precision': 0.475, 'evidence_recall': 0.4523809523809524, 'evidence_f1': 0.46341463414634143, 'crest_accuracy': 0.5157232704402516, 'crest_precision': 0.7857142857142857, 'crest_recall': 0.36666666666666664, 'crest_f1': 0.5}","{'closeness': 0.7490368739680793, 'similarity_metrics': 0.9025349, 'contradiction': 0.9896388053894043, 'evidence_accuracy': 0.7277486910994765, 'evidence_precision': 0.61, 'evidence_recall': 0.48412698412698413, 'evidence_f1': 0.5398230088495576, 'crest_accuracy': 0.5220125786163522, 'crest_precision': 0.8918918918918919, 'crest_recall': 0.3142857142857143, 'crest_f1': 0.4647887323943662}","{'closeness': 0.8123280132085856, 'similarity_metrics': 0.93734974, 'contradiction': 0.9903663396835327, 'evidence_accuracy': 0.6387434554973822, 'evidence_precision': 0.43023255813953487, 'evidence_recall': 0.29365079365079366, 'evidence_f1': 0.34905660377358494, 'crest_accuracy': 0.5031446540880503, 'crest_precision': 0.8714285714285714, 'crest_recall': 0.2904761904761905, 'crest_f1': 0.4357142857142857}","{'closeness': 0.8106769400110072, 'similarity_metrics': 0.9346961, 'contradiction': 0.9884428381919861, 'evidence_accuracy': 0.5602094240837696, 'evidence_precision': 0.39603960396039606, 'evidence_recall': 0.6349206349206349, 'evidence_f1': 0.4878048780487806, 'crest_accuracy': 0.5377358490566038, 'crest_precision': 0.6956521739130435, 'crest_recall': 0.5333333333333333, 'crest_f1': 0.6037735849056605}"
"{'closeness': 0.00802692905230451, 'similarity_metrics': 0.16272417, 'contradiction': 0.03944975137710571, 'evidence_accuracy': 0.3704156479217604, 'evidence_precision': 0.3704156479217604, 'evidence_recall': 1.0, 'evidence_f1': 0.5405887600356825, 'crest_accuracy': 0.5756756756756757, 'crest_precision': 0.5756756756756757, 'crest_recall': 1.0, 'crest_f1': 0.7307032590051458}","{'closeness': 0.9896533885152613, 'similarity_metrics': 0.9385033, 'contradiction': 0.8294334411621094, 'evidence_accuracy': 0.6308068459657702, 'evidence_precision': 0.5454545454545454, 'evidence_recall': 0.019801980198019802, 'evidence_f1': 0.03821656050955414, 'crest_accuracy': 0.44324324324324327, 'crest_precision': 0.8181818181818182, 'crest_recall': 0.04225352112676056, 'crest_f1': 0.08035714285714285}","{'closeness': 0.9427757638529259, 'similarity_metrics': 0.93039894, 'contradiction': 0.8875932097434998, 'evidence_accuracy': 0.6491442542787286, 'evidence_precision': 0.625, 'evidence_recall': 0.132013201320132, 'evidence_f1': 0.21798365122615804, 'crest_accuracy': 0.4702702702702703, 'crest_precision': 0.7931034482758621, 'crest_recall': 0.107981220657277, 'crest_f1': 0.19008264462809918}","{'closeness': 0.9435525634386328, 'similarity_metrics': 0.9253835, 'contradiction': 0.8294334411621094, 'evidence_accuracy': 0.6479217603911981, 'evidence_precision': 0.6415094339622641, 'evidence_recall': 0.11221122112211221, 'evidence_f1': 0.19101123595505617, 'crest_accuracy': 0.4594594594594595, 'crest_precision': 0.76, 'crest_recall': 0.0892018779342723, 'crest_f1': 0.15966386554621848}","{'closeness': 0.9158467115484206, 'similarity_metrics': 0.9093716, 'contradiction': 0.8777987360954285, 'evidence_accuracy': 0.6540342298288508, 'evidence_precision': 0.625, 'evidence_recall': 0.16501650165016502, 'evidence_f1': 0.2610966057441253, 'crest_accuracy': 0.4648648648648649, 'crest_precision': 0.7777777777777778, 'crest_recall': 0.09859154929577464, 'crest_f1': 0.175}","{'closeness': 0.8738995339202486, 'similarity_metrics': 0.8756293, 'contradiction': 0.9429198503494263, 'evidence_accuracy': 0.5403422982885085, 'evidence_precision': 0.39296187683284456, 'evidence_recall': 0.44224422442244227, 'evidence_f1': 0.4161490683229813, 'crest_accuracy': 0.5351351351351351, 'crest_precision': 0.6289308176100629, 'crest_recall': 0.4694835680751174, 'crest_f1': 0.5376344086021505}"
"{'closeness': 0.9606253618992473, 'similarity_metrics': 0.9966943, 'contradiction': 0.9671712517738342, 'evidence_accuracy': 0.4789915966386555, 'evidence_precision': 0.8666666666666667, 'evidence_recall': 0.06598984771573604, 'evidence_f1': 0.12264150943396228, 'crest_accuracy': 0.4257703081232493, 'crest_precision': 0.8666666666666667, 'crest_recall': 0.06018518518518518, 'crest_f1': 0.11255411255411255}","{'closeness': 0.882798833819242, 'similarity_metrics': 0.9806552, 'contradiction': 0.920226514339447, 'evidence_accuracy': 0.484593837535014, 'evidence_precision': 0.6101694915254238, 'evidence_recall': 0.18274111675126903, 'evidence_f1': 0.28125, 'crest_accuracy': 0.48179271708683474, 'crest_precision': 0.7627118644067796, 'crest_recall': 0.20833333333333334, 'crest_f1': 0.32727272727272727}","{'closeness': 0.8565597667638484, 'similarity_metrics': 0.96609867, 'contradiction': 0.9084988832473755, 'evidence_accuracy': 0.4789915966386555, 'evidence_precision': 0.5753424657534246, 'evidence_recall': 0.2131979695431472, 'evidence_f1': 0.3111111111111111, 'crest_accuracy': 0.49299719887955185, 'crest_precision': 0.7397260273972602, 'crest_recall': 0.25, 'crest_f1': 0.3737024221453287}","{'closeness': 0.8746355685131195, 'similarity_metrics': 0.97651863, 'contradiction': 0.9587581157684326, 'evidence_accuracy': 0.47619047619047616, 'evidence_precision': 0.5806451612903226, 'evidence_recall': 0.18274111675126903, 'evidence_f1': 0.277992277992278, 'crest_accuracy': 0.4789915966386555, 'crest_precision': 0.7419354838709677, 'crest_recall': 0.21296296296296297, 'crest_f1': 0.33093525179856115}","{'closeness': 0.7189504373177842, 'similarity_metrics': 0.9368179, 'contradiction': 0.39408883452415466, 'evidence_accuracy': 0.4565826330532213, 'evidence_precision': 0.5089820359281437, 'evidence_recall': 0.43147208121827413, 'evidence_f1': 0.46703296703296704, 'crest_accuracy': 0.5154061624649859, 'crest_precision': 0.6287425149700598, 'crest_recall': 0.4861111111111111, 'crest_f1': 0.5483028720626631}","{'closeness': 0.8600583090379008, 'similarity_metrics': 0.973995, 'contradiction': 0.8496981859207153, 'evidence_accuracy': 0.5518207282913166, 'evidence_precision': 0.8135593220338984, 'evidence_recall': 0.2436548223350254, 'evidence_f1': 0.375, 'crest_accuracy': 0.4425770308123249, 'crest_precision': 0.6440677966101694, 'crest_recall': 0.17592592592592593, 'crest_f1': 0.27636363636363637}"
"{'closeness': 0.9813559322033898, 'similarity_metrics': 0.99482274, 'contradiction': 0.9365364909172058, 'evidence_accuracy': 0.6956521739130435, 'evidence_precision': 1.0, 'evidence_recall': 0.125, 'evidence_f1': 0.2222222222222222, 'crest_accuracy': 0.4743083003952569, 'crest_precision': 0.7272727272727273, 'crest_recall': 0.057971014492753624, 'crest_f1': 0.10738255033557047}","{'closeness': 0.7279661016949153, 'similarity_metrics': 0.966716, 'contradiction': 0.9852104783058167, 'evidence_accuracy': 0.7351778656126482, 'evidence_precision': 0.6615384615384615, 'evidence_recall': 0.48863636363636365, 'evidence_f1': 0.5620915032679739, 'crest_accuracy': 0.549407114624506, 'crest_precision': 0.6875, 'crest_recall': 0.3188405797101449, 'crest_f1': 0.43564356435643553}","{'closeness': 0.7322033898305085, 'similarity_metrics': 0.96479267, 'contradiction': 0.9858477115631104, 'evidence_accuracy': 0.7391304347826086, 'evidence_precision': 0.671875, 'evidence_recall': 0.48863636363636365, 'evidence_f1': 0.5657894736842105, 'crest_accuracy': 0.5454545454545454, 'crest_precision': 0.6825396825396826, 'crest_recall': 0.3115942028985507, 'crest_f1': 0.42786069651741293}","{'closeness': 0.7322033898305085, 'similarity_metrics': 0.96479267, 'contradiction': 0.9858477115631104, 'evidence_accuracy': 0.7391304347826086, 'evidence_precision': 0.671875, 'evidence_recall': 0.48863636363636365, 'evidence_f1': 0.5657894736842105, 'crest_accuracy': 0.5454545454545454, 'crest_precision': 0.6825396825396826, 'crest_recall': 0.3115942028985507, 'crest_f1': 0.42786069651741293}","{'closeness': 0.9923728813559322, 'similarity_metrics': 0.962009, 'contradiction': 0.9346135258674622, 'evidence_accuracy': 0.6561264822134387, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 0.022727272727272728, 'evidence_f1': 0.04395604395604396, 'crest_accuracy': 0.466403162055336, 'crest_precision': 1.0, 'crest_recall': 0.021739130434782608, 'crest_f1': 0.042553191489361694}","{'closeness': 0.8211864406779661, 'similarity_metrics': 0.9423511, 'contradiction': 0.9939699172973633, 'evidence_accuracy': 0.5573122529644269, 'evidence_precision': 0.40476190476190477, 'evidence_recall': 0.5795454545454546, 'evidence_f1': 0.47663551401869164, 'crest_accuracy': 0.5889328063241107, 'crest_precision': 0.6349206349206349, 'crest_recall': 0.5797101449275363, 'crest_f1': 0.6060606060606061}"
"{'closeness': 0.009059029807130359, 'similarity_metrics': 0.1504814, 'contradiction': 0.5469487309455872, 'evidence_accuracy': 0.28251748251748254, 'evidence_precision': 0.28251748251748254, 'evidence_recall': 1.0, 'evidence_f1': 0.44056706652126504, 'crest_accuracy': 0.6238532110091743, 'crest_precision': 0.6238532110091743, 'crest_recall': 1.0, 'crest_f1': 0.768361581920904}","{'closeness': 0.9473991817650497, 'similarity_metrics': 0.99245864, 'contradiction': 0.2687452435493469, 'evidence_accuracy': 0.45594405594405596, 'evidence_precision': 0.22740524781341107, 'evidence_recall': 0.38613861386138615, 'evidence_f1': 0.2862385321100917, 'crest_accuracy': 0.45871559633027525, 'crest_precision': 0.5808383233532934, 'crest_recall': 0.47549019607843135, 'crest_f1': 0.5229110512129379}","{'closeness': 0.9503214494447692, 'similarity_metrics': 0.99245864, 'contradiction': 0.2697641849517822, 'evidence_accuracy': 0.45734265734265733, 'evidence_precision': 0.22485207100591717, 'evidence_recall': 0.37623762376237624, 'evidence_f1': 0.2814814814814815, 'crest_accuracy': 0.4617737003058104, 'crest_precision': 0.5843373493975904, 'crest_recall': 0.47549019607843135, 'crest_f1': 0.5243243243243243}","{'closeness': 0.8712756725484524, 'similarity_metrics': 0.9798697, 'contradiction': 0.9410515427589417, 'evidence_accuracy': 0.7342657342657343, 'evidence_precision': 0.5666666666666667, 'evidence_recall': 0.2524752475247525, 'evidence_f1': 0.34931506849315064, 'crest_accuracy': 0.44954128440366975, 'crest_precision': 0.7727272727272727, 'crest_recall': 0.16666666666666666, 'crest_f1': 0.2741935483870968}","{'closeness': 0.9517825832846288, 'similarity_metrics': 0.99301076, 'contradiction': 0.8007744550704956, 'evidence_accuracy': 0.7328671328671329, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 0.10891089108910891, 'evidence_f1': 0.18723404255319148, 'crest_accuracy': 0.3944954128440367, 'crest_precision': 0.8, 'crest_recall': 0.0392156862745098, 'crest_f1': 0.07476635514018691}","{'closeness': 0.009059029807130359, 'similarity_metrics': 0.1504814, 'contradiction': 0.5469487309455872, 'evidence_accuracy': 0.28251748251748254, 'evidence_precision': 0.28251748251748254, 'evidence_recall': 1.0, 'evidence_f1': 0.44056706652126504, 'crest_accuracy': 0.6238532110091743, 'crest_precision': 0.6238532110091743, 'crest_recall': 1.0, 'crest_f1': 0.768361581920904}"
"{'closeness': 0.9508234217749314, 'similarity_metrics': 0.98251927, 'contradiction': 0.989039421081543, 'evidence_accuracy': 0.7196162046908315, 'evidence_precision': 0.41346153846153844, 'evidence_recall': 0.17551020408163265, 'evidence_f1': 0.24641833810888253, 'crest_accuracy': 0.4576719576719577, 'crest_precision': 0.9230769230769231, 'crest_recall': 0.10572687224669604, 'crest_f1': 0.18972332015810278}","{'closeness': 0.9322964318389753, 'similarity_metrics': 0.9628693, 'contradiction': 0.027773303911089897, 'evidence_accuracy': 0.5213219616204691, 'evidence_precision': 0.23298429319371727, 'evidence_recall': 0.363265306122449, 'evidence_f1': 0.28389154704944175, 'crest_accuracy': 0.4497354497354497, 'crest_precision': 0.5590062111801242, 'crest_recall': 0.3964757709251101, 'crest_f1': 0.46391752577319584}","{'closeness': 0.722323879231473, 'similarity_metrics': 0.8499332, 'contradiction': 0.5748803615570068, 'evidence_accuracy': 0.6695095948827292, 'evidence_precision': 0.37547892720306514, 'evidence_recall': 0.4, 'evidence_f1': 0.3873517786561265, 'crest_accuracy': 0.6375661375661376, 'crest_precision': 0.8, 'crest_recall': 0.5286343612334802, 'crest_f1': 0.6366047745358091}","{'closeness': 0.9000457456541628, 'similarity_metrics': 0.9748031, 'contradiction': 0.04467837139964104, 'evidence_accuracy': 0.5053304904051172, 'evidence_precision': 0.236144578313253, 'evidence_recall': 0.4, 'evidence_f1': 0.296969696969697, 'crest_accuracy': 0.4470899470899471, 'crest_precision': 0.5584415584415584, 'crest_recall': 0.3788546255506608, 'crest_f1': 0.4514435695538058}","{'closeness': 0.6235132662397072, 'similarity_metrics': 0.5575273, 'contradiction': 0.6062595844268799, 'evidence_accuracy': 0.42857142857142855, 'evidence_precision': 0.2424778761061947, 'evidence_recall': 0.5591836734693878, 'evidence_f1': 0.33827160493827163, 'crest_accuracy': 0.46825396825396826, 'crest_precision': 0.5527426160337553, 'crest_recall': 0.5796460176991151, 'crest_f1': 0.5658747300215983}","{'closeness': 0.8865507776761208, 'similarity_metrics': 0.9762178, 'contradiction': 0.353280633687973, 'evidence_accuracy': 0.7388059701492538, 'evidence_precision': 0.5, 'evidence_recall': 0.3469387755102041, 'evidence_f1': 0.4096385542168675, 'crest_accuracy': 0.4656084656084656, 'crest_precision': 0.8205128205128205, 'crest_recall': 0.14096916299559473, 'crest_f1': 0.2406015037593985}"
"{'closeness': 0.00793854033290653, 'similarity_metrics': 0.11541079, 'contradiction': 0.04669378697872162, 'evidence_accuracy': 0.3274932614555256, 'evidence_precision': 0.3274932614555256, 'evidence_recall': 1.0, 'evidence_f1': 0.49340101522842633, 'crest_accuracy': 0.6330532212885154, 'crest_precision': 0.6330532212885154, 'crest_recall': 1.0, 'crest_f1': 0.7753001715265866}","{'closeness': 0.882667345380504, 'similarity_metrics': 0.9950346, 'contradiction': 0.9754235148429871, 'evidence_accuracy': 0.7318059299191375, 'evidence_precision': 0.75, 'evidence_recall': 0.2716049382716049, 'evidence_f1': 0.3987915407854985, 'crest_accuracy': 0.4061624649859944, 'crest_precision': 0.9375, 'crest_recall': 0.06637168141592921, 'crest_f1': 0.12396694214876035}","{'closeness': 0.882667345380504, 'similarity_metrics': 0.9950346, 'contradiction': 0.9754235148429871, 'evidence_accuracy': 0.7318059299191375, 'evidence_precision': 0.75, 'evidence_recall': 0.2716049382716049, 'evidence_f1': 0.3987915407854985, 'crest_accuracy': 0.4061624649859944, 'crest_precision': 0.9375, 'crest_recall': 0.06637168141592921, 'crest_f1': 0.12396694214876035}","{'closeness': 0.879989893885801, 'similarity_metrics': 0.9950346, 'contradiction': 0.9754235148429871, 'evidence_accuracy': 0.7520215633423181, 'evidence_precision': 0.7565217391304347, 'evidence_recall': 0.35802469135802467, 'evidence_f1': 0.48603351955307267, 'crest_accuracy': 0.4061624649859944, 'crest_precision': 0.9375, 'crest_recall': 0.06637168141592921, 'crest_f1': 0.12396694214876035}","{'closeness': 0.9728553137003841, 'similarity_metrics': 0.9952535, 'contradiction': 0.9858018755912781, 'evidence_accuracy': 0.6536388140161725, 'evidence_precision': 0.3055555555555556, 'evidence_recall': 0.04526748971193416, 'evidence_f1': 0.07885304659498207, 'crest_accuracy': 0.37815126050420167, 'crest_precision': 0.5757575757575758, 'crest_recall': 0.08370044052863436, 'crest_f1': 0.14615384615384616}","{'closeness': 0.0, 'similarity_metrics': 0.0034642606, 'contradiction': 0.09074444323778152, 'evidence_accuracy': 0.3274932614555256, 'evidence_precision': 0.3274932614555256, 'evidence_recall': 1.0, 'evidence_f1': 0.49340101522842633, 'crest_accuracy': 0.6330532212885154, 'crest_precision': 0.6330532212885154, 'crest_recall': 1.0, 'crest_f1': 0.7753001715265866}"
"{'closeness': 0.005879006258296959, 'similarity_metrics': 0.1075024, 'contradiction': 0.5004074573516846, 'evidence_accuracy': 0.20398481973434535, 'evidence_precision': 0.20398481973434535, 'evidence_recall': 1.0, 'evidence_f1': 0.338849487785658, 'crest_accuracy': 0.5647668393782384, 'crest_precision': 0.5647668393782384, 'crest_recall': 1.0, 'crest_f1': 0.7218543046357616}","{'closeness': 0.004361843352929995, 'similarity_metrics': 0.11689952, 'contradiction': 0.5236161947250366, 'evidence_accuracy': 0.20398481973434535, 'evidence_precision': 0.20398481973434535, 'evidence_recall': 1.0, 'evidence_f1': 0.338849487785658, 'crest_accuracy': 0.5647668393782384, 'crest_precision': 0.5647668393782384, 'crest_recall': 1.0, 'crest_f1': 0.7218543046357616}","{'closeness': 0.004361843352929995, 'similarity_metrics': 0.11689952, 'contradiction': 0.5236161947250366, 'evidence_accuracy': 0.20398481973434535, 'evidence_precision': 0.20398481973434535, 'evidence_recall': 1.0, 'evidence_f1': 0.338849487785658, 'crest_accuracy': 0.5647668393782384, 'crest_precision': 0.5647668393782384, 'crest_recall': 1.0, 'crest_f1': 0.7218543046357616}","{'closeness': 0.004361843352929995, 'similarity_metrics': 0.11689952, 'contradiction': 0.5236161947250366, 'evidence_accuracy': 0.20398481973434535, 'evidence_precision': 0.20398481973434535, 'evidence_recall': 1.0, 'evidence_f1': 0.338849487785658, 'crest_accuracy': 0.5647668393782384, 'crest_precision': 0.5647668393782384, 'crest_recall': 1.0, 'crest_f1': 0.7218543046357616}","{'closeness': 0.8862127820974777, 'similarity_metrics': 0.9969283, 'contradiction': 0.6327354907989502, 'evidence_accuracy': 0.8045540796963947, 'evidence_precision': 0.5306122448979592, 'evidence_recall': 0.3627906976744186, 'evidence_f1': 0.4309392265193371, 'crest_accuracy': 0.4637305699481865, 'crest_precision': 0.7142857142857143, 'crest_recall': 0.091324200913242, 'crest_f1': 0.16194331983805668}","{'closeness': 0.9514507870282571, 'similarity_metrics': 0.973582, 'contradiction': 0.761145293712616, 'evidence_accuracy': 0.7941176470588235, 'evidence_precision': 0.48214285714285715, 'evidence_recall': 0.12558139534883722, 'evidence_f1': 0.1992619926199262, 'crest_accuracy': 0.4274611398963731, 'crest_precision': 0.45, 'crest_recall': 0.0410958904109589, 'crest_f1': 0.07531380753138076}"
"{'closeness': 0.9938505203405865, 'similarity_metrics': 0.98712283, 'contradiction': 0.8217880725860596, 'evidence_accuracy': 0.5901639344262295, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.40285714285714286, 'crest_precision': 0.75, 'crest_recall': 0.014218009478672985, 'crest_f1': 0.027906976744186043}","{'closeness': 0.8661305581835383, 'similarity_metrics': 0.9846015, 'contradiction': 0.996661901473999, 'evidence_accuracy': 0.5925058548009368, 'evidence_precision': 0.47540983606557374, 'evidence_recall': 0.1695906432748538, 'evidence_f1': 0.24999999999999994, 'crest_accuracy': 0.4342857142857143, 'crest_precision': 0.782608695652174, 'crest_recall': 0.08530805687203792, 'crest_f1': 0.15384615384615385}","{'closeness': 0.908833254605574, 'similarity_metrics': 0.9846015, 'contradiction': 0.996661901473999, 'evidence_accuracy': 0.6229508196721312, 'evidence_precision': 0.625, 'evidence_recall': 0.14619883040935672, 'evidence_f1': 0.23696682464454974, 'crest_accuracy': 0.44, 'crest_precision': 0.8947368421052632, 'crest_recall': 0.08056872037914692, 'crest_f1': 0.14782608695652175}","{'closeness': 0.8732261116367077, 'similarity_metrics': 0.9846015, 'contradiction': 0.996661901473999, 'evidence_accuracy': 0.5831381733021077, 'evidence_precision': 0.43859649122807015, 'evidence_recall': 0.14619883040935672, 'evidence_f1': 0.21929824561403508, 'crest_accuracy': 0.44, 'crest_precision': 0.8947368421052632, 'crest_recall': 0.08056872037914692, 'crest_f1': 0.14782608695652175}","{'closeness': 0.8916745506149479, 'similarity_metrics': 0.9847548, 'contradiction': 0.997310996055603, 'evidence_accuracy': 0.6135831381733021, 'evidence_precision': 0.56, 'evidence_recall': 0.16374269005847952, 'evidence_f1': 0.25339366515837103, 'crest_accuracy': 0.48, 'crest_precision': 0.9393939393939394, 'crest_recall': 0.14691943127962084, 'crest_f1': 0.2540983606557377}","{'closeness': 0.9938505203405865, 'similarity_metrics': 0.9815583, 'contradiction': 0.8440223932266235, 'evidence_accuracy': 0.5901639344262295, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'crest_accuracy': 0.40285714285714286, 'crest_precision': 0.75, 'crest_recall': 0.014218009478672985, 'crest_f1': 0.027906976744186043}"
