texts,labels,predictions,z,normal_text,word_rationales
▁A ▁man ▁in ▁green ▁pants ▁and ▁blue ▁shirt ▁pushing ▁ a ▁cart . </s> ▁A ▁woman ▁is ▁smoking ▁ a ▁ cigarette . </s>,0,0,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",A man in green pants and blue shirt pushing a cart. A woman is smoking a cigarette.,"[0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1]"
▁A ▁man ▁in ▁green ▁pants ▁and ▁blue ▁shirt ▁pushing ▁ a ▁cart . </s> ▁There ▁is ▁ a ▁man ▁wearing ▁cloth s . </s>,1,0,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",A man in green pants and blue shirt pushing a cart. There is a man wearing cloths.,"[0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1]"
▁A ▁beautiful ▁bride ▁walking ▁on ▁ a ▁sidewalk ▁with ▁her ▁new ▁husband . </s> ▁New ly we d s ▁sitting ▁on ▁ a ▁park ▁bench . </s>,0,0,"[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]",A beautiful bride walking on a sidewalk with her new husband. Newlyweds sitting on a park bench.,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1]"
▁A ▁beautiful ▁bride ▁walking ▁on ▁ a ▁sidewalk ▁with ▁her ▁new ▁husband . </s> ▁A ▁couple ▁walks ▁outdoors ▁together . </s>,1,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]",A beautiful bride walking on a sidewalk with her new husband. A couple walks outdoors together.,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1]"
"▁A ▁young ▁man , ▁wearing ▁ a ▁white ▁shirt , ▁prepare s ▁hot dog s ▁on ▁ a ▁small ▁grill . </s> ▁A ▁young ▁man ▁is ▁grill ing ▁fish ▁in ▁his ▁under wear . </s>",0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","A young man, wearing a white shirt, prepares hotdogs on a small grill. A young man is grilling fish in his underwear.","[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1]"
"▁A ▁young ▁man , ▁wearing ▁ a ▁white ▁shirt , ▁prepare s ▁hot dog s ▁on ▁ a ▁small ▁grill . </s> ▁A ▁young ▁man ▁is ▁grill ing ▁food . </s>",1,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]","A young man, wearing a white shirt, prepares hotdogs on a small grill. A young man is grilling food.","[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1]"
▁A ▁man ▁playing ▁an ▁electric ▁guitar ▁on ▁stage . </s> ▁A ▁man ▁playing ▁ban jo ▁on ▁the ▁floor . </s>,0,0,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]",A man playing an electric guitar on stage. A man playing banjo on the floor.,"[0, 0, 0, 0, 1, 1, 0, 1]"
▁A ▁man ▁playing ▁an ▁electric ▁guitar ▁on ▁stage . </s> ▁A ▁man ▁playing ▁guitar ▁on ▁stage . </s>,1,0,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]",A man playing an electric guitar on stage. A man playing guitar on stage.,"[0, 0, 0, 1, 1, 0, 0, 1]"
▁ a ▁boy ▁in ▁ a ▁be ige ▁shirt ▁is ▁sleeping ▁in ▁ a ▁car . </s> ▁A ▁ gir a ffe ▁is ▁on ▁ a ▁chair </s>,0,0,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",a boy in a beige shirt is sleeping in a car. A giraffe is on a chair,"[0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1]"
▁ a ▁boy ▁in ▁ a ▁be ige ▁shirt ▁is ▁sleeping ▁in ▁ a ▁car . </s> ▁A ▁person ▁is ▁in ▁ a ▁vehicle </s>,1,1,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",a boy in a beige shirt is sleeping in a car. A person is in a vehicle,"[0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1]"
▁Fire men ▁stand ▁outside ▁of ▁their ▁fire truck ▁with ▁all ▁its ▁lights ▁on . </s> ▁Police men ▁stand ▁outside ▁of ▁their ▁fire truck ▁with ▁all ▁its ▁lights ▁on . </s>,0,0,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",Firemen stand outside of their firetruck with all its lights on. Policemen stand outside of their firetruck with all its lights on.,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
▁Fire men ▁stand ▁outside ▁of ▁their ▁fire truck ▁with ▁all ▁its ▁lights ▁on . </s> ▁People ▁stand ▁outside ▁of ▁their ▁fire truck ▁with ▁all ▁its ▁lights ▁on . </s>,1,0,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]",Firemen stand outside of their firetruck with all its lights on. People stand outside of their firetruck with all its lights on.,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
▁A ▁man ▁ laying ▁down ▁in ▁middle ▁of ▁street ▁during ▁heavy ▁traffic . </s> ▁The ▁traffic ▁was ▁not ▁to ▁bad ▁today ▁the ▁guy ▁made ▁it ▁home ▁early ▁and ▁took ▁ a ▁nap . </s>,0,0,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",A man laying down in middle of street during heavy traffic. The traffic was not to bad today the guy made it home early and took a nap.,"[0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0]"
▁A ▁man ▁ laying ▁down ▁in ▁middle ▁of ▁street ▁during ▁heavy ▁traffic . </s> ▁A ▁person ▁has ▁lost ▁it ▁by ▁ laying ▁down ▁in ▁ a ▁busy ▁street ▁while ▁there ▁is ▁bad ▁traffic . </s>,1,0,"[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]",A man laying down in middle of street during heavy traffic. A person has lost it by laying down in a busy street while there is bad traffic.,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0]"
▁A ▁girl ▁play fully ▁kick s ▁ a ▁guy ▁in ▁the ▁face ▁while ▁another ▁person ▁makes ▁faces . </s> ▁The ▁boy ▁is ▁at ▁ a ▁box ing ▁match . </s>,0,0,"[0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]",A girl playfully kicks a guy in the face while another person makes faces. The boy is at a boxing match.,"[0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]"
▁A ▁girl ▁play fully ▁kick s ▁ a ▁guy ▁in ▁the ▁face ▁while ▁another ▁person ▁makes ▁faces . </s> ▁A ▁girl ▁is ▁play ▁fighting . </s>,1,0,"[0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",A girl playfully kicks a guy in the face while another person makes faces. A girl is play fighting.,"[0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1]"
▁A ▁brown ▁dog ▁plays ▁in ▁ a ▁deep ▁pile ▁of ▁snow . </s> ▁A ▁brown ▁dog ▁is ▁running ▁down ▁the ▁road ▁ chasing ▁the ▁mail man </s>,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]",A brown dog plays in a deep pile of snow. A brown dog is running down the road chasing the mailman,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1]"
▁A ▁brown ▁dog ▁plays ▁in ▁ a ▁deep ▁pile ▁of ▁snow . </s> ▁A ▁brown ▁dog ▁plays ▁in ▁snow </s>,1,0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",A brown dog plays in a deep pile of snow. A brown dog plays in snow,"[0, 0, 0, 0, 1, 1, 1, 1, 0, 1]"
