baseline,e-implcit-target,e-chain-of-thought,e-persona-human,e-chat-history,e-persona-you
"{'closeness': 0.950808847804556, 'similarity_metrics': 0.9919902, 'contradiction': 0.9813357591629028, 'evidence_accuracy': 0.48214285714285715, 'evidence_precision': 0.21991701244813278, 'evidence_recall': 0.28804347826086957, 'evidence_f1': 0.2494117647058824, 'crest_accuracy': 0.5479876160990712, 'crest_precision': 0.6917293233082706, 'crest_recall': 0.467005076142132, 'crest_f1': 0.5575757575757575}","{'closeness': 0.8303070320237702, 'similarity_metrics': 0.9780097, 'contradiction': 0.9953134059906006, 'evidence_accuracy': 0.4431818181818182, 'evidence_precision': 0.22105263157894736, 'evidence_recall': 0.3423913043478261, 'evidence_f1': 0.26865671641791045, 'crest_accuracy': 0.5820433436532507, 'crest_precision': 0.6845238095238095, 'crest_recall': 0.583756345177665, 'crest_f1': 0.6301369863013698}","{'closeness': 0.9138329481677121, 'similarity_metrics': 0.9917457, 'contradiction': 0.9537636637687683, 'evidence_accuracy': 0.6558441558441559, 'evidence_precision': 0.25, 'evidence_recall': 0.07608695652173914, 'evidence_f1': 0.11666666666666667, 'crest_accuracy': 0.4055727554179567, 'crest_precision': 1.0, 'crest_recall': 0.030303030303030304, 'crest_f1': 0.05882352941176471}","{'closeness': 0.9293496203367448, 'similarity_metrics': 0.98908186, 'contradiction': 0.9831621646881104, 'evidence_accuracy': 0.4837662337662338, 'evidence_precision': 0.23412698412698413, 'evidence_recall': 0.32065217391304346, 'evidence_f1': 0.2706422018348624, 'crest_accuracy': 0.5696594427244582, 'crest_precision': 0.7071428571428572, 'crest_recall': 0.5025380710659898, 'crest_f1': 0.5875370919881305}","{'closeness': 0.8788379002971277, 'similarity_metrics': 0.9691242, 'contradiction': 0.9644227623939514, 'evidence_accuracy': 0.6217532467532467, 'evidence_precision': 0.21176470588235294, 'evidence_recall': 0.09782608695652174, 'evidence_f1': 0.1338289962825279, 'crest_accuracy': 0.4024767801857585, 'crest_precision': 0.625, 'crest_recall': 0.050761421319796954, 'crest_f1': 0.09389671361502346}","{'closeness': 0.933641465830307, 'similarity_metrics': 0.99043703, 'contradiction': 0.9813357591629028, 'evidence_accuracy': 0.48214285714285715, 'evidence_precision': 0.23107569721115537, 'evidence_recall': 0.31521739130434784, 'evidence_f1': 0.26666666666666666, 'crest_accuracy': 0.56656346749226, 'crest_precision': 0.7050359712230215, 'crest_recall': 0.49746192893401014, 'crest_f1': 0.5833333333333333}"
"{'closeness': 0.2526141992294991, 'similarity_metrics': 0.7560183, 'contradiction': 0.9306745529174805, 'evidence_accuracy': 0.3219895287958115, 'evidence_precision': 0.3072463768115942, 'evidence_recall': 0.8412698412698413, 'evidence_f1': 0.45010615711252655, 'crest_accuracy': 0.5754716981132075, 'crest_precision': 0.6334519572953736, 'crest_recall': 0.8476190476190476, 'crest_f1': 0.725050916496945}","{'closeness': 0.662630709961475, 'similarity_metrics': 0.7740109, 'contradiction': 0.9461851716041565, 'evidence_accuracy': 0.6518324607329843, 'evidence_precision': 0.47368421052631576, 'evidence_recall': 0.5, 'evidence_f1': 0.4864864864864865, 'crest_accuracy': 0.5786163522012578, 'crest_precision': 0.8064516129032258, 'crest_recall': 0.47619047619047616, 'crest_f1': 0.5988023952095808}","{'closeness': 0.880022014309301, 'similarity_metrics': 0.9384363, 'contradiction': 0.991295576095581, 'evidence_accuracy': 0.4973821989528796, 'evidence_precision': 0.328125, 'evidence_recall': 0.5, 'evidence_f1': 0.39622641509433965, 'crest_accuracy': 0.5345911949685535, 'crest_precision': 0.6890243902439024, 'crest_recall': 0.5380952380952381, 'crest_f1': 0.6042780748663101}","{'closeness': 0.2526141992294991, 'similarity_metrics': 0.74219555, 'contradiction': 0.9267957210540771, 'evidence_accuracy': 0.3219895287958115, 'evidence_precision': 0.30498533724340177, 'evidence_recall': 0.8253968253968254, 'evidence_f1': 0.44539614561027835, 'crest_accuracy': 0.5691823899371069, 'crest_precision': 0.631768953068592, 'crest_recall': 0.8333333333333334, 'crest_f1': 0.7186858316221766}","{'closeness': 0.4237754540451293, 'similarity_metrics': 0.65537596, 'contradiction': 0.74947190284729, 'evidence_accuracy': 0.28272251308900526, 'evidence_precision': 0.23943661971830985, 'evidence_recall': 0.5396825396825397, 'evidence_f1': 0.3317073170731707, 'crest_accuracy': 0.5283018867924528, 'crest_precision': 0.6171875, 'crest_recall': 0.7523809523809524, 'crest_f1': 0.6781115879828326}","{'closeness': 0.40286186020913595, 'similarity_metrics': 0.6514088, 'contradiction': 0.6699275970458984, 'evidence_accuracy': 0.28272251308900526, 'evidence_precision': 0.2516778523489933, 'evidence_recall': 0.5952380952380952, 'evidence_f1': 0.3537735849056604, 'crest_accuracy': 0.5691823899371069, 'crest_precision': 0.6346863468634686, 'crest_recall': 0.819047619047619, 'crest_f1': 0.715176715176715}"
"{'closeness': 0.8213360952874158, 'similarity_metrics': 0.90952784, 'contradiction': 0.9108245968818665, 'evidence_accuracy': 0.5440097799511002, 'evidence_precision': 0.41379310344827586, 'evidence_recall': 0.5544554455445545, 'evidence_f1': 0.4739069111424542, 'crest_accuracy': 0.572972972972973, 'crest_precision': 0.6424870466321243, 'crest_recall': 0.5821596244131455, 'crest_f1': 0.6108374384236452}","{'closeness': 0.8047643707923355, 'similarity_metrics': 0.8799752, 'contradiction': 0.9754195213317871, 'evidence_accuracy': 0.5403422982885085, 'evidence_precision': 0.41247002398081534, 'evidence_recall': 0.5676567656765676, 'evidence_f1': 0.47777777777777775, 'crest_accuracy': 0.5702702702702702, 'crest_precision': 0.6391752577319587, 'crest_recall': 0.5821596244131455, 'crest_f1': 0.6093366093366094}","{'closeness': 0.9282755049197307, 'similarity_metrics': 0.912334, 'contradiction': 0.9500364661216736, 'evidence_accuracy': 0.6650366748166259, 'evidence_precision': 0.704225352112676, 'evidence_recall': 0.16501650165016502, 'evidence_f1': 0.26737967914438504, 'crest_accuracy': 0.4837837837837838, 'crest_precision': 0.84375, 'crest_recall': 0.1267605633802817, 'crest_f1': 0.2204081632653061}","{'closeness': 0.8161574313827032, 'similarity_metrics': 0.93464136, 'contradiction': 0.8055679798126221, 'evidence_accuracy': 0.530562347188264, 'evidence_precision': 0.4033412887828162, 'evidence_recall': 0.5577557755775577, 'evidence_f1': 0.4681440443213296, 'crest_accuracy': 0.5432432432432432, 'crest_precision': 0.6122448979591837, 'crest_recall': 0.5633802816901409, 'crest_f1': 0.5867970660146701}","{'closeness': 0.2871569135163128, 'similarity_metrics': 0.7895242, 'contradiction': 0.9606641530990601, 'evidence_accuracy': 0.4132029339853301, 'evidence_precision': 0.3779310344827586, 'evidence_recall': 0.9042904290429042, 'evidence_f1': 0.5330739299610895, 'crest_accuracy': 0.5675675675675675, 'crest_precision': 0.5880398671096345, 'crest_recall': 0.8309859154929577, 'crest_f1': 0.688715953307393}","{'closeness': 0.8581046090108753, 'similarity_metrics': 0.93274784, 'contradiction': 0.8055679798126221, 'evidence_accuracy': 0.5415647921760391, 'evidence_precision': 0.4076923076923077, 'evidence_recall': 0.5247524752475248, 'evidence_f1': 0.4588744588744589, 'crest_accuracy': 0.5432432432432432, 'crest_precision': 0.6122448979591837, 'crest_recall': 0.5633802816901409, 'crest_f1': 0.5867970660146701}"
"{'closeness': 0.7236151603498542, 'similarity_metrics': 0.9686054, 'contradiction': 0.9811129570007324, 'evidence_accuracy': 0.49859943977591037, 'evidence_precision': 0.545, 'evidence_recall': 0.5532994923857868, 'evidence_f1': 0.54911838790932, 'crest_accuracy': 0.5518207282913166, 'crest_precision': 0.64, 'crest_recall': 0.5925925925925926, 'crest_f1': 0.6153846153846153}","{'closeness': 0.5323615160349855, 'similarity_metrics': 0.9742054, 'contradiction': 0.8908754587173462, 'evidence_accuracy': 0.5238095238095238, 'evidence_precision': 0.5533596837944664, 'evidence_recall': 0.7106598984771574, 'evidence_f1': 0.6222222222222222, 'crest_accuracy': 0.6274509803921569, 'crest_precision': 0.6640316205533597, 'crest_recall': 0.7777777777777778, 'crest_f1': 0.7164179104477613}","{'closeness': 0.8192419825072886, 'similarity_metrics': 0.9785229, 'contradiction': 0.6995375156402588, 'evidence_accuracy': 0.49019607843137253, 'evidence_precision': 0.543859649122807, 'evidence_recall': 0.4720812182741117, 'evidence_f1': 0.5054347826086957, 'crest_accuracy': 0.5378151260504201, 'crest_precision': 0.6491228070175439, 'crest_recall': 0.5138888888888888, 'crest_f1': 0.5736434108527132}","{'closeness': 0.5341107871720117, 'similarity_metrics': 0.9676095, 'contradiction': 0.29142335057258606, 'evidence_accuracy': 0.5434173669467787, 'evidence_precision': 0.5639097744360902, 'evidence_recall': 0.7614213197969543, 'evidence_f1': 0.6479481641468683, 'crest_accuracy': 0.5910364145658263, 'crest_precision': 0.631578947368421, 'crest_recall': 0.7777777777777778, 'crest_f1': 0.6970954356846473}","{'closeness': 0.46355685131195334, 'similarity_metrics': 0.96543217, 'contradiction': 0.9753167629241943, 'evidence_accuracy': 0.5294117647058824, 'evidence_precision': 0.5555555555555556, 'evidence_recall': 0.7360406091370558, 'evidence_f1': 0.6331877729257643, 'crest_accuracy': 0.6050420168067226, 'crest_precision': 0.6436781609195402, 'crest_recall': 0.7777777777777778, 'crest_f1': 0.7044025157232704}","{'closeness': 0.5743440233236152, 'similarity_metrics': 0.96039855, 'contradiction': 0.7552575469017029, 'evidence_accuracy': 0.5014005602240896, 'evidence_precision': 0.5378486055776892, 'evidence_recall': 0.6852791878172588, 'evidence_f1': 0.6026785714285714, 'crest_accuracy': 0.5770308123249299, 'crest_precision': 0.6294820717131474, 'crest_recall': 0.7314814814814815, 'crest_f1': 0.6766595289079229}"
"{'closeness': 0.8550847457627119, 'similarity_metrics': 0.9650582, 'contradiction': 0.994536280632019, 'evidence_accuracy': 0.5454545454545454, 'evidence_precision': 0.3865546218487395, 'evidence_recall': 0.5227272727272727, 'evidence_f1': 0.4444444444444445, 'crest_accuracy': 0.5533596837944664, 'crest_precision': 0.6050420168067226, 'crest_recall': 0.5217391304347826, 'crest_f1': 0.5603112840466925}","{'closeness': 0.7754237288135593, 'similarity_metrics': 0.95599496, 'contradiction': 0.996619701385498, 'evidence_accuracy': 0.5928853754940712, 'evidence_precision': 0.44274809160305345, 'evidence_recall': 0.6590909090909091, 'evidence_f1': 0.5296803652968037, 'crest_accuracy': 0.6007905138339921, 'crest_precision': 0.6412213740458015, 'crest_recall': 0.6086956521739131, 'crest_f1': 0.62453531598513}","{'closeness': 0.8711864406779661, 'similarity_metrics': 0.9672237, 'contradiction': 0.9944736361503601, 'evidence_accuracy': 0.758893280632411, 'evidence_precision': 0.7755102040816326, 'evidence_recall': 0.4318181818181818, 'evidence_f1': 0.5547445255474452, 'crest_accuracy': 0.5612648221343873, 'crest_precision': 0.7755102040816326, 'crest_recall': 0.2753623188405797, 'crest_f1': 0.40641711229946526}","{'closeness': 0.8542372881355932, 'similarity_metrics': 0.96483874, 'contradiction': 0.9949028491973877, 'evidence_accuracy': 0.5454545454545454, 'evidence_precision': 0.3865546218487395, 'evidence_recall': 0.5227272727272727, 'evidence_f1': 0.4444444444444445, 'crest_accuracy': 0.5533596837944664, 'crest_precision': 0.6050420168067226, 'crest_recall': 0.5217391304347826, 'crest_f1': 0.5603112840466925}","{'closeness': 0.7728813559322034, 'similarity_metrics': 0.95768136, 'contradiction': 0.9944433569908142, 'evidence_accuracy': 0.6284584980237155, 'evidence_precision': 0.475, 'evidence_recall': 0.6477272727272727, 'evidence_f1': 0.548076923076923, 'crest_accuracy': 0.6363636363636364, 'crest_precision': 0.6916666666666667, 'crest_recall': 0.6014492753623188, 'crest_f1': 0.6434108527131782}","{'closeness': 0.8593220338983051, 'similarity_metrics': 0.9697884, 'contradiction': 0.9943102598190308, 'evidence_accuracy': 0.5454545454545454, 'evidence_precision': 0.3865546218487395, 'evidence_recall': 0.5227272727272727, 'evidence_f1': 0.4444444444444445, 'crest_accuracy': 0.5533596837944664, 'crest_precision': 0.6050420168067226, 'crest_recall': 0.5217391304347826, 'crest_f1': 0.5603112840466925}"
"{'closeness': 0.6247808299240211, 'similarity_metrics': 0.94971436, 'contradiction': 0.9700701832771301, 'evidence_accuracy': 0.5300699300699301, 'evidence_precision': 0.3449074074074074, 'evidence_recall': 0.7376237623762376, 'evidence_f1': 0.4700315457413249, 'crest_accuracy': 0.5290519877675841, 'crest_precision': 0.6645161290322581, 'crest_recall': 0.5024390243902439, 'crest_f1': 0.5722222222222223}","{'closeness': 0.009059029807130359, 'similarity_metrics': 0.1504814, 'contradiction': 0.5469487309455872, 'evidence_accuracy': 0.28251748251748254, 'evidence_precision': 0.28251748251748254, 'evidence_recall': 1.0, 'evidence_f1': 0.44056706652126504, 'crest_accuracy': 0.6238532110091743, 'crest_precision': 0.6238532110091743, 'crest_recall': 1.0, 'crest_f1': 0.768361581920904}","{'closeness': 0.9114552893045003, 'similarity_metrics': 0.9927548, 'contradiction': 0.9756118059158325, 'evidence_accuracy': 0.48391608391608393, 'evidence_precision': 0.26740947075208915, 'evidence_recall': 0.4752475247524752, 'evidence_f1': 0.34224598930481287, 'crest_accuracy': 0.4954128440366973, 'crest_precision': 0.6176470588235294, 'crest_recall': 0.5121951219512195, 'crest_f1': 0.56}","{'closeness': 0.8389830508474576, 'similarity_metrics': 0.9513214, 'contradiction': 0.9913888573646545, 'evidence_accuracy': 0.4825174825174825, 'evidence_precision': 0.2868020304568528, 'evidence_recall': 0.5594059405940595, 'evidence_f1': 0.3791946308724833, 'crest_accuracy': 0.5137614678899083, 'crest_precision': 0.6229508196721312, 'crest_recall': 0.5588235294117647, 'crest_f1': 0.5891472868217055}","{'closeness': 0.5774400935125658, 'similarity_metrics': 0.9252194, 'contradiction': 0.9261860847473145, 'evidence_accuracy': 0.4811188811188811, 'evidence_precision': 0.3264887063655031, 'evidence_recall': 0.7871287128712872, 'evidence_f1': 0.46153846153846156, 'crest_accuracy': 0.5535168195718655, 'crest_precision': 0.6559139784946236, 'crest_recall': 0.5980392156862745, 'crest_f1': 0.6256410256410256}","{'closeness': 0.9050263004091175, 'similarity_metrics': 0.9947097, 'contradiction': 0.9881094098091125, 'evidence_accuracy': 0.5608391608391609, 'evidence_precision': 0.31208053691275167, 'evidence_recall': 0.4603960396039604, 'evidence_f1': 0.372, 'crest_accuracy': 0.4984709480122324, 'crest_precision': 0.6541353383458647, 'crest_recall': 0.424390243902439, 'crest_f1': 0.514792899408284}"
"{'closeness': 0.9448764867337602, 'similarity_metrics': 0.9621623, 'contradiction': 0.03104162961244583, 'evidence_accuracy': 0.7238805970149254, 'evidence_precision': 0.375, 'evidence_recall': 0.08571428571428572, 'evidence_f1': 0.1395348837209302, 'crest_accuracy': 0.3835978835978836, 'crest_precision': 0.3333333333333333, 'crest_recall': 0.02643171806167401, 'crest_f1': 0.04897959183673469}","{'closeness': 0.9149130832570905, 'similarity_metrics': 0.9794182, 'contradiction': 0.9972277283668518, 'evidence_accuracy': 0.5746268656716418, 'evidence_precision': 0.2680722891566265, 'evidence_recall': 0.363265306122449, 'evidence_f1': 0.30849220103986136, 'crest_accuracy': 0.5211640211640212, 'crest_precision': 0.6796875, 'crest_recall': 0.3832599118942731, 'crest_f1': 0.4901408450704225}","{'closeness': 0.9265782250686185, 'similarity_metrics': 0.98082805, 'contradiction': 0.13551582396030426, 'evidence_accuracy': 0.753731343283582, 'evidence_precision': 0.5897435897435898, 'evidence_recall': 0.18775510204081633, 'evidence_f1': 0.2848297213622291, 'crest_accuracy': 0.41798941798941797, 'crest_precision': 0.7333333333333333, 'crest_recall': 0.048458149779735685, 'crest_f1': 0.0909090909090909}","{'closeness': 0.9343549862763038, 'similarity_metrics': 0.9603142, 'contradiction': 0.03104162961244583, 'evidence_accuracy': 0.7302771855010661, 'evidence_precision': 0.44594594594594594, 'evidence_recall': 0.1346938775510204, 'evidence_f1': 0.20689655172413796, 'crest_accuracy': 0.373015873015873, 'crest_precision': 0.2727272727272727, 'crest_recall': 0.02643171806167401, 'crest_f1': 0.04819277108433735}","{'closeness': 0.9403019213174748, 'similarity_metrics': 0.985344, 'contradiction': 0.25455519556999207, 'evidence_accuracy': 0.767590618336887, 'evidence_precision': 0.7076923076923077, 'evidence_recall': 0.18775510204081633, 'evidence_f1': 0.2967741935483871, 'crest_accuracy': 0.4126984126984127, 'crest_precision': 1.0, 'crest_recall': 0.017699115044247787, 'crest_f1': 0.034782608695652174}","{'closeness': 0.9268069533394327, 'similarity_metrics': 0.9697056, 'contradiction': 0.03104162961244583, 'evidence_accuracy': 0.7388059701492538, 'evidence_precision': 0.5, 'evidence_recall': 0.1673469387755102, 'evidence_f1': 0.2507645259938838, 'crest_accuracy': 0.3783068783068783, 'crest_precision': 0.30434782608695654, 'crest_recall': 0.030973451327433628, 'crest_f1': 0.05622489959839357}"
"{'closeness': 0.6230473751600512, 'similarity_metrics': 0.9931803, 'contradiction': 0.9902709722518921, 'evidence_accuracy': 0.5673854447439353, 'evidence_precision': 0.41841004184100417, 'evidence_recall': 0.823045267489712, 'evidence_f1': 0.5547850208044383, 'crest_accuracy': 0.47619047619047616, 'crest_precision': 0.6274509803921569, 'crest_recall': 0.4247787610619469, 'crest_f1': 0.5065963060686016}","{'closeness': 0.8886043533930857, 'similarity_metrics': 0.99639297, 'contradiction': 0.9926283359527588, 'evidence_accuracy': 0.5956873315363881, 'evidence_precision': 0.3817427385892116, 'evidence_recall': 0.3786008230452675, 'evidence_f1': 0.3801652892561983, 'crest_accuracy': 0.49019607843137253, 'crest_precision': 0.7037037037037037, 'crest_recall': 0.336283185840708, 'crest_f1': 0.4550898203592814}","{'closeness': 0.2952624839948783, 'similarity_metrics': 0.8851289, 'contradiction': 0.3531162738800049, 'evidence_accuracy': 0.38140161725067384, 'evidence_precision': 0.3211920529801324, 'evidence_recall': 0.7983539094650206, 'evidence_f1': 0.4580873671782763, 'crest_accuracy': 0.6610644257703081, 'crest_precision': 0.6966292134831461, 'crest_recall': 0.8230088495575221, 'crest_f1': 0.7545638945233265}","{'closeness': 0.732650448143406, 'similarity_metrics': 0.9934628, 'contradiction': 0.9902709722518921, 'evidence_accuracy': 0.532345013477089, 'evidence_precision': 0.3767772511848341, 'evidence_recall': 0.654320987654321, 'evidence_f1': 0.47819548872180445, 'crest_accuracy': 0.47619047619047616, 'crest_precision': 0.6274509803921569, 'crest_recall': 0.4247787610619469, 'crest_f1': 0.5065963060686016}","{'closeness': 0.7539052496798976, 'similarity_metrics': 0.99806666, 'contradiction': 0.988686203956604, 'evidence_accuracy': 0.6320754716981132, 'evidence_precision': 0.4519230769230769, 'evidence_recall': 0.5802469135802469, 'evidence_f1': 0.5081081081081081, 'crest_accuracy': 0.484593837535014, 'crest_precision': 0.7590361445783133, 'crest_recall': 0.2775330396475771, 'crest_f1': 0.4064516129032258}","{'closeness': 0.6783610755441741, 'similarity_metrics': 0.9934184, 'contradiction': 0.99104905128479, 'evidence_accuracy': 0.5916442048517521, 'evidence_precision': 0.4268292682926829, 'evidence_recall': 0.720164609053498, 'evidence_f1': 0.5359877488514548, 'crest_accuracy': 0.4789915966386555, 'crest_precision': 0.6515151515151515, 'crest_recall': 0.3805309734513274, 'crest_f1': 0.4804469273743016}"
"{'closeness': 0.7134458562488147, 'similarity_metrics': 0.8641572, 'contradiction': 0.07277847081422806, 'evidence_accuracy': 0.5123339658444023, 'evidence_precision': 0.21414913957934992, 'evidence_recall': 0.5209302325581395, 'evidence_f1': 0.30352303523035234, 'crest_accuracy': 0.16321243523316062, 'crest_precision': 0.3747016706443914, 'crest_recall': 0.7201834862385321, 'crest_f1': 0.49293563579277866}","{'closeness': 0.7908211644225298, 'similarity_metrics': 0.9703642, 'contradiction': 0.9969103932380676, 'evidence_accuracy': 0.579696394686907, 'evidence_precision': 0.23113207547169812, 'evidence_recall': 0.4558139534883721, 'evidence_f1': 0.3067292644757434, 'crest_accuracy': 0.5777202072538861, 'crest_precision': 0.6686746987951807, 'crest_recall': 0.5068493150684932, 'crest_f1': 0.5766233766233765}","{'closeness': 0.8549212971742841, 'similarity_metrics': 0.9955471, 'contradiction': 0.9556094408035278, 'evidence_accuracy': 0.6574952561669829, 'evidence_precision': 0.2972222222222222, 'evidence_recall': 0.49767441860465117, 'evidence_f1': 0.3721739130434783, 'crest_accuracy': 0.5233160621761658, 'crest_precision': 0.6767676767676768, 'crest_recall': 0.3059360730593607, 'crest_f1': 0.42138364779874216}","{'closeness': 0.717428408875403, 'similarity_metrics': 0.8641572, 'contradiction': 0.07277847081422806, 'evidence_accuracy': 0.5161290322580645, 'evidence_precision': 0.2179732313575526, 'evidence_recall': 0.5302325581395348, 'evidence_f1': 0.30894308943089427, 'crest_accuracy': 0.16580310880829016, 'crest_precision': 0.3761904761904762, 'crest_recall': 0.7247706422018348, 'crest_f1': 0.49529780564263326}","{'closeness': 0.13882040584107713, 'similarity_metrics': 0.7069237, 'contradiction': 0.02905869111418724, 'evidence_accuracy': 0.22485768500948766, 'evidence_precision': 0.20079522862823063, 'evidence_recall': 0.9395348837209302, 'evidence_f1': 0.33087633087633095, 'crest_accuracy': 0.5492227979274611, 'crest_precision': 0.5588235294117647, 'crest_recall': 0.9587155963302753, 'crest_f1': 0.7060810810810809}","{'closeness': 0.8501801630950123, 'similarity_metrics': 0.9621213, 'contradiction': 0.6834240555763245, 'evidence_accuracy': 0.5967741935483871, 'evidence_precision': 0.2569444444444444, 'evidence_recall': 0.5162790697674419, 'evidence_f1': 0.34312210200927357, 'crest_accuracy': 0.5181347150259067, 'crest_precision': 0.6024844720496895, 'crest_recall': 0.4429223744292237, 'crest_f1': 0.5105263157894736}"
"{'closeness': 0.9531693472090823, 'similarity_metrics': 0.9831679, 'contradiction': 0.9962000250816345, 'evidence_accuracy': 0.5480093676814989, 'evidence_precision': 0.39215686274509803, 'evidence_recall': 0.23391812865497075, 'evidence_f1': 0.29304029304029305, 'crest_accuracy': 0.46285714285714286, 'crest_precision': 0.6352941176470588, 'crest_recall': 0.2559241706161137, 'crest_f1': 0.3648648648648648}","{'closeness': 0.5922421948912016, 'similarity_metrics': 0.9376844, 'contradiction': 0.9947888851165771, 'evidence_accuracy': 0.5971896955503513, 'evidence_precision': 0.4981549815498155, 'evidence_recall': 0.7894736842105263, 'evidence_f1': 0.6108597285067874, 'crest_accuracy': 0.66, 'crest_precision': 0.7072072072072072, 'crest_recall': 0.7440758293838863, 'crest_f1': 0.7251732101616629}","{'closeness': 0.4091769157994324, 'similarity_metrics': 0.9019539, 'contradiction': 0.9981720447540283, 'evidence_accuracy': 0.49414519906323184, 'evidence_precision': 0.4281150159744409, 'evidence_recall': 0.783625730994152, 'evidence_f1': 0.5537190082644627, 'crest_accuracy': 0.5971428571428572, 'crest_precision': 0.6346153846153846, 'crest_recall': 0.7819905213270142, 'crest_f1': 0.7006369426751592}","{'closeness': 0.9517502365184485, 'similarity_metrics': 0.98886776, 'contradiction': 0.9966193437576294, 'evidence_accuracy': 0.5433255269320844, 'evidence_precision': 0.38461538461538464, 'evidence_recall': 0.23391812865497075, 'evidence_f1': 0.29090909090909095, 'crest_accuracy': 0.4685714285714286, 'crest_precision': 0.6436781609195402, 'crest_recall': 0.26540284360189575, 'crest_f1': 0.3758389261744967}","{'closeness': 0.2100283822138127, 'similarity_metrics': 0.8322137, 'contradiction': 0.998988687992096, 'evidence_accuracy': 0.42857142857142855, 'evidence_precision': 0.4094292803970223, 'evidence_recall': 0.9649122807017544, 'evidence_f1': 0.5749128919860627, 'crest_accuracy': 0.5942857142857143, 'crest_precision': 0.6042296072507553, 'crest_recall': 0.9478672985781991, 'crest_f1': 0.7380073800738007}","{'closeness': 0.8926206244087038, 'similarity_metrics': 0.98556936, 'contradiction': 0.9967791438102722, 'evidence_accuracy': 0.5971896955503513, 'evidence_precision': 0.4961832061068702, 'evidence_recall': 0.38011695906432746, 'evidence_f1': 0.4304635761589404, 'crest_accuracy': 0.5028571428571429, 'crest_precision': 0.6761904761904762, 'crest_recall': 0.33649289099526064, 'crest_f1': 0.4493670886075949}"
