baseline,e-implcit-target-e-persona-human,e-persona-you,e-implcit-target-e-persona-you,e-implcit-target,e-persona-human,TextFoolerJin2019
,,,,,,
,,,,,,"{'distance': 0.2592592592592593, 'evidence_accuracy': 0.5454545454545454, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.8176764), 'contradiction': 0.002622859552502632}"
,,,,,,"{'distance': 0.33333333333333337, 'evidence_accuracy': 0.5454545454545454, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.7218476), 'contradiction': 0.0006327230948954821}"
,,"{'distance': 0.8666666666666667, 'evidence_accuracy': 0.36363636363636365, 'evidence_precision': 0.3, 'evidence_recall': 1.0, 'evidence_f1': 0.4615384615384615, 'similarity_metrics': np.float32(0.53023386), 'contradiction': 0.0006055191624909639}",,"{'distance': 0.4736842105263158, 'evidence_accuracy': 0.5454545454545454, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 0.6666666666666666, 'evidence_f1': 0.4444444444444444, 'similarity_metrics': np.float32(0.29963255), 'contradiction': 0.999302864074707}","{'distance': 0.5555555555555556, 'evidence_accuracy': 0.45454545454545453, 'evidence_precision': 0.2857142857142857, 'evidence_recall': 0.6666666666666666, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.63508713), 'contradiction': 0.0006659186910837889}","{'distance': 0.23076923076923073, 'evidence_accuracy': 0.45454545454545453, 'evidence_precision': 0.2, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.25, 'similarity_metrics': np.float32(0.83722997), 'contradiction': 0.02413361892104149}"
,,,,,,"{'distance': 0.2941176470588235, 'evidence_accuracy': 0.23076923076923078, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.7304009), 'contradiction': 0.0011379825882613659}"
,"{'distance': 0.4545454545454546, 'evidence_accuracy': 0.6923076923076923, 'evidence_precision': 0.5714285714285714, 'evidence_recall': 0.8, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.6760216), 'contradiction': 0.9890844225883484}",,"{'distance': 0.4545454545454546, 'evidence_accuracy': 0.6923076923076923, 'evidence_precision': 0.5714285714285714, 'evidence_recall': 0.8, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.6760216), 'contradiction': 0.9890844225883484}",,,"{'distance': 0.4193548387096774, 'evidence_accuracy': 0.8461538461538461, 'evidence_precision': 0.8, 'evidence_recall': 0.8, 'evidence_f1': 0.8000000000000002, 'similarity_metrics': np.float32(0.78815514), 'contradiction': 0.0034002047032117844}"
,,,,,,"{'distance': 0.2727272727272727, 'evidence_accuracy': -0.125, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.58915585), 'contradiction': 0.5044523477554321}"
,"{'distance': 0.33333333333333337, 'evidence_accuracy': 0.875, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 1.0, 'evidence_f1': 0.8, 'similarity_metrics': np.float32(0.6636767), 'contradiction': 0.9985320568084717}",,"{'distance': 0.33333333333333337, 'evidence_accuracy': 0.875, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 1.0, 'evidence_f1': 0.8, 'similarity_metrics': np.float32(0.6636767), 'contradiction': 0.9985320568084717}","{'distance': 0.33333333333333337, 'evidence_accuracy': 0.875, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 1.0, 'evidence_f1': 0.8, 'similarity_metrics': np.float32(0.65108967), 'contradiction': 0.9986975193023682}",,"{'distance': 0.23809523809523814, 'evidence_accuracy': 0.125, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.79820037), 'contradiction': 0.005140337627381086}"
,,,,,,
,"{'distance': 0.6, 'evidence_accuracy': 0.5454545454545454, 'evidence_precision': 0.5, 'evidence_recall': 0.8, 'evidence_f1': 0.6153846153846154, 'similarity_metrics': np.float32(0.70760477), 'contradiction': 0.0015482455492019653}","{'distance': 0.7647058823529411, 'evidence_accuracy': 0.6363636363636364, 'evidence_precision': 0.5555555555555556, 'evidence_recall': 1.0, 'evidence_f1': 0.7142857142857143, 'similarity_metrics': np.float32(0.42906588), 'contradiction': 0.002021569525822997}","{'distance': 0.4444444444444444, 'evidence_accuracy': 0.7272727272727273, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 0.8, 'evidence_f1': 0.7272727272727272, 'similarity_metrics': np.float32(0.71047974), 'contradiction': 0.7942705154418945}","{'distance': 0.4444444444444444, 'evidence_accuracy': 0.7272727272727273, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 0.8, 'evidence_f1': 0.7272727272727272, 'similarity_metrics': np.float32(0.71047974), 'contradiction': 0.7942705154418945}","{'distance': 0.7647058823529411, 'evidence_accuracy': 0.6363636363636364, 'evidence_precision': 0.5555555555555556, 'evidence_recall': 1.0, 'evidence_f1': 0.7142857142857143, 'similarity_metrics': np.float32(0.42906588), 'contradiction': 0.002021569525822997}",
,,,,,,
,,,,,,
,,,,,,
,,,,,,"{'distance': 0.6842105263157895, 'evidence_accuracy': 0.8181818181818182, 'evidence_precision': 0.6, 'evidence_recall': 1.0, 'evidence_f1': 0.7499999999999999, 'similarity_metrics': np.float32(0.63573694), 'contradiction': 0.0022816674318164587}"
,,,,,,"{'distance': 0.3529411764705882, 'evidence_accuracy': 0.5714285714285714, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 0.2, 'evidence_f1': 0.25, 'similarity_metrics': np.float32(0.64860415), 'contradiction': 0.0019409050000831485}"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,"{'distance': 0.28, 'evidence_accuracy': 0.6, 'evidence_precision': 1.0, 'evidence_recall': 0.2, 'evidence_f1': 0.33333333333333337, 'similarity_metrics': np.float32(0.74607086), 'contradiction': 0.0018149391980841756}"
"{'distance': 0.7391304347826086, 'evidence_accuracy': 0.29411764705882354, 'evidence_precision': 0.14285714285714285, 'evidence_recall': 1.0, 'evidence_f1': 0.25, 'similarity_metrics': np.float32(0.3018359), 'contradiction': 0.0012441513827070594}","{'distance': 0.9090909090909091, 'evidence_accuracy': 0.17647058823529413, 'evidence_precision': 0.125, 'evidence_recall': 1.0, 'evidence_f1': 0.2222222222222222, 'similarity_metrics': np.float32(0.09458588), 'contradiction': 0.9943522214889526}","{'distance': 0.7391304347826086, 'evidence_accuracy': 0.29411764705882354, 'evidence_precision': 0.14285714285714285, 'evidence_recall': 1.0, 'evidence_f1': 0.25, 'similarity_metrics': np.float32(0.3018359), 'contradiction': 0.0012441513827070594}","{'distance': 0.9090909090909091, 'evidence_accuracy': 0.17647058823529413, 'evidence_precision': 0.125, 'evidence_recall': 1.0, 'evidence_f1': 0.2222222222222222, 'similarity_metrics': np.float32(0.09458588), 'contradiction': 0.9943522214889526}","{'distance': 0.9130434782608696, 'evidence_accuracy': 0.17647058823529413, 'evidence_precision': 0.125, 'evidence_recall': 1.0, 'evidence_f1': 0.2222222222222222, 'similarity_metrics': np.float32(0.032018304), 'contradiction': 0.9965839385986328}","{'distance': 0.7391304347826086, 'evidence_accuracy': 0.29411764705882354, 'evidence_precision': 0.14285714285714285, 'evidence_recall': 1.0, 'evidence_f1': 0.25, 'similarity_metrics': np.float32(0.3018359), 'contradiction': 0.0012441513827070594}","{'distance': 0.21052631578947367, 'evidence_accuracy': 0.7647058823529411, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.728351), 'contradiction': 0.0012261830270290375}"
,,,,,,"{'distance': 0.19999999999999996, 'evidence_accuracy': 0.35294117647058826, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.9509974), 'contradiction': 0.0009819818660616875}"
