"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"A woman is smoking a cigarette. [[A]] [[man]] in [[green]] [[pants]] and [[blue]] [[shirt]] [[pushing]] a [[cart]].","A woman is smoking a cigarette. [[para]] [[mec]] in [[vert]] [[jeans]] and [[azul]] [[hem]] [[urgent]] a [[cars]].",0.15848422050476074,0.27470409870147705,0,0,0,219,"Failed"
"There is a man wearing cloths. A [[man]] in green pants and blue shirt pushing a [[cart]].","There is a man wearing cloths. A [[homme]] in green pants and blue shirt pushing a [[sledding]].",0.19979596138000488,0.7647140026092529,1,0,1,95,"Successful"
"Newlyweds sitting on a park bench. [[A]] beautiful [[bride]] [[walking]] on a [[sidewalk]] with her new [[husband]].","Newlyweds sitting on a park bench. [[paras]] beautiful [[vow]] [[marche]] on a [[parkway]] with her new [[freund]].",0.2090466022491455,0.714177131652832,0,1,0,130,"Successful"
"A couple walks outdoors together. A beautiful [[bride]] walking on a sidewalk with her new husband.","A couple walks outdoors together. A beautiful [[brides]] walking on a sidewalk with her new husband.",0.22879421710968018,0.7628554105758667,0,1,0,49,"Successful"
"A young man is grilling fish in his underwear. [[A]] young [[man]], [[wearing]] a [[white]] [[shirt]], [[prepares]] [[hotdogs]] on a small [[grill]].","A young man is grilling fish in his underwear. [[paras]] young [[dude]], [[rico]] a [[blank]] [[vest]], [[prep]] [[barbecued]] on a small [[mesh]].",0.14288008213043213,0.27422839403152466,0,0,0,249,"Failed"
"A young man is grilling food. A [[young]] man, wearing a white shirt, prepares hotdogs on a small grill.","A young man is grilling food. A [[enfant]] man, wearing a white shirt, prepares hotdogs on a small grill.",0.180334210395813,0.7966859340667725,1,0,1,23,"Successful"
"A man playing banjo on the floor. [[A]] [[man]] [[playing]] an [[electric]] [[guitar]] on [[stage]].","A man playing banjo on the floor. [[paras]] [[boyfriend]] [[plaything]] an [[elektra]] [[banjo]] on [[stepping]].",0.1382368803024292,0.2720123529434204,0,0,0,174,"Failed"
"A man playing guitar on stage. A man [[playing]] an electric guitar on stage.","A man playing guitar on stage. A man [[wagering]] an electric guitar on stage.",0.1859062910079956,0.8381294012069702,1,0,1,52,"Successful"
"A giraffe is on a chair. a [[boy]] in a [[beige]] [[shirt]] is [[sleeping]] in a [[car]].","A giraffe is on a chair. a [[mec]] in a [[khaki]] [[hoodie]] is [[sor]] in a [[che]].",0.1535404920578003,0.2240530252456665,0,0,0,158,"Failed"
"A person is in a vehicle. a boy in a beige shirt is sleeping in a [[car]].","A person is in a vehicle. a boy in a beige shirt is sleeping in a [[driving]].",0.19777381420135498,0.7925242185592651,1,0,1,54,"Successful"
