baseline,e-persona-you,e-persona-human,e-implcit-target,e-implcit-target-e-persona-you,e-implcit-target-e-persona-human,TextFoolerJin2019
"{'distance': 0.1769616026711185, 'evidence_accuracy': 0.6022727272727273, 'evidence_precision': 0.2740740740740741, 'evidence_recall': 0.20108695652173914, 'evidence_f1': 0.23197492163009403, 'similarity_metrics': np.float32(0.9774511), 'contradiction': 0.559484601020813}","{'distance': 0.9737876802096985, 'evidence_accuracy': 0.3051948051948052, 'evidence_precision': 0.2986798679867987, 'evidence_recall': 0.9836956521739131, 'evidence_f1': 0.4582278481012658, 'similarity_metrics': np.float32(0.76206625), 'contradiction': 0.007589065004140139}","{'distance': 0.9450261780104712, 'evidence_accuracy': 0.31006493506493504, 'evidence_precision': 0.29747899159663865, 'evidence_recall': 0.9619565217391305, 'evidence_f1': 0.4544287548138639, 'similarity_metrics': np.float32(0.73585105), 'contradiction': 0.0049688252620399}",,,,"{'distance': 0.012987012987012991, 'evidence_accuracy': 0.7045454545454546, 'evidence_precision': 0.625, 'evidence_recall': 0.02717391304347826, 'evidence_f1': 0.05208333333333333, 'similarity_metrics': np.float32(0.99597955), 'contradiction': 0.0432247668504715}"
"{'distance': 0.8126064735945485, 'evidence_accuracy': 0.4031413612565445, 'evidence_precision': 0.3445121951219512, 'evidence_recall': 0.8968253968253969, 'evidence_f1': 0.49779735682819376, 'similarity_metrics': np.float32(0.7063899), 'contradiction': 0.3900979161262512}","{'distance': 0.8102189781021898, 'evidence_accuracy': 0.450261780104712, 'evidence_precision': 0.37272727272727274, 'evidence_recall': 0.9761904761904762, 'evidence_f1': 0.5394736842105263, 'similarity_metrics': np.float32(0.821324), 'contradiction': 0.03123786859214306}","{'distance': 0.8798449612403101, 'evidence_accuracy': 0.38481675392670156, 'evidence_precision': 0.34560906515580736, 'evidence_recall': 0.9682539682539683, 'evidence_f1': 0.5093945720250522, 'similarity_metrics': np.float32(0.813499), 'contradiction': 0.16636505722999573}",,,,
,,,"{'distance': 0.10470219435736672, 'evidence_accuracy': 0.6650366748166259, 'evidence_precision': 0.6363636363636364, 'evidence_recall': 0.23026315789473684, 'evidence_f1': 0.33816425120772947, 'similarity_metrics': np.float32(0.8774836), 'contradiction': 0.9929717183113098}",,,
"{'distance': 0.7100371747211895, 'evidence_accuracy': 0.5434173669467787, 'evidence_precision': 0.5598591549295775, 'evidence_recall': 0.8071065989847716, 'evidence_f1': 0.661122661122661, 'similarity_metrics': np.float32(0.9316742), 'contradiction': 0.05041582137346268}","{'distance': 0.31034482758620685, 'evidence_accuracy': 0.6974789915966386, 'evidence_precision': 0.8248175182481752, 'evidence_recall': 0.5736040609137056, 'evidence_f1': 0.6766467065868264, 'similarity_metrics': np.float32(0.98121685), 'contradiction': 0.15246956050395966}","{'distance': 0.9411764705882353, 'evidence_accuracy': 0.5434173669467787, 'evidence_precision': 0.5497076023391813, 'evidence_recall': 0.9543147208121827, 'evidence_f1': 0.6975881261595548, 'similarity_metrics': np.float32(0.90045476), 'contradiction': 0.7155656814575195}","{'distance': 0.36111111111111116, 'evidence_accuracy': 0.4481792717086835, 'evidence_precision': 0.5, 'evidence_recall': 0.38071065989847713, 'evidence_f1': 0.43227665706051877, 'similarity_metrics': np.float32(0.95792663), 'contradiction': 0.25665608048439026}",,,
"{'distance': 0.32640332640332637, 'evidence_accuracy': 0.6837944664031621, 'evidence_precision': 0.5425531914893617, 'evidence_recall': 0.5795454545454546, 'evidence_f1': 0.5604395604395604, 'similarity_metrics': np.float32(0.96411794), 'contradiction': 0.8649201393127441}","{'distance': 0.34056399132321036, 'evidence_accuracy': 0.7549407114624506, 'evidence_precision': 0.6203703703703703, 'evidence_recall': 0.7613636363636364, 'evidence_f1': 0.6836734693877551, 'similarity_metrics': np.float32(0.952251), 'contradiction': 0.707334578037262}","{'distance': 0.5865384615384616, 'evidence_accuracy': 0.5849802371541502, 'evidence_precision': 0.44970414201183434, 'evidence_recall': 0.8636363636363636, 'evidence_f1': 0.5914396887159533, 'similarity_metrics': np.float32(0.91417706), 'contradiction': 0.9846781492233276}","{'distance': 0.37365010799136067, 'evidence_accuracy': 0.5928853754940712, 'evidence_precision': 0.43243243243243246, 'evidence_recall': 0.5454545454545454, 'evidence_f1': 0.4824120603015076, 'similarity_metrics': np.float32(0.9539342), 'contradiction': 0.9966866374015808}","{'distance': 0.2723492723492723, 'evidence_accuracy': 0.758893280632411, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 0.6136363636363636, 'evidence_f1': 0.6390532544378698, 'similarity_metrics': np.float32(0.95752275), 'contradiction': 0.9813867211341858}",,"{'distance': 0.24110671936758898, 'evidence_accuracy': 0.6007905138339921, 'evidence_precision': 0.39344262295081966, 'evidence_recall': 0.2727272727272727, 'evidence_f1': 0.3221476510067114, 'similarity_metrics': np.float32(0.8756223), 'contradiction': 0.04118392616510391}"
"{'distance': 0.83640081799591, 'evidence_accuracy': 0.3748251748251748, 'evidence_precision': 0.3076923076923077, 'evidence_recall': 0.9702970297029703, 'evidence_f1': 0.46722288438617404, 'similarity_metrics': np.float32(0.9073117), 'contradiction': 0.9530240297317505}","{'distance': 0.8333333333333334, 'evidence_accuracy': 0.29790209790209793, 'evidence_precision': 0.2826086956521739, 'evidence_recall': 0.9653465346534653, 'evidence_f1': 0.43721973094170397, 'similarity_metrics': np.float32(0.8953404), 'contradiction': 0.9435946345329285}","{'distance': 0.8828828828828829, 'evidence_accuracy': 0.3006993006993007, 'evidence_precision': 0.2821637426900585, 'evidence_recall': 0.9554455445544554, 'evidence_f1': 0.43566591422121903, 'similarity_metrics': np.float32(0.8502952), 'contradiction': 0.5523934960365295}",,,,
"{'distance': 0.5009646302250803, 'evidence_accuracy': 0.5181236673773987, 'evidence_precision': 0.3128390596745027, 'evidence_recall': 0.7061224489795919, 'evidence_f1': 0.43358395989974935, 'similarity_metrics': np.float32(0.9026661), 'contradiction': 0.054800014942884445}",,"{'distance': 0.5155526141628061, 'evidence_accuracy': 0.5031982942430704, 'evidence_precision': 0.30782608695652175, 'evidence_recall': 0.7224489795918367, 'evidence_f1': 0.4317073170731707, 'similarity_metrics': np.float32(0.8558903), 'contradiction': 0.2702104449272156}",,"{'distance': 0.2216150576806315, 'evidence_accuracy': 0.6588486140724946, 'evidence_precision': 0.37373737373737376, 'evidence_recall': 0.4530612244897959, 'evidence_f1': 0.40959409594095936, 'similarity_metrics': np.float32(0.8732022), 'contradiction': 0.9950719475746155}",,
"{'distance': 0.2002851033499644, 'evidence_accuracy': 0.715633423180593, 'evidence_precision': 0.5891891891891892, 'evidence_recall': 0.44672131147540983, 'evidence_f1': 0.5081585081585082, 'similarity_metrics': np.float32(0.9976401), 'contradiction': 0.9677072167396545}","{'distance': 0.18077474892395984, 'evidence_accuracy': 0.7183288409703504, 'evidence_precision': 0.6, 'evidence_recall': 0.430327868852459, 'evidence_f1': 0.5011933174224342, 'similarity_metrics': np.float32(0.9976401), 'contradiction': 0.9677072167396545}","{'distance': 0.17010676156583626, 'evidence_accuracy': 0.7021563342318059, 'evidence_precision': 0.5705521472392638, 'evidence_recall': 0.38114754098360654, 'evidence_f1': 0.457002457002457, 'similarity_metrics': np.float32(0.9976401), 'contradiction': 0.9677072167396545}","{'distance': 0.2131837307152875, 'evidence_accuracy': 0.6388140161725068, 'evidence_precision': 0.43386243386243384, 'evidence_recall': 0.3374485596707819, 'evidence_f1': 0.3796296296296296, 'similarity_metrics': np.float32(0.99334145), 'contradiction': 0.990613579750061}","{'distance': 0.20903954802259883, 'evidence_accuracy': 0.6442048517520216, 'evidence_precision': 0.44559585492227977, 'evidence_recall': 0.35390946502057613, 'evidence_f1': 0.39449541284403666, 'similarity_metrics': np.float32(0.9923724), 'contradiction': 0.9933991432189941}","{'distance': 0.19915848527349234, 'evidence_accuracy': 0.633423180592992, 'evidence_precision': 0.4207650273224044, 'evidence_recall': 0.3168724279835391, 'evidence_f1': 0.3615023474178404, 'similarity_metrics': np.float32(0.992504), 'contradiction': 0.9818692803382874}",
"{'distance': 0.8948995363214838, 'evidence_accuracy': 0.2571157495256167, 'evidence_precision': 0.21196754563894524, 'evidence_recall': 0.9720930232558139, 'evidence_f1': 0.3480432972522897, 'similarity_metrics': np.float32(0.8474031), 'contradiction': 0.07717955112457275}","{'distance': 0.8919342208300705, 'evidence_accuracy': 0.25996204933586337, 'evidence_precision': 0.2131979695431472, 'evidence_recall': 0.9767441860465116, 'evidence_f1': 0.35000000000000003, 'similarity_metrics': np.float32(0.8362104), 'contradiction': 0.003915227483958006}","{'distance': 0.8815052041633307, 'evidence_accuracy': 0.26091081593927895, 'evidence_precision': 0.21399594320486814, 'evidence_recall': 0.9813953488372092, 'evidence_f1': 0.3513738551207327, 'similarity_metrics': np.float32(0.8117429), 'contradiction': 0.00569922523573041}","{'distance': 0.41083640189374016, 'evidence_accuracy': 0.5142314990512334, 'evidence_precision': 0.2, 'evidence_recall': 0.4604651162790698, 'evidence_f1': 0.27887323943661974, 'similarity_metrics': np.float32(0.98777723), 'contradiction': 0.9930837154388428}","{'distance': 0.4118268215417107, 'evidence_accuracy': 0.5123339658444023, 'evidence_precision': 0.20040080160320642, 'evidence_recall': 0.46511627906976744, 'evidence_f1': 0.2801120448179272, 'similarity_metrics': np.float32(0.9909133), 'contradiction': 0.9940230250358582}","{'distance': 0.4040987913820284, 'evidence_accuracy': 0.5142314990512334, 'evidence_precision': 0.19631901840490798, 'evidence_recall': 0.44651162790697674, 'evidence_f1': 0.27272727272727276, 'similarity_metrics': np.float32(0.8681389), 'contradiction': 0.9943546056747437}","{'distance': 0.07874762808349145, 'evidence_accuracy': 0.7609108159392789, 'evidence_precision': 0.27710843373493976, 'evidence_recall': 0.10697674418604651, 'evidence_f1': 0.15436241610738255, 'similarity_metrics': np.float32(0.9275633), 'contradiction': 0.3863312900066376}"
"{'distance': 0.7311178247734139, 'evidence_accuracy': 0.5597189695550351, 'evidence_precision': 0.4749262536873156, 'evidence_recall': 0.9415204678362573, 'evidence_f1': 0.6313725490196078, 'similarity_metrics': np.float32(0.9077027), 'contradiction': 0.9448054432868958}","{'distance': 0.739938080495356, 'evidence_accuracy': 0.5878220140515222, 'evidence_precision': 0.49271137026239065, 'evidence_recall': 0.9883040935672515, 'evidence_f1': 0.6575875486381323, 'similarity_metrics': np.float32(0.88081986), 'contradiction': 0.9646446704864502}","{'distance': 0.746177370030581, 'evidence_accuracy': 0.5573770491803278, 'evidence_precision': 0.4738372093023256, 'evidence_recall': 0.9532163742690059, 'evidence_f1': 0.6330097087378641, 'similarity_metrics': np.float32(0.90227497), 'contradiction': 0.9574845433235168}","{'distance': 0.6556291390728477, 'evidence_accuracy': 0.5831381733021077, 'evidence_precision': 0.4882154882154882, 'evidence_recall': 0.847953216374269, 'evidence_f1': 0.6196581196581197, 'similarity_metrics': np.float32(0.9253104), 'contradiction': 0.9956616759300232}","{'distance': 0.6062767475035664, 'evidence_accuracy': 0.5737704918032787, 'evidence_precision': 0.4816053511705686, 'evidence_recall': 0.8421052631578947, 'evidence_f1': 0.6127659574468084, 'similarity_metrics': np.float32(0.91999024), 'contradiction': 0.9914337396621704}",,
