e-implcit-target-e-persona-you,e-persona-you,e-implcit-target-e-persona-human,baseline,e-implcit-target,e-persona-human,TextFoolerJin2019
,,,,,,
,,,,,,"{'distance': 0.09090909090909094, 'evidence_accuracy': 0.45454545454545453, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.96592563, 'contradiction': 0.002605705289170146}"
"{'distance': 0.7, 'evidence_accuracy': 0.2727272727272727, 'evidence_precision': 0.2222222222222222, 'evidence_recall': 0.6666666666666666, 'evidence_f1': 0.3333333333333333, 'similarity_metrics': 0.08351508, 'contradiction': 0.9990711212158203}","{'distance': 0.33333333333333337, 'evidence_accuracy': 0.2727272727272727, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.71801215, 'contradiction': 0.002960328944027424}","{'distance': 0.7, 'evidence_accuracy': 0.2727272727272727, 'evidence_precision': 0.2222222222222222, 'evidence_recall': 0.6666666666666666, 'evidence_f1': 0.3333333333333333, 'similarity_metrics': 0.08351508, 'contradiction': 0.9990711212158203}","{'distance': 0.4, 'evidence_accuracy': 0.2727272727272727, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.6703598, 'contradiction': 0.09251280128955841}","{'distance': 0.4782608695652174, 'evidence_accuracy': 0.36363636363636365, 'evidence_precision': 0.16666666666666666, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.2222222222222222, 'similarity_metrics': 0.5478538, 'contradiction': 0.9848445057868958}","{'distance': 0.33333333333333337, 'evidence_accuracy': 0.2727272727272727, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.71801215, 'contradiction': 0.002960328944027424}","{'distance': 0.09090909090909094, 'evidence_accuracy': 0.5454545454545454, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.968584, 'contradiction': 0.0005790669820271432}"
,,,,,,"{'distance': 0.09090909090909094, 'evidence_accuracy': 0.8181818181818182, 'evidence_precision': 1.0, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.5, 'similarity_metrics': 0.89206296, 'contradiction': 0.019310232251882553}"
,,,,,,"{'distance': 0.6923076923076923, 'evidence_accuracy': 0.38461538461538464, 'evidence_precision': 0.1111111111111111, 'evidence_recall': 1.0, 'evidence_f1': 0.19999999999999998, 'similarity_metrics': 0.35492158, 'contradiction': 0.04134811833500862}"
,,,,,,"{'distance': 0.07692307692307687, 'evidence_accuracy': 0.6923076923076923, 'evidence_precision': 1.0, 'evidence_recall': 0.2, 'evidence_f1': 0.33333333333333337, 'similarity_metrics': 0.93851227, 'contradiction': 0.014895839616656303}"
,"{'distance': 0.5, 'evidence_accuracy': 0.875, 'evidence_precision': 0.75, 'evidence_recall': 1.0, 'evidence_f1': 0.8571428571428571, 'similarity_metrics': 0.4667601, 'contradiction': 0.9991143345832825}",,"{'distance': 0.5, 'evidence_accuracy': 0.875, 'evidence_precision': 0.75, 'evidence_recall': 1.0, 'evidence_f1': 0.8571428571428571, 'similarity_metrics': 0.4667601, 'contradiction': 0.9991143345832825}","{'distance': 0.5, 'evidence_accuracy': 0.875, 'evidence_precision': 0.75, 'evidence_recall': 1.0, 'evidence_f1': 0.8571428571428571, 'similarity_metrics': 0.4667601, 'contradiction': 0.9991143345832825}","{'distance': 0.5, 'evidence_accuracy': 0.875, 'evidence_precision': 0.75, 'evidence_recall': 1.0, 'evidence_f1': 0.8571428571428571, 'similarity_metrics': 0.4667601, 'contradiction': 0.9991143345832825}","{'distance': 0.125, 'evidence_accuracy': 0.625, 'evidence_precision': 0.5, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.4, 'similarity_metrics': 0.7434417, 'contradiction': 0.4528849422931671}"
,"{'distance': 0.33333333333333337, 'evidence_accuracy': 0.75, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.6261091, 'contradiction': 0.9982531666755676}",,"{'distance': 0.33333333333333337, 'evidence_accuracy': 0.75, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.6261091, 'contradiction': 0.9982531666755676}",,"{'distance': 0.33333333333333337, 'evidence_accuracy': 0.75, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.6261091, 'contradiction': 0.9982531666755676}","{'distance': 0.125, 'evidence_accuracy': 0.75, 'evidence_precision': 0.5, 'evidence_recall': 0.5, 'evidence_f1': 0.5, 'similarity_metrics': 0.83965456, 'contradiction': 0.005965410731732845}"
,,,,,,
"{'distance': 0.36363636363636365, 'evidence_accuracy': 0.45454545454545453, 'evidence_precision': 0.4, 'evidence_recall': 0.4, 'evidence_f1': 0.4000000000000001, 'similarity_metrics': 0.32453835, 'contradiction': 0.9956555366516113}","{'distance': 0.13043478260869568, 'evidence_accuracy': 0.45454545454545453, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.9613006, 'contradiction': 0.0020508223678916693}","{'distance': 0.36363636363636365, 'evidence_accuracy': 0.45454545454545453, 'evidence_precision': 0.4, 'evidence_recall': 0.4, 'evidence_f1': 0.4000000000000001, 'similarity_metrics': 0.32453835, 'contradiction': 0.9956555366516113}",,"{'distance': 0.36363636363636365, 'evidence_accuracy': 0.45454545454545453, 'evidence_precision': 0.4, 'evidence_recall': 0.4, 'evidence_f1': 0.4000000000000001, 'similarity_metrics': 0.32453835, 'contradiction': 0.9956555366516113}","{'distance': 0.13043478260869568, 'evidence_accuracy': 0.45454545454545453, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.9613006, 'contradiction': 0.0020508223678916693}","{'distance': 0.2727272727272727, 'evidence_accuracy': 0.5454545454545454, 'evidence_precision': 0.5, 'evidence_recall': 0.4, 'evidence_f1': 0.4444444444444445, 'similarity_metrics': 0.79314053, 'contradiction': 0.9717060327529907}"
