seed,0
default_root_dir,experiments/masker_imdb_sparsemap_30p
no_fit,False
wandb_project,crest
wandb_entity,gian-kalyva-national-technical-university-of-athens
save_rationales,False
save_counterfactuals,False
save_tokenizer,False
save_label_encoder,False
gpu_log,False
dm,contrast_imdb_cf
batch_size,8
num_workers,1
vocab_min_occurrences,1
max_seq_len,512
monitor,val_ff_accuracy
monitor_mode,max
monitor_patience,5
model,transformer_spectra
tokenizer,t5-small
gen_arch,t5-small
gen_emb_requires_grad,False
gen_encoder_requires_grad,False
gen_use_decoder,False
pred_arch,t5-small
pred_emb_requires_grad,False
pred_bidirectional,False
pred_encoder_requires_grad,True
pred_output_requires_grad,True
shared_gen_pred,False
explainer,sparsemap
explainer_pre_mlp,True
explainer_requires_grad,True
sparsemap_budget,30
sparsemap_transition,0.01
sparsemap_temperature,0.01
dropout,0.1
selection_vector,zero
selection_faithfulness,True
selection_mask,False
optimizer,adamw
lr,0.0001
weight_decay,1e-06
betas,"[0.9, 0.999]"
amsgrad,False
momentum,0.0
dampening,0.0
nesterov,False
alpha,0.99
centered,False
lambd,0.0001
t0,1000000.0
accelerator,gpu
devices,1
gradient_clip_val,5.0
min_epochs,3
max_epochs,15
