e-chain-of-thought,e-chat-history,baseline,e-implcit-target,e-persona-you,e-persona-human
"{'closeness': 0.9838230439088809, 'similarity_metrics': 0.997261, 'contradiction': 0.9406837821006775, 'evidence_accuracy': 0.7207792207792207, 'evidence_precision': 1.0, 'evidence_recall': 0.06521739130434782, 'evidence_f1': 0.12244897959183672, 'crest_accuracy': 0.4024767801857585, 'crest_precision': 1.0, 'crest_recall': 0.02030456852791878, 'crest_f1': 0.039800995024875614}","{'closeness': 0.9369428854407396, 'similarity_metrics': 0.9873281, 'contradiction': 0.983410656452179, 'evidence_accuracy': 0.5405844155844156, 'evidence_precision': 0.28193832599118945, 'evidence_recall': 0.34782608695652173, 'evidence_f1': 0.3114355231143553, 'crest_accuracy': 0.5541795665634675, 'crest_precision': 0.7226890756302521, 'crest_recall': 0.4365482233502538, 'crest_f1': 0.5443037974683544}","{'closeness': 0.9732585011554968, 'similarity_metrics': 0.99511486, 'contradiction': 0.9862776398658752, 'evidence_accuracy': 0.7305194805194806, 'evidence_precision': 0.7368421052631579, 'evidence_recall': 0.15217391304347827, 'evidence_f1': 0.2522522522522523, 'crest_accuracy': 0.3993808049535604, 'crest_precision': 0.6153846153846154, 'crest_recall': 0.04060913705583756, 'crest_f1': 0.07619047619047618}","{'closeness': 0.927038626609442, 'similarity_metrics': 0.99070936, 'contradiction': 0.9961915016174316, 'evidence_accuracy': 0.487012987012987, 'evidence_precision': 0.273972602739726, 'evidence_recall': 0.43478260869565216, 'evidence_f1': 0.3361344537815126, 'crest_accuracy': 0.5851393188854489, 'crest_precision': 0.6981132075471698, 'crest_recall': 0.5634517766497462, 'crest_f1': 0.6235955056179776}","{'closeness': 0.9808517662594916, 'similarity_metrics': 0.9956657, 'contradiction': 0.9862776398658752, 'evidence_accuracy': 0.7061688311688312, 'evidence_precision': 0.5714285714285714, 'evidence_recall': 0.06521739130434782, 'evidence_f1': 0.11707317073170731, 'crest_accuracy': 0.3993808049535604, 'crest_precision': 0.6363636363636364, 'crest_recall': 0.03553299492385787, 'crest_f1': 0.06730769230769232}","{'closeness': 0.9234070650379663, 'similarity_metrics': 0.8867519, 'contradiction': 0.993505597114563, 'evidence_accuracy': 0.48863636363636365, 'evidence_precision': 0.24313725490196078, 'evidence_recall': 0.33695652173913043, 'evidence_f1': 0.2824601366742597, 'crest_accuracy': 0.5386996904024768, 'crest_precision': 0.6714285714285714, 'crest_recall': 0.47715736040609136, 'crest_f1': 0.5578635014836795}"
"{'closeness': 0.9071938495332235, 'similarity_metrics': 0.9412917, 'contradiction': 0.9908113479614258, 'evidence_accuracy': 0.680628272251309, 'evidence_precision': 0.5588235294117647, 'evidence_recall': 0.15079365079365079, 'evidence_f1': 0.23749999999999996, 'crest_accuracy': 0.4088050314465409, 'crest_precision': 0.9230769230769231, 'crest_recall': 0.11428571428571428, 'crest_f1': 0.20338983050847456}","{'closeness': 0.5899834892680242, 'similarity_metrics': 0.798558, 'contradiction': 0.9104057550430298, 'evidence_accuracy': 0.6151832460732984, 'evidence_precision': 0.45414847161572053, 'evidence_recall': 0.8253968253968254, 'evidence_f1': 0.5859154929577465, 'crest_accuracy': 0.6289308176100629, 'crest_precision': 0.7421052631578947, 'crest_recall': 0.6714285714285714, 'crest_f1': 0.705}","{'closeness': 0.5498073747936159, 'similarity_metrics': 0.74709475, 'contradiction': 0.9022743701934814, 'evidence_accuracy': 0.4083769633507853, 'evidence_precision': 0.3263888888888889, 'evidence_recall': 0.746031746031746, 'evidence_f1': 0.45410628019323673, 'crest_accuracy': 0.6540880503144654, 'crest_precision': 0.6923076923076923, 'crest_recall': 0.8571428571428571, 'crest_f1': 0.7659574468085107}","{'closeness': 0.5140341221794167, 'similarity_metrics': 0.7800443, 'contradiction': 0.9685993790626526, 'evidence_accuracy': 0.25654450261780104, 'evidence_precision': 0.2898936170212766, 'evidence_recall': 0.8650793650793651, 'evidence_f1': 0.4342629482071713, 'crest_accuracy': 0.660377358490566, 'crest_precision': 0.6847826086956522, 'crest_recall': 0.9, 'crest_f1': 0.7777777777777778}","{'closeness': 0.5613648871766648, 'similarity_metrics': 0.76280993, 'contradiction': 0.9043391346931458, 'evidence_accuracy': 0.48429319371727747, 'evidence_precision': 0.36398467432950193, 'evidence_recall': 0.753968253968254, 'evidence_f1': 0.4909560723514212, 'crest_accuracy': 0.6132075471698113, 'crest_precision': 0.6866952789699571, 'crest_recall': 0.7619047619047619, 'crest_f1': 0.7223476297968396}","{'closeness': 0.5261419922949917, 'similarity_metrics': 0.7388351, 'contradiction': 0.9410834312438965, 'evidence_accuracy': 0.46335078534031415, 'evidence_precision': 0.3574007220216607, 'evidence_recall': 0.7857142857142857, 'evidence_f1': 0.4913151364764268, 'crest_accuracy': 0.6289308176100629, 'crest_precision': 0.6900826446280992, 'crest_recall': 0.7952380952380952, 'crest_f1': 0.7389380530973452}"
"{'closeness': 0.9290523045054376, 'similarity_metrics': 0.9034399, 'contradiction': 0.9650092124938965, 'evidence_accuracy': 0.656479217603912, 'evidence_precision': 0.6527777777777778, 'evidence_recall': 0.1551155115511551, 'evidence_f1': 0.25066666666666665, 'crest_accuracy': 0.4810810810810811, 'crest_precision': 0.8181818181818182, 'crest_recall': 0.1267605633802817, 'crest_f1': 0.21951219512195125}","{'closeness': 0.9419989642672191, 'similarity_metrics': 0.90220475, 'contradiction': 0.9385327696800232, 'evidence_accuracy': 0.6589242053789731, 'evidence_precision': 0.6818181818181818, 'evidence_recall': 0.1485148514851485, 'evidence_f1': 0.2439024390243902, 'crest_accuracy': 0.4837837837837838, 'crest_precision': 0.84375, 'crest_recall': 0.1267605633802817, 'crest_f1': 0.2204081632653061}","{'closeness': 0.9205075090626619, 'similarity_metrics': 0.8668286, 'contradiction': 0.9045383334159851, 'evidence_accuracy': 0.5244498777506112, 'evidence_precision': 0.36217948717948717, 'evidence_recall': 0.37293729372937295, 'evidence_f1': 0.367479674796748, 'crest_accuracy': 0.5, 'crest_precision': 0.5909090909090909, 'crest_recall': 0.4272300469483568, 'crest_f1': 0.4959128065395095}","{'closeness': 0.972035214914552, 'similarity_metrics': 0.90149546, 'contradiction': 0.9286591410636902, 'evidence_accuracy': 0.6454767726161369, 'evidence_precision': 0.696969696969697, 'evidence_recall': 0.07590759075907591, 'evidence_f1': 0.13690476190476192, 'crest_accuracy': 0.46216216216216216, 'crest_precision': 0.8181818181818182, 'crest_recall': 0.08450704225352113, 'crest_f1': 0.15319148936170213}","{'closeness': 0.9205075090626619, 'similarity_metrics': 0.8668286, 'contradiction': 0.9045383334159851, 'evidence_accuracy': 0.5244498777506112, 'evidence_precision': 0.36217948717948717, 'evidence_recall': 0.37293729372937295, 'evidence_f1': 0.367479674796748, 'crest_accuracy': 0.5, 'crest_precision': 0.5909090909090909, 'crest_recall': 0.4272300469483568, 'crest_f1': 0.4959128065395095}","{'closeness': 0.92180217503884, 'similarity_metrics': 0.8668286, 'contradiction': 0.9128766655921936, 'evidence_accuracy': 0.5354523227383863, 'evidence_precision': 0.37293729372937295, 'evidence_recall': 0.37293729372937295, 'evidence_f1': 0.37293729372937295, 'crest_accuracy': 0.5027027027027027, 'crest_precision': 0.5986394557823129, 'crest_recall': 0.4131455399061033, 'crest_f1': 0.48888888888888893}"
"{'closeness': 0.9527696793002915, 'similarity_metrics': 0.996646, 'contradiction': 0.1640428900718689, 'evidence_accuracy': 0.484593837535014, 'evidence_precision': 0.8421052631578947, 'evidence_recall': 0.08121827411167512, 'evidence_f1': 0.14814814814814814, 'crest_accuracy': 0.4257703081232493, 'crest_precision': 0.7894736842105263, 'crest_recall': 0.06944444444444445, 'crest_f1': 0.12765957446808512}","{'closeness': 0.9446064139941691, 'similarity_metrics': 0.99574125, 'contradiction': 0.5923718214035034, 'evidence_accuracy': 0.48739495798319327, 'evidence_precision': 0.8181818181818182, 'evidence_recall': 0.09137055837563451, 'evidence_f1': 0.1643835616438356, 'crest_accuracy': 0.42857142857142855, 'crest_precision': 0.7727272727272727, 'crest_recall': 0.0787037037037037, 'crest_f1': 0.14285714285714285}","{'closeness': 0.25539358600583095, 'similarity_metrics': 0.90285295, 'contradiction': 0.7435151934623718, 'evidence_accuracy': 0.5462184873949579, 'evidence_precision': 0.5510204081632653, 'evidence_recall': 0.9593908629441624, 'evidence_f1': 0.7000000000000001, 'crest_accuracy': 0.6218487394957983, 'crest_precision': 0.6180758017492711, 'crest_recall': 0.9814814814814815, 'crest_f1': 0.7584973166368515}","{'closeness': 0.6180758017492711, 'similarity_metrics': 0.9779196, 'contradiction': 0.9713351726531982, 'evidence_accuracy': 0.5350140056022409, 'evidence_precision': 0.5617529880478087, 'evidence_recall': 0.7157360406091371, 'evidence_f1': 0.6294642857142857, 'crest_accuracy': 0.5770308123249299, 'crest_precision': 0.6294820717131474, 'crest_recall': 0.7314814814814815, 'crest_f1': 0.6766595289079229}","{'closeness': 0.9298345693097547, 'similarity_metrics': 0.9224331, 'contradiction': 0.1719280630350113, 'evidence_accuracy': 0.49299719887955185, 'evidence_precision': 0.8076923076923077, 'evidence_recall': 0.1065989847715736, 'evidence_f1': 0.18834080717488788, 'crest_accuracy': 0.42857142857142855, 'crest_precision': 0.7307692307692307, 'crest_recall': 0.08796296296296297, 'crest_f1': 0.15702479338842976}","{'closeness': 0.639067055393586, 'similarity_metrics': 0.95291084, 'contradiction': 0.3849511444568634, 'evidence_accuracy': 0.44537815126050423, 'evidence_precision': 0.4975124378109453, 'evidence_recall': 0.5076142131979695, 'evidence_f1': 0.5025125628140704, 'crest_accuracy': 0.5322128851540616, 'crest_precision': 0.6218905472636815, 'crest_recall': 0.5787037037037037, 'crest_f1': 0.5995203836930455}"
"{'closeness': 0.9389830508474576, 'similarity_metrics': 0.9781195, 'contradiction': 0.9934093952178955, 'evidence_accuracy': 0.6996047430830039, 'evidence_precision': 0.875, 'evidence_recall': 0.1590909090909091, 'evidence_f1': 0.26923076923076916, 'crest_accuracy': 0.5019762845849802, 'crest_precision': 0.875, 'crest_recall': 0.10144927536231885, 'crest_f1': 0.18181818181818182}","{'closeness': 0.8245762711864406, 'similarity_metrics': 0.96020025, 'contradiction': 0.9924920201301575, 'evidence_accuracy': 0.7707509881422925, 'evidence_precision': 0.6744186046511628, 'evidence_recall': 0.6590909090909091, 'evidence_f1': 0.6666666666666666, 'crest_accuracy': 0.6284584980237155, 'crest_precision': 0.7558139534883721, 'crest_recall': 0.47101449275362317, 'crest_f1': 0.5803571428571429}","{'closeness': 0.7813559322033898, 'similarity_metrics': 0.959068, 'contradiction': 0.9941588640213013, 'evidence_accuracy': 0.7351778656126482, 'evidence_precision': 0.6329113924050633, 'evidence_recall': 0.5681818181818182, 'evidence_f1': 0.5988023952095809, 'crest_accuracy': 0.6007905138339921, 'crest_precision': 0.7341772151898734, 'crest_recall': 0.42028985507246375, 'crest_f1': 0.5345622119815668}","{'closeness': 0.8296610169491525, 'similarity_metrics': 0.95616317, 'contradiction': 0.9940369129180908, 'evidence_accuracy': 0.8142292490118577, 'evidence_precision': 0.8727272727272727, 'evidence_recall': 0.5454545454545454, 'evidence_f1': 0.6713286713286714, 'crest_accuracy': 0.5533596837944664, 'crest_precision': 0.7272727272727273, 'crest_recall': 0.2898550724637681, 'crest_f1': 0.4145077720207254}","{'closeness': 0.8364406779661017, 'similarity_metrics': 0.9408506, 'contradiction': 0.9920924305915833, 'evidence_accuracy': 0.6877470355731226, 'evidence_precision': 0.5652173913043478, 'evidence_recall': 0.4431818181818182, 'evidence_f1': 0.4968152866242038, 'crest_accuracy': 0.5691699604743083, 'crest_precision': 0.7101449275362319, 'crest_recall': 0.35507246376811596, 'crest_f1': 0.47342995169082125}","{'closeness': 0.7254237288135593, 'similarity_metrics': 0.91417754, 'contradiction': 0.9941646456718445, 'evidence_accuracy': 0.6047430830039525, 'evidence_precision': 0.4552238805970149, 'evidence_recall': 0.6931818181818182, 'evidence_f1': 0.5495495495495496, 'crest_accuracy': 0.6363636363636364, 'crest_precision': 0.6716417910447762, 'crest_recall': 0.6521739130434783, 'crest_f1': 0.6617647058823529}"
"{'closeness': 0.9591002044989775, 'similarity_metrics': 0.99536103, 'contradiction': 0.7912774682044983, 'evidence_accuracy': 0.7440559440559441, 'evidence_precision': 0.8064516129032258, 'evidence_recall': 0.12376237623762376, 'evidence_f1': 0.21459227467811157, 'crest_accuracy': 0.39755351681957185, 'crest_precision': 1.0, 'crest_recall': 0.03902439024390244, 'crest_f1': 0.07511737089201878}","{'closeness': 0.8319696084161309, 'similarity_metrics': 0.9544346, 'contradiction': 0.9902709722518921, 'evidence_accuracy': 0.5132867132867133, 'evidence_precision': 0.2914285714285714, 'evidence_recall': 0.504950495049505, 'evidence_f1': 0.3695652173913044, 'crest_accuracy': 0.5657492354740061, 'crest_precision': 0.6820809248554913, 'crest_recall': 0.5756097560975609, 'crest_f1': 0.6243386243386242}","{'closeness': 0.27790765634132086, 'similarity_metrics': 0.90165436, 'contradiction': 0.03835370019078255, 'evidence_accuracy': 0.2517482517482518, 'evidence_precision': 0.26907073509015256, 'evidence_recall': 0.9603960396039604, 'evidence_f1': 0.42036836403033584, 'crest_accuracy': 0.5259938837920489, 'crest_precision': 0.5787781350482315, 'crest_recall': 0.8823529411764706, 'crest_f1': 0.6990291262135921}","{'closeness': 0.8845704266510812, 'similarity_metrics': 0.9581789, 'contradiction': 0.9480961561203003, 'evidence_accuracy': 0.46013986013986014, 'evidence_precision': 0.2566137566137566, 'evidence_recall': 0.4801980198019802, 'evidence_f1': 0.33448275862068966, 'crest_accuracy': 0.5137614678899083, 'crest_precision': 0.6210526315789474, 'crest_recall': 0.5756097560975609, 'crest_f1': 0.5974683544303797}","{'closeness': 0.8991817650496785, 'similarity_metrics': 0.9746388, 'contradiction': 0.9880177974700928, 'evidence_accuracy': 0.7188811188811188, 'evidence_precision': 0.5070422535211268, 'evidence_recall': 0.1782178217821782, 'evidence_f1': 0.26373626373626374, 'crest_accuracy': 0.44036697247706424, 'crest_precision': 0.8235294117647058, 'crest_recall': 0.13658536585365855, 'crest_f1': 0.23430962343096237}","{'closeness': 0.8670368205727644, 'similarity_metrics': 0.9604219, 'contradiction': 0.984158992767334, 'evidence_accuracy': 0.45314685314685316, 'evidence_precision': 0.248, 'evidence_recall': 0.4603960396039604, 'evidence_f1': 0.32235701906412484, 'crest_accuracy': 0.5107033639143731, 'crest_precision': 0.6178010471204188, 'crest_recall': 0.5756097560975609, 'crest_f1': 0.5959595959595959}"
"{'closeness': 0.9512808783165599, 'similarity_metrics': 0.98451686, 'contradiction': 0.8277141451835632, 'evidence_accuracy': 0.7505330490405118, 'evidence_precision': 0.6037735849056604, 'evidence_recall': 0.1306122448979592, 'evidence_f1': 0.21476510067114096, 'crest_accuracy': 0.42328042328042326, 'crest_precision': 1.0, 'crest_recall': 0.035398230088495575, 'crest_f1': 0.06837606837606837}","{'closeness': 0.9188014638609332, 'similarity_metrics': 0.9848397, 'contradiction': 0.03104162961244583, 'evidence_accuracy': 0.7547974413646056, 'evidence_precision': 0.5742574257425742, 'evidence_recall': 0.23673469387755103, 'evidence_f1': 0.33526011560693636, 'crest_accuracy': 0.4074074074074074, 'crest_precision': 0.75, 'crest_recall': 0.01327433628318584, 'crest_f1': 0.02608695652173913}","{'closeness': 0.7353613906678865, 'similarity_metrics': 0.9516624, 'contradiction': 0.769636332988739, 'evidence_accuracy': 0.488272921108742, 'evidence_precision': 0.2851919561243144, 'evidence_recall': 0.636734693877551, 'evidence_f1': 0.39393939393939387, 'crest_accuracy': 0.47354497354497355, 'crest_precision': 0.5686274509803921, 'crest_recall': 0.5110132158590308, 'crest_f1': 0.5382830626450116}","{'closeness': 0.9242909423604757, 'similarity_metrics': 0.98219466, 'contradiction': 0.9839075803756714, 'evidence_accuracy': 0.5362473347547975, 'evidence_precision': 0.26941747572815533, 'evidence_recall': 0.4530612244897959, 'evidence_f1': 0.3378995433789954, 'crest_accuracy': 0.4708994708994709, 'crest_precision': 0.5894039735099338, 'crest_recall': 0.3920704845814978, 'crest_f1': 0.4708994708994709}","{'closeness': 0.9885635864592863, 'similarity_metrics': 0.98552537, 'contradiction': 0.012052849866449833, 'evidence_accuracy': 0.7473347547974414, 'evidence_precision': 0.8333333333333334, 'evidence_recall': 0.04081632653061224, 'evidence_f1': 0.07782101167315174, 'crest_accuracy': 0.4074074074074074, 'crest_precision': 1.0, 'crest_recall': 0.008849557522123894, 'crest_f1': 0.017543859649122806}","{'closeness': 0.777676120768527, 'similarity_metrics': 0.8373207, 'contradiction': 0.17322014272212982, 'evidence_accuracy': 0.5170575692963753, 'evidence_precision': 0.29766536964980544, 'evidence_recall': 0.6244897959183674, 'evidence_f1': 0.40316205533596844, 'crest_accuracy': 0.48677248677248675, 'crest_precision': 0.5964912280701754, 'crest_recall': 0.44933920704845814, 'crest_f1': 0.5125628140703516}"
"{'closeness': 0.9487836107554417, 'similarity_metrics': 0.998255, 'contradiction': 0.9498381018638611, 'evidence_accuracy': 0.7075471698113207, 'evidence_precision': 0.696969696969697, 'evidence_recall': 0.18930041152263374, 'evidence_f1': 0.29773462783171517, 'crest_accuracy': 0.4173669467787115, 'crest_precision': 0.9523809523809523, 'crest_recall': 0.0881057268722467, 'crest_f1': 0.16129032258064516}","{'closeness': 0.8850192061459667, 'similarity_metrics': 0.99803615, 'contradiction': 0.9784948825836182, 'evidence_accuracy': 0.7021563342318059, 'evidence_precision': 0.5964912280701754, 'evidence_recall': 0.27983539094650206, 'evidence_f1': 0.380952380952381, 'crest_accuracy': 0.4173669467787115, 'crest_precision': 1.0, 'crest_recall': 0.07964601769911504, 'crest_f1': 0.1475409836065574}","{'closeness': 0.8770806658130602, 'similarity_metrics': 0.9978897, 'contradiction': 0.9910863041877747, 'evidence_accuracy': 0.5215633423180593, 'evidence_precision': 0.34864864864864864, 'evidence_recall': 0.5308641975308642, 'evidence_f1': 0.42088091353996737, 'crest_accuracy': 0.49859943977591037, 'crest_precision': 0.6441717791411042, 'crest_recall': 0.4646017699115044, 'crest_f1': 0.5398457583547558}","{'closeness': 0.8248399487836108, 'similarity_metrics': 0.98683953, 'contradiction': 0.9897066354751587, 'evidence_accuracy': 0.49865229110512127, 'evidence_precision': 0.3383458646616541, 'evidence_recall': 0.5555555555555556, 'evidence_f1': 0.42056074766355134, 'crest_accuracy': 0.5042016806722689, 'crest_precision': 0.6432748538011696, 'crest_recall': 0.48672566371681414, 'crest_f1': 0.5541561712846347}","{'closeness': 0.9306017925736235, 'similarity_metrics': 0.99799734, 'contradiction': 0.9910863041877747, 'evidence_accuracy': 0.5256064690026954, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 0.448559670781893, 'evidence_f1': 0.3824561403508772, 'crest_accuracy': 0.49859943977591037, 'crest_precision': 0.6441717791411042, 'crest_recall': 0.4646017699115044, 'crest_f1': 0.5398457583547558}","{'closeness': 0.21049935979513446, 'similarity_metrics': 0.90964675, 'contradiction': 0.9806467294692993, 'evidence_accuracy': 0.35983827493261455, 'evidence_precision': 0.33707865168539325, 'evidence_recall': 0.9876543209876543, 'evidence_f1': 0.5026178010471205, 'crest_accuracy': 0.6498599439775911, 'crest_precision': 0.6563467492260062, 'crest_recall': 0.9380530973451328, 'crest_f1': 0.7723132969034608}"
"{'closeness': 0.8924710790821164, 'similarity_metrics': 0.9900173, 'contradiction': 0.19996722042560577, 'evidence_accuracy': 0.816888045540797, 'evidence_precision': 0.5948275862068966, 'evidence_recall': 0.3209302325581395, 'evidence_f1': 0.4169184290030211, 'crest_accuracy': 0.4533678756476684, 'crest_precision': 0.8333333333333334, 'crest_recall': 0.045662100456621, 'crest_f1': 0.08658008658008658}","{'closeness': 0.8934193058979708, 'similarity_metrics': 0.9900929, 'contradiction': 0.7133597135543823, 'evidence_accuracy': 0.7998102466793169, 'evidence_precision': 0.5142857142857142, 'evidence_recall': 0.33488372093023255, 'evidence_f1': 0.40563380281690137, 'crest_accuracy': 0.4637305699481865, 'crest_precision': 0.7142857142857143, 'crest_recall': 0.091324200913242, 'crest_f1': 0.16194331983805668}","{'closeness': 0.9029015740565143, 'similarity_metrics': 0.993994, 'contradiction': 0.23196490108966827, 'evidence_accuracy': 0.6299810246679317, 'evidence_precision': 0.2691292875989446, 'evidence_recall': 0.4744186046511628, 'evidence_f1': 0.3434343434343434, 'crest_accuracy': 0.5233160621761658, 'crest_precision': 0.6422764227642277, 'crest_recall': 0.3607305936073059, 'crest_f1': 0.4619883040935672}","{'closeness': 0.9085909349516404, 'similarity_metrics': 0.9953822, 'contradiction': 0.7292967438697815, 'evidence_accuracy': 0.8206831119544592, 'evidence_precision': 0.6160714285714286, 'evidence_recall': 0.3209302325581395, 'evidence_f1': 0.4220183486238532, 'crest_accuracy': 0.4585492227979275, 'crest_precision': 0.9166666666666666, 'crest_recall': 0.0502283105022831, 'crest_f1': 0.09523809523809525}","{'closeness': 0.9023326379670017, 'similarity_metrics': 0.99341637, 'contradiction': 0.5093993544578552, 'evidence_accuracy': 0.8235294117647058, 'evidence_precision': 0.6283185840707964, 'evidence_recall': 0.3302325581395349, 'evidence_f1': 0.43292682926829273, 'crest_accuracy': 0.46113989637305697, 'crest_precision': 0.8666666666666667, 'crest_recall': 0.0593607305936073, 'crest_f1': 0.11111111111111112}","{'closeness': 0.8862127820974777, 'similarity_metrics': 0.9927522, 'contradiction': 0.5658944249153137, 'evidence_accuracy': 0.6148007590132827, 'evidence_precision': 0.2687651331719128, 'evidence_recall': 0.5162790697674419, 'evidence_f1': 0.3535031847133757, 'crest_accuracy': 0.5284974093264249, 'crest_precision': 0.635036496350365, 'crest_recall': 0.3972602739726027, 'crest_f1': 0.4887640449438202}"
"{'closeness': 0.913434247871334, 'similarity_metrics': 0.9816302, 'contradiction': 0.9971069693565369, 'evidence_accuracy': 0.6510538641686182, 'evidence_precision': 0.7619047619047619, 'evidence_recall': 0.1871345029239766, 'evidence_f1': 0.3004694835680751, 'crest_accuracy': 0.47714285714285715, 'crest_precision': 0.8888888888888888, 'crest_recall': 0.15165876777251186, 'crest_f1': 0.25910931174089075}","{'closeness': 0.9214758751182592, 'similarity_metrics': 0.9896419, 'contradiction': 0.9962781071662903, 'evidence_accuracy': 0.5058548009367682, 'evidence_precision': 0.3795180722891566, 'evidence_recall': 0.3684210526315789, 'evidence_f1': 0.37388724035608306, 'crest_accuracy': 0.5028571428571429, 'crest_precision': 0.6390977443609023, 'crest_recall': 0.4028436018957346, 'crest_f1': 0.49418604651162795}","{'closeness': 0.8708609271523179, 'similarity_metrics': 0.9714389, 'contradiction': 0.9968738555908203, 'evidence_accuracy': 0.49882903981264637, 'evidence_precision': 0.3862433862433862, 'evidence_recall': 0.4269005847953216, 'evidence_f1': 0.4055555555555555, 'crest_accuracy': 0.5171428571428571, 'crest_precision': 0.64, 'crest_recall': 0.4549763033175355, 'crest_f1': 0.5318559556786704}","{'closeness': 0.7667928098391674, 'similarity_metrics': 0.97530866, 'contradiction': 0.9967871904373169, 'evidence_accuracy': 0.594847775175644, 'evidence_precision': 0.4956140350877193, 'evidence_recall': 0.6608187134502924, 'evidence_f1': 0.5664160401002506, 'crest_accuracy': 0.5742857142857143, 'crest_precision': 0.6666666666666666, 'crest_recall': 0.5876777251184834, 'crest_f1': 0.6246851385390428}","{'closeness': 0.9394512771996215, 'similarity_metrics': 0.9765588, 'contradiction': 0.9946802258491516, 'evidence_accuracy': 0.48243559718969553, 'evidence_precision': 0.3475609756097561, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.34029850746268653, 'crest_accuracy': 0.49714285714285716, 'crest_precision': 0.6277372262773723, 'crest_recall': 0.4075829383886256, 'crest_f1': 0.4942528735632185}","{'closeness': 0.6376537369914853, 'similarity_metrics': 0.93356323, 'contradiction': 0.9965391159057617, 'evidence_accuracy': 0.6791569086651054, 'evidence_precision': 0.5669291338582677, 'evidence_recall': 0.8421052631578947, 'evidence_f1': 0.6776470588235295, 'crest_accuracy': 0.5514285714285714, 'crest_precision': 0.640625, 'crest_recall': 0.5829383886255924, 'crest_f1': 0.6104218362282878}"
