baseline,e-persona-you,e-persona-human,e-implcit-target,e-implcit-target-e-persona-you,e-implcit-target-e-persona-human,TextFoolerJin2019
,,,,,,
,,,,,,"{'distance': 0.4814814814814815, 'evidence_accuracy': 0.5454545454545454, 'evidence_precision': 0.42857142857142855, 'evidence_recall': 0.75, 'evidence_f1': 0.5454545454545454, 'similarity_metrics': np.float32(0.7180516), 'contradiction': 0.4882294535636902}"
,,,,,,
"{'distance': 0.30000000000000004, 'evidence_accuracy': 0.5454545454545454, 'evidence_precision': 0.25, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.28571428571428575, 'similarity_metrics': np.float32(0.9230836), 'contradiction': 0.000457380578154698}",,,,,,"{'distance': 0.46153846153846156, 'evidence_accuracy': 0.7272727272727273, 'evidence_precision': 0.5, 'evidence_recall': 0.6666666666666666, 'evidence_f1': 0.5714285714285715, 'similarity_metrics': np.float32(0.7252128), 'contradiction': 0.0010081978980451822}"
,"{'distance': 0.46153846153846156, 'evidence_accuracy': 0.6153846153846154, 'evidence_precision': 0.16666666666666666, 'evidence_recall': 1.0, 'evidence_f1': 0.2857142857142857, 'similarity_metrics': np.float32(0.6689126), 'contradiction': 0.9815457463264465}","{'distance': 0.46153846153846156, 'evidence_accuracy': 0.6153846153846154, 'evidence_precision': 0.16666666666666666, 'evidence_recall': 1.0, 'evidence_f1': 0.2857142857142857, 'similarity_metrics': np.float32(0.6689126), 'contradiction': 0.9815457463264465}","{'distance': 0.46153846153846156, 'evidence_accuracy': 0.6153846153846154, 'evidence_precision': 0.16666666666666666, 'evidence_recall': 1.0, 'evidence_f1': 0.2857142857142857, 'similarity_metrics': np.float32(0.6689126), 'contradiction': 0.9815457463264465}",,,
,,,"{'distance': 0.41666666666666663, 'evidence_accuracy': 0.6153846153846154, 'evidence_precision': 0.5, 'evidence_recall': 0.6, 'evidence_f1': 0.5454545454545454, 'similarity_metrics': np.float32(0.60904413), 'contradiction': 0.9877853393554688}","{'distance': 0.1428571428571429, 'evidence_accuracy': 0.6923076923076923, 'evidence_precision': 1.0, 'evidence_recall': 0.2, 'evidence_f1': 0.33333333333333337, 'similarity_metrics': np.float32(0.7415978), 'contradiction': 0.9861261248588562}","{'distance': 0.41666666666666663, 'evidence_accuracy': 0.6153846153846154, 'evidence_precision': 0.5, 'evidence_recall': 0.6, 'evidence_f1': 0.5454545454545454, 'similarity_metrics': np.float32(0.60904413), 'contradiction': 0.9877853393554688}","{'distance': 0.22580645161290325, 'evidence_accuracy': 0.7692307692307693, 'evidence_precision': 1.0, 'evidence_recall': 0.4, 'evidence_f1': 0.5714285714285715, 'similarity_metrics': np.float32(0.77206224), 'contradiction': 0.8906950950622559}"
,,,,,,
,,,"{'distance': 0.05882352941176472, 'evidence_accuracy': 0.625, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.6576618), 'contradiction': 0.9970884919166565}","{'distance': 0.05882352941176472, 'evidence_accuracy': 0.625, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.6576618), 'contradiction': 0.9970884919166565}","{'distance': 0.19999999999999996, 'evidence_accuracy': 0.75, 'evidence_precision': 0.5, 'evidence_recall': 0.5, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.9197028), 'contradiction': 0.000555569538846612}","{'distance': 0.33333333333333337, 'evidence_accuracy': 0.25, 'evidence_precision': 0.16666666666666666, 'evidence_recall': 0.5, 'evidence_f1': 0.25, 'similarity_metrics': np.float32(0.7713152), 'contradiction': 0.19594308733940125}"
,,,,,,
,,,,,,"{'distance': 0.2592592592592593, 'evidence_accuracy': 0.18181818181818182, 'evidence_precision': 0.16666666666666666, 'evidence_recall': 0.2, 'evidence_f1': 0.1818181818181818, 'similarity_metrics': np.float32(0.7139664), 'contradiction': 0.9978450536727905}"
