baseline,e-persona-you,e-persona-human,e-implcit-target,e-chain-of-thought,e-chat-history
"{'closeness': 0.9488279960382965, 'similarity_metrics': 0.95147204, 'contradiction': 0.9625823497772217, 'evidence_accuracy': 0.711038961038961, 'evidence_precision': 0.575, 'evidence_recall': 0.125, 'evidence_f1': 0.20535714285714285, 'crest_accuracy': 0.4179566563467492, 'crest_precision': 0.9090909090909091, 'crest_recall': 0.050761421319796954, 'crest_f1': 0.09615384615384615}","{'closeness': 0.9041230366492147, 'similarity_metrics': 0.9405747, 'contradiction': 0.9932912588119507, 'evidence_accuracy': 0.6834415584415584, 'evidence_precision': 0.42028985507246375, 'evidence_recall': 0.15760869565217392, 'evidence_f1': 0.22924901185770752, 'crest_accuracy': 0.42724458204334365, 'crest_precision': 0.7727272727272727, 'crest_recall': 0.08629441624365482, 'crest_f1': 0.1552511415525114}","{'closeness': 0.9072368421052631, 'similarity_metrics': 0.93425006, 'contradiction': 0.8800473809242249, 'evidence_accuracy': 0.6964285714285714, 'evidence_precision': 0.47619047619047616, 'evidence_recall': 0.16304347826086957, 'evidence_f1': 0.24291497975708504, 'crest_accuracy': 0.43034055727554177, 'crest_precision': 0.782608695652174, 'crest_recall': 0.09137055837563451, 'crest_f1': 0.16363636363636364}","{'closeness': 0.7589963684384285, 'similarity_metrics': 0.93318504, 'contradiction': 0.9969750642776489, 'evidence_accuracy': 0.42045454545454547, 'evidence_precision': 0.2507204610951009, 'evidence_recall': 0.47282608695652173, 'evidence_f1': 0.3276836158192091, 'crest_accuracy': 0.5758513931888545, 'crest_precision': 0.6724137931034483, 'crest_recall': 0.5939086294416244, 'crest_f1': 0.6307277628032345}","{'closeness': 0.9035985473753714, 'similarity_metrics': 0.95767087, 'contradiction': 0.876429557800293, 'evidence_accuracy': 0.7175324675324676, 'evidence_precision': 0.5735294117647058, 'evidence_recall': 0.21195652173913043, 'evidence_f1': 0.30952380952380953, 'crest_accuracy': 0.44272445820433437, 'crest_precision': 0.84, 'crest_recall': 0.1065989847715736, 'crest_f1': 0.1891891891891892}","{'closeness': 0.6153846153846154, 'similarity_metrics': 0.9749445, 'contradiction': 0.8787559866905212, 'evidence_accuracy': 0.676948051948052, 'evidence_precision': 0.47191011235955055, 'evidence_recall': 0.6847826086956522, 'evidence_f1': 0.5587583148558759, 'crest_accuracy': 0.4551083591331269, 'crest_precision': 1.0, 'crest_recall': 0.1065989847715736, 'crest_f1': 0.1926605504587156}"
"{'closeness': 0.4711062190423776, 'similarity_metrics': 0.8180943, 'contradiction': 0.5817567110061646, 'evidence_accuracy': 0.4031413612565445, 'evidence_precision': 0.34355828220858897, 'evidence_recall': 0.8888888888888888, 'evidence_f1': 0.4955752212389381, 'crest_accuracy': 0.6666666666666666, 'crest_precision': 0.6857142857142857, 'crest_recall': 0.9142857142857143, 'crest_f1': 0.7836734693877551}","{'closeness': 0.36158503026967526, 'similarity_metrics': 0.84481263, 'contradiction': 0.12508629262447357, 'evidence_accuracy': 0.418848167539267, 'evidence_precision': 0.36127167630057805, 'evidence_recall': 0.9920634920634921, 'evidence_f1': 0.5296610169491526, 'crest_accuracy': 0.7012578616352201, 'crest_precision': 0.7031802120141343, 'crest_recall': 0.9476190476190476, 'crest_f1': 0.8073022312373226}","{'closeness': 0.4358833241607044, 'similarity_metrics': 0.88416564, 'contradiction': 0.17190596461296082, 'evidence_accuracy': 0.3717277486910995, 'evidence_precision': 0.33035714285714285, 'evidence_recall': 0.8809523809523809, 'evidence_f1': 0.48051948051948057, 'crest_accuracy': 0.6415094339622641, 'crest_precision': 0.6764705882352942, 'crest_recall': 0.8761904761904762, 'crest_f1': 0.7634854771784232}","{'closeness': 0.6763896532746285, 'similarity_metrics': 0.85680664, 'contradiction': 0.9856207966804504, 'evidence_accuracy': 0.450261780104712, 'evidence_precision': 0.3346456692913386, 'evidence_recall': 0.6746031746031746, 'evidence_f1': 0.4473684210526316, 'crest_accuracy': 0.660377358490566, 'crest_precision': 0.7297297297297297, 'crest_recall': 0.7714285714285715, 'crest_f1': 0.75}","{'closeness': 0.7176664832140891, 'similarity_metrics': 0.87536657, 'contradiction': 0.9778008460998535, 'evidence_accuracy': 0.387434554973822, 'evidence_precision': 0.28225806451612906, 'evidence_recall': 0.5555555555555556, 'evidence_f1': 0.37433155080213903, 'crest_accuracy': 0.5534591194968553, 'crest_precision': 0.6574074074074074, 'crest_recall': 0.6761904761904762, 'crest_f1': 0.6666666666666667}","{'closeness': 0.5376995046780407, 'similarity_metrics': 0.7756575, 'contradiction': 0.7885578870773315, 'evidence_accuracy': 0.38219895287958117, 'evidence_precision': 0.3225806451612903, 'evidence_recall': 0.7936507936507936, 'evidence_f1': 0.4587155963302752, 'crest_accuracy': 0.6698113207547169, 'crest_precision': 0.6909090909090909, 'crest_recall': 0.9047619047619048, 'crest_f1': 0.7835051546391754}"
"{'closeness': 0.8612118073537027, 'similarity_metrics': 0.8216643, 'contradiction': 0.9886953234672546, 'evidence_accuracy': 0.530562347188264, 'evidence_precision': 0.3925729442970822, 'evidence_recall': 0.4884488448844885, 'evidence_f1': 0.43529411764705883, 'crest_accuracy': 0.5378378378378378, 'crest_precision': 0.6166666666666667, 'crest_recall': 0.5211267605633803, 'crest_f1': 0.564885496183206}","{'closeness': 0.8606939409632315, 'similarity_metrics': 0.81927264, 'contradiction': 0.9923850297927856, 'evidence_accuracy': 0.5330073349633252, 'evidence_precision': 0.39577836411609496, 'evidence_recall': 0.49504950495049505, 'evidence_f1': 0.439882697947214, 'crest_accuracy': 0.5378378378378378, 'crest_precision': 0.6166666666666667, 'crest_recall': 0.5211267605633803, 'crest_f1': 0.564885496183206}","{'closeness': 0.8562920766442258, 'similarity_metrics': 0.81403685, 'contradiction': 0.9887565970420837, 'evidence_accuracy': 0.5317848410757946, 'evidence_precision': 0.39473684210526316, 'evidence_recall': 0.49504950495049505, 'evidence_f1': 0.43923865300146414, 'crest_accuracy': 0.5405405405405406, 'crest_precision': 0.6187845303867403, 'crest_recall': 0.5258215962441315, 'crest_f1': 0.5685279187817258}","{'closeness': 0.8591403417918178, 'similarity_metrics': 0.81557167, 'contradiction': 0.9906009435653687, 'evidence_accuracy': 0.5220048899755502, 'evidence_precision': 0.3865979381443299, 'evidence_recall': 0.49504950495049505, 'evidence_f1': 0.43415340086830684, 'crest_accuracy': 0.5432432432432432, 'crest_precision': 0.6208791208791209, 'crest_recall': 0.5305164319248826, 'crest_f1': 0.5721518987341773}","{'closeness': 0.9036768513723459, 'similarity_metrics': 0.89080334, 'contradiction': 0.9891796112060547, 'evidence_accuracy': 0.6479217603911981, 'evidence_precision': 0.5806451612903226, 'evidence_recall': 0.1782178217821782, 'evidence_f1': 0.2727272727272727, 'crest_accuracy': 0.4918918918918919, 'crest_precision': 0.8048780487804879, 'crest_recall': 0.15492957746478872, 'crest_f1': 0.25984251968503935}","{'closeness': 0.8834800621439669, 'similarity_metrics': 0.857978, 'contradiction': 0.9899124503135681, 'evidence_accuracy': 0.6601466992665037, 'evidence_precision': 0.6190476190476191, 'evidence_recall': 0.2145214521452145, 'evidence_f1': 0.31862745098039214, 'crest_accuracy': 0.5027027027027027, 'crest_precision': 0.7959183673469388, 'crest_recall': 0.18309859154929578, 'crest_f1': 0.2977099236641222}"
"{'closeness': 0.6886297376093294, 'similarity_metrics': 0.94745183, 'contradiction': 0.03390299156308174, 'evidence_accuracy': 0.4957983193277311, 'evidence_precision': 0.5414634146341464, 'evidence_recall': 0.5634517766497462, 'evidence_f1': 0.5522388059701493, 'crest_accuracy': 0.5434173669467787, 'crest_precision': 0.6292682926829268, 'crest_recall': 0.5972222222222222, 'crest_f1': 0.6128266033254156}","{'closeness': 0.39650145772594747, 'similarity_metrics': 0.90492564, 'contradiction': 0.030888613313436508, 'evidence_accuracy': 0.5854341736694678, 'evidence_precision': 0.5777777777777777, 'evidence_recall': 0.9238578680203046, 'evidence_f1': 0.7109375, 'crest_accuracy': 0.6218487394957983, 'crest_precision': 0.6285714285714286, 'crest_recall': 0.9166666666666666, 'crest_f1': 0.7457627118644068}","{'closeness': 0.39883381924198247, 'similarity_metrics': 0.92453814, 'contradiction': 0.31512561440467834, 'evidence_accuracy': 0.5770308123249299, 'evidence_precision': 0.571875, 'evidence_recall': 0.9289340101522843, 'evidence_f1': 0.7079303675048356, 'crest_accuracy': 0.6134453781512605, 'crest_precision': 0.621875, 'crest_recall': 0.9212962962962963, 'crest_f1': 0.7425373134328358}","{'closeness': 0.5201166180758017, 'similarity_metrics': 0.9425435, 'contradiction': 0.9100425839424133, 'evidence_accuracy': 0.5574229691876751, 'evidence_precision': 0.5693950177935944, 'evidence_recall': 0.8121827411167513, 'evidence_f1': 0.6694560669456067, 'crest_accuracy': 0.6274509803921569, 'crest_precision': 0.6476868327402135, 'crest_recall': 0.8425925925925926, 'crest_f1': 0.7323943661971831}","{'closeness': 0.8413994169096211, 'similarity_metrics': 0.9784874, 'contradiction': 0.4752219319343567, 'evidence_accuracy': 0.5490196078431373, 'evidence_precision': 0.7727272727272727, 'evidence_recall': 0.25888324873096447, 'evidence_f1': 0.38783269961977185, 'crest_accuracy': 0.4733893557422969, 'crest_precision': 0.7121212121212122, 'crest_recall': 0.2175925925925926, 'crest_f1': 0.33333333333333337}","{'closeness': 0.7370262390670554, 'similarity_metrics': 0.9808768, 'contradiction': 0.7200281620025635, 'evidence_accuracy': 0.5210084033613446, 'evidence_precision': 0.5764705882352941, 'evidence_recall': 0.49746192893401014, 'evidence_f1': 0.5340599455040872, 'crest_accuracy': 0.5014005602240896, 'crest_precision': 0.611764705882353, 'crest_recall': 0.48148148148148145, 'crest_f1': 0.538860103626943}"
"{'closeness': 0.75, 'similarity_metrics': 0.94588065, 'contradiction': 0.9924365878105164, 'evidence_accuracy': 0.5652173913043478, 'evidence_precision': 0.41911764705882354, 'evidence_recall': 0.6477272727272727, 'evidence_f1': 0.5089285714285714, 'crest_accuracy': 0.6205533596837944, 'crest_precision': 0.6544117647058824, 'crest_recall': 0.644927536231884, 'crest_f1': 0.6496350364963503}","{'closeness': 0.7152542372881356, 'similarity_metrics': 0.9392707, 'contradiction': 0.982183575630188, 'evidence_accuracy': 0.5731225296442688, 'evidence_precision': 0.42857142857142855, 'evidence_recall': 0.6818181818181818, 'evidence_f1': 0.5263157894736843, 'crest_accuracy': 0.6205533596837944, 'crest_precision': 0.65, 'crest_recall': 0.6594202898550725, 'crest_f1': 0.6546762589928058}","{'closeness': 0.6694915254237288, 'similarity_metrics': 0.9356051, 'contradiction': 0.9560242295265198, 'evidence_accuracy': 0.5691699604743083, 'evidence_precision': 0.42857142857142855, 'evidence_recall': 0.7159090909090909, 'evidence_f1': 0.5361702127659574, 'crest_accuracy': 0.6482213438735178, 'crest_precision': 0.6666666666666666, 'crest_recall': 0.7101449275362319, 'crest_f1': 0.6877192982456141}","{'closeness': 0.6962233169129721, 'similarity_metrics': 0.9361321, 'contradiction': 0.9958484172821045, 'evidence_accuracy': 0.5296442687747036, 'evidence_precision': 0.3945578231292517, 'evidence_recall': 0.6590909090909091, 'evidence_f1': 0.4936170212765957, 'crest_accuracy': 0.6403162055335968, 'crest_precision': 0.6598639455782312, 'crest_recall': 0.7028985507246377, 'crest_f1': 0.6807017543859648}","{'closeness': 0.7604690117252931, 'similarity_metrics': 0.96000504, 'contradiction': 0.9938948750495911, 'evidence_accuracy': 0.5928853754940712, 'evidence_precision': 0.4409448818897638, 'evidence_recall': 0.6363636363636364, 'evidence_f1': 0.5209302325581395, 'crest_accuracy': 0.6324110671936759, 'crest_precision': 0.6771653543307087, 'crest_recall': 0.6231884057971014, 'crest_f1': 0.6490566037735849}","{'closeness': 0.6859983429991715, 'similarity_metrics': 0.9328786, 'contradiction': 0.9914830327033997, 'evidence_accuracy': 0.5968379446640316, 'evidence_precision': 0.4485294117647059, 'evidence_recall': 0.6931818181818182, 'evidence_f1': 0.5446428571428572, 'crest_accuracy': 0.6679841897233202, 'crest_precision': 0.6985294117647058, 'crest_recall': 0.6884057971014492, 'crest_f1': 0.6934306569343065}"
"{'closeness': 0.7720631209818819, 'similarity_metrics': 0.97453433, 'contradiction': 0.9243160486221313, 'evidence_accuracy': 0.4643356643356643, 'evidence_precision': 0.2938496583143508, 'evidence_recall': 0.6386138613861386, 'evidence_f1': 0.4024960998439938, 'crest_accuracy': 0.4801223241590214, 'crest_precision': 0.585, 'crest_recall': 0.5735294117647058, 'crest_f1': 0.5792079207920792}","{'closeness': 0.7022209234365868, 'similarity_metrics': 0.97381103, 'contradiction': 0.6025568842887878, 'evidence_accuracy': 0.43916083916083914, 'evidence_precision': 0.2878464818763326, 'evidence_recall': 0.6683168316831684, 'evidence_f1': 0.40238450074515647, 'crest_accuracy': 0.4801223241590214, 'crest_precision': 0.5794392523364486, 'crest_recall': 0.6078431372549019, 'crest_f1': 0.5933014354066984}","{'closeness': 0.7104032729398013, 'similarity_metrics': 0.96083087, 'contradiction': 0.8637636303901672, 'evidence_accuracy': 0.427972027972028, 'evidence_precision': 0.27450980392156865, 'evidence_recall': 0.6237623762376238, 'evidence_f1': 0.3812405446293495, 'crest_accuracy': 0.5045871559633027, 'crest_precision': 0.5963302752293578, 'crest_recall': 0.6372549019607843, 'crest_f1': 0.6161137440758293}","{'closeness': 0.701344243132671, 'similarity_metrics': 0.9450482, 'contradiction': 0.7559446096420288, 'evidence_accuracy': 0.42097902097902096, 'evidence_precision': 0.2754237288135593, 'evidence_recall': 0.6435643564356436, 'evidence_f1': 0.3857566765578635, 'crest_accuracy': 0.5168195718654435, 'crest_precision': 0.6026785714285714, 'crest_recall': 0.6617647058823529, 'crest_f1': 0.630841121495327}","{'closeness': 0.7682641729982467, 'similarity_metrics': 0.9769353, 'contradiction': 0.9918176531791687, 'evidence_accuracy': 0.5314685314685315, 'evidence_precision': 0.3263707571801567, 'evidence_recall': 0.6188118811881188, 'evidence_f1': 0.4273504273504274, 'crest_accuracy': 0.5412844036697247, 'crest_precision': 0.6569767441860465, 'crest_recall': 0.553921568627451, 'crest_f1': 0.601063829787234}","{'closeness': 0.40298071303331384, 'similarity_metrics': 0.94603515, 'contradiction': 0.9674540162086487, 'evidence_accuracy': 0.41818181818181815, 'evidence_precision': 0.3210702341137124, 'evidence_recall': 0.9504950495049505, 'evidence_f1': 0.48, 'crest_accuracy': 0.5902140672782875, 'crest_precision': 0.6650943396226415, 'crest_recall': 0.6911764705882353, 'crest_f1': 0.6778846153846153}"
"{'closeness': 0.23764867337602924, 'similarity_metrics': 0.8676326, 'contradiction': 0.06680891662836075, 'evidence_accuracy': 0.2835820895522388, 'evidence_precision': 0.2609182530795073, 'evidence_recall': 0.9510204081632653, 'evidence_f1': 0.40949033391915646, 'crest_accuracy': 0.6031746031746031, 'crest_precision': 0.6061452513966481, 'crest_recall': 0.9601769911504425, 'crest_f1': 0.7431506849315069}","{'closeness': 0.6212259835315646, 'similarity_metrics': 0.9320987, 'contradiction': 0.8135228157043457, 'evidence_accuracy': 0.4616204690831556, 'evidence_precision': 0.29559748427672955, 'evidence_recall': 0.7673469387755102, 'evidence_f1': 0.42678774120317814, 'crest_accuracy': 0.5502645502645502, 'crest_precision': 0.6278026905829597, 'crest_recall': 0.6167400881057269, 'crest_f1': 0.6222222222222223}","{'closeness': 0.29940530649588293, 'similarity_metrics': 0.88312536, 'contradiction': 0.6476720571517944, 'evidence_accuracy': 0.31130063965884863, 'evidence_precision': 0.2734463276836158, 'evidence_recall': 0.9877551020408163, 'evidence_f1': 0.4283185840707965, 'crest_accuracy': 0.6058201058201058, 'crest_precision': 0.6196319018404908, 'crest_recall': 0.8898678414096917, 'crest_f1': 0.7305605786618445}","{'closeness': 0.7532021957913998, 'similarity_metrics': 0.97493494, 'contradiction': 0.9883403778076172, 'evidence_accuracy': 0.47974413646055436, 'evidence_precision': 0.2754158964879852, 'evidence_recall': 0.6081632653061224, 'evidence_f1': 0.3791348600508906, 'crest_accuracy': 0.4523809523809524, 'crest_precision': 0.5561797752808989, 'crest_recall': 0.43612334801762115, 'crest_f1': 0.48888888888888893}","{'closeness': 0.805352241537054, 'similarity_metrics': 0.9731164, 'contradiction': 0.0748719871044159, 'evidence_accuracy': 0.7164179104477612, 'evidence_precision': 0.4511627906976744, 'evidence_recall': 0.39591836734693875, 'evidence_f1': 0.42173913043478256, 'crest_accuracy': 0.4444444444444444, 'crest_precision': 0.9444444444444444, 'crest_recall': 0.0752212389380531, 'crest_f1': 0.13934426229508198}","{'closeness': 0.17612076852699, 'similarity_metrics': 0.88852847, 'contradiction': 0.022662218660116196, 'evidence_accuracy': 0.2942430703624733, 'evidence_precision': 0.265993265993266, 'evidence_recall': 0.9673469387755103, 'evidence_f1': 0.41725352112676056, 'crest_accuracy': 0.6058201058201058, 'crest_precision': 0.6115942028985507, 'crest_recall': 0.9336283185840708, 'crest_f1': 0.7390542907180385}"
"{'closeness': 0.8862996158770806, 'similarity_metrics': 0.9934031, 'contradiction': 0.9838449954986572, 'evidence_accuracy': 0.5417789757412399, 'evidence_precision': 0.35942028985507246, 'evidence_recall': 0.5102880658436214, 'evidence_f1': 0.4217687074829932, 'crest_accuracy': 0.5014005602240896, 'crest_precision': 0.6463414634146342, 'crest_recall': 0.4690265486725664, 'crest_f1': 0.5435897435897437}","{'closeness': 0.8845070422535212, 'similarity_metrics': 0.9934031, 'contradiction': 0.9838449954986572, 'evidence_accuracy': 0.5431266846361186, 'evidence_precision': 0.36127167630057805, 'evidence_recall': 0.51440329218107, 'evidence_f1': 0.4244482173174872, 'crest_accuracy': 0.5014005602240896, 'crest_precision': 0.6463414634146342, 'crest_recall': 0.4690265486725664, 'crest_f1': 0.5435897435897437}","{'closeness': 0.8845070422535212, 'similarity_metrics': 0.9934031, 'contradiction': 0.9838449954986572, 'evidence_accuracy': 0.5431266846361186, 'evidence_precision': 0.36127167630057805, 'evidence_recall': 0.51440329218107, 'evidence_f1': 0.4244482173174872, 'crest_accuracy': 0.5014005602240896, 'crest_precision': 0.6463414634146342, 'crest_recall': 0.4690265486725664, 'crest_f1': 0.5435897435897437}","{'closeness': 0.6983354673495519, 'similarity_metrics': 0.9904966, 'contradiction': 0.9900705218315125, 'evidence_accuracy': 0.5256064690026954, 'evidence_precision': 0.3842887473460722, 'evidence_recall': 0.7448559670781894, 'evidence_f1': 0.5070028011204483, 'crest_accuracy': 0.5042016806722689, 'crest_precision': 0.6231155778894473, 'crest_recall': 0.5486725663716814, 'crest_f1': 0.5835294117647059}","{'closeness': 0.8811779769526249, 'similarity_metrics': 0.99557734, 'contradiction': 0.9696168303489685, 'evidence_accuracy': 0.7088948787061995, 'evidence_precision': 0.6285714285714286, 'evidence_recall': 0.2716049382716049, 'evidence_f1': 0.3793103448275862, 'crest_accuracy': 0.4117647058823529, 'crest_precision': 1.0, 'crest_recall': 0.07079646017699115, 'crest_f1': 0.13223140495867766}","{'closeness': 0.8081946222791293, 'similarity_metrics': 0.9977858, 'contradiction': 0.9804712533950806, 'evidence_accuracy': 0.5121293800539084, 'evidence_precision': 0.34704370179948585, 'evidence_recall': 0.5555555555555556, 'evidence_f1': 0.42721518987341767, 'crest_accuracy': 0.48739495798319327, 'crest_precision': 0.6375, 'crest_recall': 0.44933920704845814, 'crest_f1': 0.5271317829457365}"
"{'closeness': 0.7506163474303054, 'similarity_metrics': 0.98466545, 'contradiction': 0.04084349051117897, 'evidence_accuracy': 0.547438330170778, 'evidence_precision': 0.2509505703422053, 'evidence_recall': 0.6139534883720931, 'evidence_f1': 0.3562753036437247, 'crest_accuracy': 0.5207253886010362, 'crest_precision': 0.6118421052631579, 'crest_recall': 0.4246575342465753, 'crest_f1': 0.5013477088948787}","{'closeness': 0.7927176180542386, 'similarity_metrics': 0.98592204, 'contradiction': 0.10665281862020493, 'evidence_accuracy': 0.5113851992409867, 'evidence_precision': 0.21910112359550563, 'evidence_recall': 0.5441860465116279, 'evidence_f1': 0.31241655540720964, 'crest_accuracy': 0.4792746113989637, 'crest_precision': 0.5483870967741935, 'crest_recall': 0.4657534246575342, 'crest_f1': 0.5037037037037037}","{'closeness': 0.3956002275744358, 'similarity_metrics': 0.9677843, 'contradiction': 0.04196934774518013, 'evidence_accuracy': 0.3738140417457306, 'evidence_precision': 0.23416965352449223, 'evidence_recall': 0.9116279069767442, 'evidence_f1': 0.37262357414448666, 'crest_accuracy': 0.5595854922279793, 'crest_precision': 0.6121495327102804, 'crest_recall': 0.6009174311926605, 'crest_f1': 0.6064814814814814}","{'closeness': 0.7561160629622605, 'similarity_metrics': 0.9738569, 'contradiction': 0.9943017959594727, 'evidence_accuracy': 0.4364326375711575, 'evidence_precision': 0.15978456014362658, 'evidence_recall': 0.413953488372093, 'evidence_f1': 0.23056994818652854, 'crest_accuracy': 0.5492227979274611, 'crest_precision': 0.5909090909090909, 'crest_recall': 0.6559633027522935, 'crest_f1': 0.6217391304347826}","{'closeness': 0.9345723497060496, 'similarity_metrics': 0.987488, 'contradiction': 0.788618266582489, 'evidence_accuracy': 0.7798861480075902, 'evidence_precision': 0.3924050632911392, 'evidence_recall': 0.14418604651162792, 'evidence_f1': 0.2108843537414966, 'crest_accuracy': 0.47668393782383417, 'crest_precision': 0.84, 'crest_recall': 0.0958904109589041, 'crest_f1': 0.1721311475409836}","{'closeness': 0.7172387635122321, 'similarity_metrics': 0.99738467, 'contradiction': 0.10447202622890472, 'evidence_accuracy': 0.6717267552182163, 'evidence_precision': 0.32054794520547947, 'evidence_recall': 0.5441860465116279, 'evidence_f1': 0.403448275862069, 'crest_accuracy': 0.4378238341968912, 'crest_precision': 0.6666666666666666, 'crest_recall': 0.009174311926605505, 'crest_f1': 0.018099547511312215}"
"{'closeness': 0.4862819299905392, 'similarity_metrics': 0.9072329, 'contradiction': 0.9806855916976929, 'evidence_accuracy': 0.6088992974238876, 'evidence_precision': 0.50625, 'evidence_recall': 0.9473684210526315, 'evidence_f1': 0.659877800407332, 'crest_accuracy': 0.6428571428571429, 'crest_precision': 0.6692913385826772, 'crest_recall': 0.8056872037914692, 'crest_f1': 0.7311827956989247}","{'closeness': 0.6064333017975402, 'similarity_metrics': 0.86616105, 'contradiction': 0.9816106557846069, 'evidence_accuracy': 0.5690866510538641, 'evidence_precision': 0.47619047619047616, 'evidence_recall': 0.7602339181286549, 'evidence_f1': 0.5855855855855856, 'crest_accuracy': 0.5914285714285714, 'crest_precision': 0.6588785046728972, 'crest_recall': 0.6682464454976303, 'crest_f1': 0.6635294117647059}","{'closeness': 0.4957426679280984, 'similarity_metrics': 0.86949915, 'contradiction': 0.8544159531593323, 'evidence_accuracy': 0.5737704918032787, 'evidence_precision': 0.48348348348348347, 'evidence_recall': 0.9415204678362573, 'evidence_f1': 0.6388888888888888, 'crest_accuracy': 0.6114285714285714, 'crest_precision': 0.6415094339622641, 'crest_recall': 0.8056872037914692, 'crest_f1': 0.7142857142857142}","{'closeness': 0.597445600756859, 'similarity_metrics': 0.9317499, 'contradiction': 0.9984204769134521, 'evidence_accuracy': 0.5081967213114754, 'evidence_precision': 0.43157894736842106, 'evidence_recall': 0.7192982456140351, 'evidence_f1': 0.5394736842105263, 'crest_accuracy': 0.5771428571428572, 'crest_precision': 0.6363636363636364, 'crest_recall': 0.6966824644549763, 'crest_f1': 0.665158371040724}","{'closeness': 0.564333017975402, 'similarity_metrics': 0.93235135, 'contradiction': 0.9890632033348083, 'evidence_accuracy': 0.6791569086651054, 'evidence_precision': 0.562962962962963, 'evidence_recall': 0.8888888888888888, 'evidence_f1': 0.689342403628118, 'crest_accuracy': 0.62, 'crest_precision': 0.6839622641509434, 'crest_recall': 0.6872037914691943, 'crest_f1': 0.6855791962174941}","{'closeness': 0.5477767265846736, 'similarity_metrics': 0.9230579, 'contradiction': 0.988395094871521, 'evidence_accuracy': 0.6065573770491803, 'evidence_precision': 0.5047021943573667, 'evidence_recall': 0.9415204678362573, 'evidence_f1': 0.6571428571428571, 'crest_accuracy': 0.62, 'crest_precision': 0.6652542372881356, 'crest_recall': 0.7440758293838863, 'crest_f1': 0.7024608501118569}"
